id|user|created_at|text|lang|label|retweet_count|favorite_count
1507378361584259074|935033864|Fri Mar 25 15:26:21 +0000 2022|Happy #NationalMedalOfHonorDay to all who have served our nation and earned this esteemed award. As Fort Bragg's Co… https://t.co/XNJVtcgvAv|en|R|2|1
1506982383039430657|935033864|Thu Mar 24 13:12:53 +0000 2022|Kicking off day two of our @HouseGOP conference where we are laying out our solutions to deliver results for the Am… https://t.co/90xNGOaPOs|en|R|10|29
1506376272129277953|935033864|Tue Mar 22 21:04:25 +0000 2022|Allowing Iran’s Islamic Revolutionary Guard Corps off the foreign terrorist organization list would be a grave mist… https://t.co/a5v9N506LR|en|R|8|9
1506340040254836744|935033864|Tue Mar 22 18:40:26 +0000 2022|Great to visit my alma mater @unccharlotte this week for @CharlotteFTBL spring practice with @Coach_heals. I hope… https://t.co/ZNqs69snzF|en|R|2|42
1506296291898314757|935033864|Tue Mar 22 15:46:36 +0000 2022|Farmers and ranchers are the backbone of NC and our nation - and deserve support more than ever in the face of reco… https://t.co/Bk0IUcTWgG|en|R|4|9
1505941989283573766|935033864|Mon Mar 21 16:18:43 +0000 2022|Renee and I join our state and nation in praying for the families of these service members and the entire… https://t.co/hhjHqReU5I|en|R|3|8
1505003878974115843|935033864|Sat Mar 19 02:11:01 +0000 2022|Renee and I are deeply saddened to learn of the passing of my dear friend, Don Young. Just this week, I sat with Do… https://t.co/dBvvdMZbIk|en|R|11|51
1504892342121250821|935033864|Fri Mar 18 18:47:48 +0000 2022|It was great meeting with leaders from across our region this week in Washington to discuss how we can work togethe… https://t.co/6vLJ5Tdh93|en|R|2|5
1504567723610759174|935033864|Thu Mar 17 21:17:53 +0000 2022|Tomorrow would have been former Congressman Howard Coble's 91st birthday! Coble served our state in Congress for 30… https://t.co/A1WgndVkYg|en|R|4|17
1504534672621154307|935033864|Thu Mar 17 19:06:33 +0000 2022|Happy #stpatricksday from Moose! (And don’t worry, he has a green collar on) ✅ https://t.co/2Nc3KECdqi|en|R|8|24
1504203731470098442|935033864|Wed Mar 16 21:11:30 +0000 2022|House Democrats once again BLOCKED our @HouseCommerce American Energy Independence from Russia Act. This bill is cr… https://t.co/6YD6s5ldaR|en|R|5|9
1504100946711879689|935033864|Wed Mar 16 14:23:05 +0000 2022|President @ZelenskyyUa received a united standing ovation from Congress. We must now do more to provide Ukraine let… https://t.co/mJtGz1VMvS|en|R|5|20
1503830073639686150|935033864|Tue Mar 15 20:26:44 +0000 2022|"Like #Bidenflation and record gas prices, the #BidenBorderCrisis is showing no signs of stopping.

Over 2 million i… https://t.co/5Dboe8qfFy"|en|R|18|44
1503772111281836033|935033864|Tue Mar 15 16:36:24 +0000 2022|"The latest #Bidenflation marker just rose 10% from one year ago.

The President and Washington Democrats must rever… https://t.co/N6iy5Mq3bl"|en|R|5|9
1503451092927102980|935033864|Mon Mar 14 19:20:47 +0000 2022|Veterans, military spouses, and all looking for a new career: Join @NCWorksFay, @FAYTECHCC, and @CityOfFayNC tomorr… https://t.co/m1sF4I4kyX|en|R|1|3
1503149509982965760|935033864|Sun Mar 13 23:22:25 +0000 2022|Great to run into you, Dan. Thanks for saying hello. Love that @scnbnc BBQ https://t.co/Chefg8TObb|en|R|2|3
1503145254207303688|935033864|Sun Mar 13 23:05:30 +0000 2022|"Congrats @ChaseBriscoe_14 on your the big win today!🏁 @StewartHaasRcng looking good! 🔥 
@phoenixraceway @NASCARONFOX #NASCAR"|en|R|2|2
1501569619538104324|935033864|Wed Mar 09 14:44:29 +0000 2022|"Ukrainian Pres. Zelenskyy said he 'needed ammunition, not a ride.'

The American Ammo in Defense of Ukraine Act I i… https://t.co/sukFfVrWjm"|en|R|2|4
1501289717324652548|935033864|Tue Mar 08 20:12:15 +0000 2022|I have repeatedly called on President Biden to ban Russian oil imports. I thank the President for finally taking th… https://t.co/b9UpEMfodY|en|R|3|4
1501207505862635523|935033864|Tue Mar 08 14:45:35 +0000 2022|I joined @HouseCommerce yesterday to demand the Biden administration stop buying Russian oil and unleash American e… https://t.co/Cntt0wq6yg|en|R|5|7
1500931981001043968|935033864|Mon Mar 07 20:30:44 +0000 2022|"🚨BREAKING: National gas prices just hit an all-time record above $4.10.

Biden's anti-American energy policies have… https://t.co/ZC3V6l3tXe"|en|R|12|20
1499502015638118404|935033864|Thu Mar 03 21:48:34 +0000 2022|Oil prices approached 14-year highs today as Russia's invasion of Ukraine continues. We must shut off Putin's oil w… https://t.co/bN63E7QJm7|en|R|16|63
1498826085655584769|935033864|Wed Mar 02 01:02:40 +0000 2022|As Joe Biden gives his State of the Union tonight it’s clear: the state of our union is strong, but the state of ou… https://t.co/p3Uf5K2L0Z|en|R|2|10
1498746740920487936|935033864|Tue Mar 01 19:47:23 +0000 2022|Releasing 30 million barrels from our strategic reserve will do little when we buy 750,000 barrels from Russia alon… https://t.co/QHyaKVY86k|en|R|3|6
