id|user|created_at|text|lang|label|retweet_count|favorite_count
1430985994002706436|233693291|Thu Aug 26 20:10:22 +0000 2021|"My statement on the terrorist attacks in Kabul that killed eleven Marines, one Navy medic, and countless innocents:
https://t.co/h7tqIyhCqS
#Afghanistan #arpx"|en|R|5|9
1410373419674263561|233693291|Wed Jun 30 23:03:21 +0000 2021|House Democrats are now defending/considering “art” as “infrastructure” because they want the U.S. to emulate Soviet-style infrastructure? Absolute nonsense… American tax payers won’t go along with this, either. https://t.co/mliBeTruGo|en|R|5|23
1408478663243337738|233693291|Fri Jun 25 17:34:16 +0000 2021|It's #NationalCatfishDay! Arkansas Catfish &gt; D.C. Swamp Catfish 🎣 https://t.co/qmGLV4H2MP|en|R|3|9
1408428097989492737|233693291|Fri Jun 25 14:13:20 +0000 2021|Today is our intern Davis's last day with Team Crawford. He has been a great addition to our DC team and I can't wait to see how he succeeds! https://t.co/JW1vv0U3FY|en|R|2|29
1408142168368295939|233693291|Thu Jun 24 19:17:09 +0000 2021|Yes, this must stop and this presents a legitimate policy question:  Do we really want, in effect, to vitiate sanctions on bad actors across the globe? https://t.co/gRveoDfcYR|en|R|6|13
1407687470234411009|233693291|Wed Jun 23 13:10:21 +0000 2021|"Over 600k acres of land has been  affected by the recent flooding in SE Arkansas, resulting in approx $200m in damages. I’ll be working with our delegation and my colleagues in our region who’ve been impacted similarly to fully support our producers.

https://t.co/IeqcdemtaF"|en|R|5|13
1407489078837325826|233693291|Wed Jun 23 00:02:00 +0000 2021|.@KARK4News Thanks 4 covering this. Consider that we recruit young people 18-20 to join military &amp; drive these trucks while being shot @ but then say ‘not on US roads’ under far less hazardous conditions @TRUCKINGdotORG @ARTrucking @ZShannonZ @freightwaves https://t.co/aTUkLq5QZ0|en|R|2|6
1405894343572008964|233693291|Fri Jun 18 14:25:06 +0000 2021|"I would like to offer my condolences to the family of Robert Holifield, a native of Blytheville, who died earlier this week at 44. Robert spent most of his career advocating for American agriculture and was greatly admired in all he did.
https://t.co/IuEiuedR4n"|en|R|2|14
1404810940344901636|233693291|Tue Jun 15 14:40:02 +0000 2021|185 years ago, the greatest state was admitted to the Union! I am honored to represent Arkansas in the U.S. House of Representatives and blessed to call #TheNaturalState home. https://t.co/oJk5wgmDcT|en|R|5|20
1404482323341512707|233693291|Mon Jun 14 16:54:14 +0000 2021|Today we celebrate the U.S. Army's 246th birthday and #FlagDay. Both are reminders that we are privileged to live in the greatest nation on Earth. I'm honored to have served our country as an Army soldier and equally proud of the more than 1 million men and women who serve today. https://t.co/DhgRgSdFQM|en|R|4|16
1403863286303580163|233693291|Sat Jun 12 23:54:24 +0000 2021|Just wrapped up a long day touring the flood damage in Desha County and speaking with local officials and farmers. I appreciate everyone’s time and insight in how we can address the destruction and get these communities back on their feet. #ARFlood https://t.co/4PlFR54QTK|en|R|3|22
1403450065994358795|233693291|Fri Jun 11 20:32:25 +0000 2021|The Biden Administration's decision to continue to fund the failed CA High-Speed Rail Authority is an irresponsible use of taxpayer dollars. We should be prioritizing ways to create a safe and efficient infrastructure system, instead we are spending billions on a #Traintonowhere.|en|R|4|15
1403436995607678984|233693291|Fri Jun 11 19:40:29 +0000 2021|"Since it’s beginning, this project suffered from endless delays and expensive failures, with a budget of taxpayer dollars that ballooned from $33 billion to $100 billion and a completion date that’s been pushed back 13 years. #traintonowhere 
https://t.co/bON4iGMRw5"|en|R|3|3
1403062721369812992|233693291|Thu Jun 10 18:53:15 +0000 2021|.@ChefGruel is spot on about what’s happening in the broader labor market. With inflation going higher each report, we need greater predictability across our economy so the private sector can take the reigns and get us to more prosperous days. It can and needs to happen ASAP! https://t.co/Ks9iD0rCHp|en|R|2|3
1402951009622708225|233693291|Thu Jun 10 11:29:20 +0000 2021|#KeystoneXL is officially done. With their decision, the Biden Admin has made us energy insecure/dependent while costing thousands of jobs, including ones in AR. @SecGranholm said last month “pipe is best” to safely move fuel. Not when you don’t have any, Madam Secretary. https://t.co/dzWtfDWoGm|en|R|2|15
1402753268942622729|233693291|Wed Jun 09 22:23:35 +0000 2021|And another (narrative) one bites the dust. The facts around the LaFayette Square clearing have been made public and the initial reporting was totally wrong. I hope Americans are told of this new information much like they were of the initial, incorrect reporting. https://t.co/ixG8ISRbmV|en|R|1|6
1402696140768821251|233693291|Wed Jun 09 18:36:35 +0000 2021|Each state has unique transportation systems with needs that vary greatly, and while supported by federal funds, it is the responsibility of the state and local governments to manage their transportation systems themselves. #Transportation https://t.co/BPsijGrOkz|en|R|1|5
1402367642598625282|233693291|Tue Jun 08 20:51:15 +0000 2021|It seems that with Kamala Harris laughing off a serious question about her inability to actually visit the border, she’s affirming what’s been known all along… Joe Biden said he wanted a border surge and he got it. Her priority is traveling to Europe, not American security.|en|R|2|8
1401665653048758276|233693291|Sun Jun 06 22:21:48 +0000 2021|Thanks to RL Nunes, the Biden Admin tasked the IC to investigate the origins of #COVID. The Admin, w/out delay, must conduct a similar investigation in to what and when Tony Fauci knew about COVID and its lethality. Millions of American families and businesses deserve the truth. https://t.co/mU6Ckkf2NL|en|R|2|4
1401623163918770180|233693291|Sun Jun 06 19:32:57 +0000 2021|Seventy seven years ago, thousands of brave souls stormed the beaches at Normandy. The eyes of the world were upon them as they met a battle tested enemy resolved to eradicate freedom and all who cherished it. Let us always remember those who died protecting the free world. #DDay|en|R|3|16
1400880703139684354|233693291|Fri Jun 04 18:22:41 +0000 2021|Thirty two years ago, students who stood for freedom were met with tanks and violence as the Chinese Communist Party made it clear that democracy would not be tolerated. Holding China to account for their abuses of power must be the priority of freedom loving people everywhere.|en|R|126|151
1400438228331732993|233693291|Thu Jun 03 13:04:27 +0000 2021|"RM Devin Nunes has been an outstanding leader on the House Intel Committee and his work to pressure the Biden Administration to investigate the origins of #COVID19 will hopefully culminate in to every American knowing where this deadly virus came from. 
https://t.co/4VGAkH9YFW"|en|R|3|6
1400103052040970251|233693291|Wed Jun 02 14:52:34 +0000 2021|.@POTUS needs to cancel the upcoming summit with Putin without delay. Groups who have ties to, or operating in #Russia - that are attacking our energy and food supplies - must not be rewarded with U.S. engagement. #JBSCyberAttack|en|R|2|6
1399728006604722181|233693291|Tue Jun 01 14:02:17 +0000 2021|Cyber security is synonymous with national security, and so is food security. Soon, a bipartisan effort to further secure our food and #cybersecurity must take shape. It’s of the upmost importance for our nation and for the world. https://t.co/3LN0lElhQQ|en|R|4|9
1399422890039205899|233693291|Mon May 31 17:49:51 +0000 2021|The lives given and the memorials placed at each final resting place allow us to always remember our fallen heroes on #MemorialDay. Our liberties and freedoms are enshrined in the lives of these fallen service members. Let’s always remember them with honor, dignity, and respect.|en|R|2|13
