id|user|created_at|text|lang|label|retweet_count|favorite_count
1507379813711028240|404132211|Fri Mar 25 15:32:08 +0000 2022|Big night for @WWUbasketball in the #D2WBB Championship Game! Go Vikings! https://t.co/hMKFkyA1Iy|en|D|2|7
1507149250420957187|404132211|Fri Mar 25 00:15:57 +0000 2022|Great to welcome @SecMartyWalsh to the PNW to discuss how working women &amp; men are driving economic recovery in Wash… https://t.co/4t4Q2UuIri|en|D|1|2
1506828919303032835|404132211|Thu Mar 24 03:03:04 +0000 2022|1️⃣2️⃣ years ago, the Affordable Care Act became law, opening the door to quality health care for millions of peopl… https://t.co/gvzumJl1MJ|en|D|2|7
1506769478041968641|404132211|Wed Mar 23 23:06:52 +0000 2022|Yesterday, I met with @UnityCareNW's Jodi Joyce, PeaceHealth's Rachel Lucy &amp; @Whatcomctygov Executive Satpal Sidhu… https://t.co/SLwcoqeXF1|en|D|4|6
1506758557160689669|404132211|Wed Mar 23 22:23:28 +0000 2022|Sad to learn of Secretary Albright’s passing. Secretary Albright was a staunch defender of democracy, human rights… https://t.co/oXp9aDjBXz|en|D|4|9
1506726940295806981|404132211|Wed Mar 23 20:17:50 +0000 2022|"🎨⬇️ Calling all creative high school-aged students who live or attend school in #WA02 🎨⬇️

Submit your artwork to b… https://t.co/HFRkIyvmUX"|en|D|4|0
1506398123308032009|404132211|Tue Mar 22 22:31:14 +0000 2022|Congratulations to the @WWUbasketball Vikings on advancing to the #D2WBB Final Four! Best of luck vs. North Georgia… https://t.co/o9i9q1YRwH|en|D|6|32
1506349965861273605|404132211|Tue Mar 22 19:19:53 +0000 2022|"Eight years ago, the devastating landslide in Oso killed 43 people &amp; forever changed north Snohomish County. 

Whil… https://t.co/OUGlNaTolY"|en|D|2|6
1505943729403801600|404132211|Mon Mar 21 16:25:38 +0000 2022|One year later, the #AmericanRescuePlan is helping communities like #Bellingham invest in quality, affordable child… https://t.co/c0rPM5Q89p|en|D|3|6
1505046520239861762|404132211|Sat Mar 19 05:00:27 +0000 2022|I landed in Seattle just a few moments ago to hear the news the my friend, Rep. Don Young of Alaska, died.  I considered Don a good friend.|en|D|3|28
1504979356543819777|404132211|Sat Mar 19 00:33:34 +0000 2022|"🛠️ Visits to highlight #WA02 aviation jobs 
🏥 $2 million for behavioral health care services in Everett
🗺️ Aid for… https://t.co/9qzRsx3zPt"|en|D|7|12
1504867455767830535|404132211|Fri Mar 18 17:08:55 +0000 2022|Took advantage of the beautiful weather to meet with @NorwayAmbUSA about our nations’ support for an independent &amp;… https://t.co/SsHG6FStKD|en|D|3|20
1504530466585653254|404132211|Thu Mar 17 18:49:50 +0000 2022|During #WomensHistoryMonth and every month, I am committed to ensuring all current and future women veterans have e… https://t.co/tJu2PHt76F|en|D|3|9
1504502486568157184|404132211|Thu Mar 17 16:58:39 +0000 2022|ICYMI ➡️ The bipartisan spending bill reauthorizes #VAWA for five years and extends the jurisdiction of Tribal cour… https://t.co/FlFfy2jQPO|en|D|1|2
1504469007235104770|404132211|Thu Mar 17 14:45:37 +0000 2022|HAPPENING NOW 🛫➡️ Aircraft &amp; airport noise is not just an annoyance - it is a public health, economic &amp; quality of… https://t.co/zRKFUBMA7J|en|D|1|0
1504158252107456514|404132211|Wed Mar 16 18:10:47 +0000 2022|In 2021, @wsbdc advisors like those in #Everett, #Coupeville, #Mount Vernon &amp; #Bellingham helped 1,100+ small busin… https://t.co/WEJzOSORKI|en|D|1|4
1504154035233988613|404132211|Wed Mar 16 17:54:02 +0000 2022|Since March 2020, there have been 11,000+ reported incidents of anti-Asian hate in WA &amp; the U.S. I stood w/… https://t.co/NPxwxsVbPo|en|D|2|9
1504080901474598920|404132211|Wed Mar 16 13:03:26 +0000 2022|The scene in the Capitol Visitor Center Auditorium before the #VolodymyrZelensky address to members of Congress… https://t.co/3dogzR99cM|en|D|5|7
1503854414922235907|404132211|Tue Mar 15 22:03:27 +0000 2022|ICYMI ➡️ Today, @POTUS signed the bipartisan spending package which includes $2 million for construction of… https://t.co/Km4AihMlJF|en|D|3|14
1503747013711699979|404132211|Tue Mar 15 14:56:40 +0000 2022|#Bellingham’s Frances C. Axtell was one of the first two women elected to serve in the Washington State Legislature… https://t.co/oQwbLba6A5|en|D|2|9
1503411709326897159|404132211|Mon Mar 14 16:44:18 +0000 2022|"Friday marked 1⃣ year since @POTUS signed the #AmericanRescuePlan, which expanded the #ChildTaxCredit. 

From July-… https://t.co/RQzbrNTHme"|en|D|5|7
1503401426025910281|404132211|Mon Mar 14 16:03:26 +0000 2022|π + transportation = #WA02 jobs. #PiDay #SnoCoPW https://t.co/gEp7puq4p2|ro|D|2|3
1502450586565980162|404132211|Sat Mar 12 01:05:08 +0000 2022|The #MoveAheadWA package gets $3.72 billion in federal infrastructure dollars out to WA communities &amp; puts people t… https://t.co/6KyUHs56nC|en|D|3|11
1502412786747518983|404132211|Fri Mar 11 22:34:56 +0000 2022|"Did you receive an Economic Impact Payment last year?

Thanks to the #AmericanRescuePlan, 8⃣0⃣ percent of all Washi… https://t.co/L3WmTYWHUj"|en|D|2|6
1502339867686191109|404132211|Fri Mar 11 17:45:11 +0000 2022|The Aviation Manufacturing Jobs Protection Program saved 1,440 jobs in #WA02 communities like #Everett, #Mukilteo &amp;… https://t.co/PAb5zYfOPz|en|D|2|1
1502324510263058436|404132211|Fri Mar 11 16:44:09 +0000 2022|One year ago, @POTUS signed the #AmericanRescuePlan to deliver real relief to people struggling w/the economic &amp; pu… https://t.co/A5tIdDow0z|en|D|32|120
1502129412984168466|404132211|Fri Mar 11 03:48:54 +0000 2022|"How does the bill benefit Northwest Washington communities &amp; create jobs?

📝🔗 https://t.co/9Fk6vLlMLV https://t.co/sSB0hTVc2y"|en|D|2|2
1502127020460945408|404132211|Fri Mar 11 03:39:24 +0000 2022|NOW ➡️ The Senate just passed the bipartisan spending package. That means critical investments in #WA02 communities… https://t.co/DONcSFZiD5|en|D|4|15
1502049713696264195|404132211|Thu Mar 10 22:32:13 +0000 2022|Thank you for your leadership, @RepJayapal! https://t.co/1vxPxLJLOm|en|D|3|9
1502025837163552778|404132211|Thu Mar 10 20:57:20 +0000 2022|Today marks the third anniversary of the tragic Ethiopian Airlines Flight 302 crash that claimed the lives of 157 p… https://t.co/DzHbO4rzdp|en|D|5|9
1501955757411033090|404132211|Thu Mar 10 16:18:52 +0000 2022|"DYK ➡️ WA produces 250+ specialty crops. 🍓 🌷

I met with Nathan Sakuma from @sakumabros in Burlington &amp; Chad Vargas… https://t.co/Ik9WM4FwOZ"|en|D|3|2
1501783042041524225|404132211|Thu Mar 10 04:52:33 +0000 2022|JUST NOW ➡️ I supported the omnibus spending package to fund the government, invest in #WA02 communities &amp; working… https://t.co/5A0c9UJpiS|en|D|4|16
1501705075781251073|404132211|Wed Mar 09 23:42:45 +0000 2022|"Thank you, @ARSAWorks, for your 2022 Legislative Leadership Award.

I am working to strengthen the U.S. aviation wo… https://t.co/pAasEWUhOs"|en|D|4|5
1501701897622900740|404132211|Wed Mar 09 23:30:07 +0000 2022|The Postal Service Reform Act supports postal workers and protects a critical lifeline for Washingtonians who rely… https://t.co/syF80M8ob3|en|D|2|8
1501600636495974401|404132211|Wed Mar 09 16:47:44 +0000 2022|"In WA and across the country, investments in EV charging infrastructure mean jobs.

Last year, I visited the Puget… https://t.co/rUBPsrgt24"|en|D|6|8
1501341479385636867|404132211|Tue Mar 08 23:37:56 +0000 2022|Congratulations to the girls basketball team from Arlington High School, my alma mater, on placing third in the… https://t.co/eFVNgGPgEF|en|D|1|3
1501335536975368200|404132211|Tue Mar 08 23:14:20 +0000 2022|Reliable and efficient passenger rail service is essential to connecting communities like Everett, Stanwood and Bel… https://t.co/t1oBwVI39m|en|D|6|16
1501280885894787078|404132211|Tue Mar 08 19:37:10 +0000 2022|Thanks to the Bipartisan Infrastructure Law, local transit systems like @ridewta can invest in cleaner bus fleets a… https://t.co/hDeFmabrLt|en|D|6|11
1501278895320051714|404132211|Tue Mar 08 19:29:15 +0000 2022|#HBCUs represent 3% of all four-year colleges and universities but produce more than 17% of all bachelor’s degrees… https://t.co/dDkXTJ4nqq|en|D|3|9
1501216423594668047|404132211|Tue Mar 08 15:21:01 +0000 2022|I support a ban on imports of Russian oil and other energy products into the United States. At the same time, my Ho… https://t.co/efQGfSZ5jx|en|D|8|24
1501205238489006088|404132211|Tue Mar 08 14:36:34 +0000 2022|Great to see @FINambUS Mikko Hautala &amp; Ukrainian Ambassador @OMarkarova at a Finnish Embassy event last week. The U… https://t.co/VbpLgnuxYO|en|D|1|7
