id|user|created_at|text|lang|label|retweet_count|favorite_count
1507053560286126085|1339931490|Thu Mar 24 17:55:43 +0000 2022|If you missed the Virtual Tax Workshop @SenatorDurbin and I hosted, then you can watch it at the link below! Please… https://t.co/caZEvcE0wm|en|D|2|1
1506734879773495300|1339931490|Wed Mar 23 20:49:23 +0000 2022|Today marks the 12th anniversary of the Affordable Care Act. #ThxACA for lowering health costs and delivering lifes… https://t.co/2InLThzBP7|en|D|4|12
1506654504598618120|1339931490|Wed Mar 23 15:30:00 +0000 2022|It’s #LGBTQHealth Awareness Week, a week where we bring much needed attention to the unique and important health ne… https://t.co/ex7kgnlnr7|en|D|1|4
1506417816722882563|1339931490|Tue Mar 22 23:49:30 +0000 2022|I am ecstatic that all my Community Project Funding requests were included in the 2022 Appropriations Bill! Over th… https://t.co/Si8XGB5GJW|en|D|4|10
1506380439191232516|1339931490|Tue Mar 22 21:20:58 +0000 2022|For #NationalAgDay my friends from the Will County Farm Bureau stopped by my district office to congratulate me on… https://t.co/x8hId0bofa|en|D|4|7
1506327474023587849|1339931490|Tue Mar 22 17:50:30 +0000 2022|For me, voting YES on the #CROWNact was personal. Throughout my life I have seen instances of hair-based discrimina… https://t.co/4N87Pcf5zE|en|D|5|10
1506295889068912640|1339931490|Tue Mar 22 15:45:00 +0000 2022|TODAY @SenatorDurbin and I are hosting a Virtual Tax Workshop where representatives from the IRS and SBA will prese… https://t.co/tzTqFLFUAd|en|D|1|1
1506007759946338305|1339931490|Mon Mar 21 20:40:04 +0000 2022|"Medicaid expansion has been instrumental in improving healthcare access for women. 

We must #CloseTheCoverageGap a… https://t.co/qWC14CcjNM"|en|D|11|22
1505934001168650246|1339931490|Mon Mar 21 15:46:59 +0000 2022|As confirmation hearings begin today for Judge Ketanji Brown Jackson, people across the country will be inspired by… https://t.co/y8DlqjLQ9S|en|D|10|36
1505580173143556107|1339931490|Sun Mar 20 16:21:00 +0000 2022|ICYMI: This Tuesday representatives from the IRS and SBA will be presenting information and answering questions as… https://t.co/N6hRxk9EtE|en|D|3|3
1505233154013114370|1339931490|Sat Mar 19 17:22:04 +0000 2022|Thank you to @RepMarieNewman for joining my Congressional Youth Cabinet and talking to some incredible students abo… https://t.co/unQc90hHrG|en|D|6|22
1504915291913875457|1339931490|Fri Mar 18 20:19:00 +0000 2022|Tax season can get confusing, that is why @SenatorDurbin and I are hosting a Virtual Tax Workshop where representat… https://t.co/3bc8UmS1WT|en|D|3|3
1504900742716477443|1339931490|Fri Mar 18 19:21:11 +0000 2022|I am proud to have voted YES today on the #CROWNact. No one in this country should be discriminated against because of their natural hair.|en|D|10|40
1504863035487358992|1339931490|Fri Mar 18 16:51:21 +0000 2022|"We must act now to restore our supply chain and ensure that our economy is protected from the next crisis. 

The Ho… https://t.co/SqGqqx0oA7"|en|D|6|19
1504515723506466824|1339931490|Thu Mar 17 17:51:15 +0000 2022|We honor our women servicemembers and veterans by shedding a light on the rising epidemic of unchecked harassment,… https://t.co/Ea9RmkWlZC|en|D|7|7
1504189764550942722|1339931490|Wed Mar 16 20:16:01 +0000 2022|Do you have questions this tax season? Then please join a Virtual Tax Workshop hosted by @SenatorDurbin and I where… https://t.co/4xLKgqxoxS|en|D|2|4
1504147445110153216|1339931490|Wed Mar 16 17:27:51 +0000 2022|After the shootings at 3 Asian-owned spas in Georgia 1 year ago today, I was proud to join with @CAPAC to help pass… https://t.co/IUt4KOQp9A|en|D|3|6
1504097314943774720|1339931490|Wed Mar 16 14:08:39 +0000 2022|President Zelenskyy's presentation to Congress this morning was heartbreaking. We need to bring additional aid to #Ukraine 🇺🇦|en|D|4|20
1504092460116582405|1339931490|Wed Mar 16 13:49:21 +0000 2022|"The maternal health crisis cuts across class, education, &amp; income to disproportionately kill Black women. 

Impleme… https://t.co/6nJBptiP9L"|en|D|7|22
1503851677782351873|1339931490|Tue Mar 15 21:52:34 +0000 2022|Alright, #DaylightSavingTime - what do you think?|en|D|0|1
1503835061732454403|1339931490|Tue Mar 15 20:46:33 +0000 2022|Today @POTUS signed the Appropriations bill into law, which includes my #MaternalHealth Quality Improvement Act.… https://t.co/k7wb6lfDkA|en|D|21|64
1503763239838040080|1339931490|Tue Mar 15 16:01:09 +0000 2022|I'm joining @TheHillEvents tomorrow afternoon to talk about how digitalization can help improve health equity natio… https://t.co/O4HpRIwmJa|en|D|3|2
1503749633486561283|1339931490|Tue Mar 15 15:07:05 +0000 2022|"Today is Women's #EqualPayDay - the day women's wages catch up what men earned last year. 

But the #WageGap looks… https://t.co/85Pb3IjoZo"|en|D|6|10
1503498709438541831|1339931490|Mon Mar 14 22:30:00 +0000 2022|Next week @SenatorDurbin and I will be hosting a Virtual Tax Workshop where representatives from the IRS and SBA wi… https://t.co/0p72UWdE9c|en|D|2|5
1503470270392197126|1339931490|Mon Mar 14 20:37:00 +0000 2022|It's #WomensHistoryMonth! I hope the stories we share this month of women who have led the way will continue to ins… https://t.co/TDpq8zQ9Y5|en|D|5|12
1503426264979410948|1339931490|Mon Mar 14 17:42:08 +0000 2022|Making informed decisions about food choices and health may sometimes come as a challenge, especially in areas wher… https://t.co/SI8FZnGIt6|en|D|3|6
1502378009487151109|1339931490|Fri Mar 11 20:16:44 +0000 2022|March is National Kidney Month! This month we bring crucial awareness to kidney health and kidney disease. With Chr… https://t.co/VGfirWhlXx|en|D|0|4
1502316770463555589|1339931490|Fri Mar 11 16:13:24 +0000 2022|A year ago today, the American Rescue Plan was signed into office by @POTUS providing relief for American families… https://t.co/yQWKXDWT2w|en|D|81|287
1501987365019131906|1339931490|Thu Mar 10 18:24:28 +0000 2022|Black women account for less than 15% of the U.S. population, but more than one-third of all missing women. So why… https://t.co/swa8o1J39Q|en|D|12|13
1501644980921712643|1339931490|Wed Mar 09 19:43:57 +0000 2022|"It’s been a year since the #AmericanRescuePlan was passed, and we are Building a Better America. 

Since the Presid… https://t.co/8SWmevAxr5"|en|D|3|5
1501598943528034309|1339931490|Wed Mar 09 16:41:01 +0000 2022|Great news!: The bipartisan Postal Service Reform Act is finally headed to @POTUS's desk for signature. The bill wi… https://t.co/fQMduj5Rms|en|D|20|41
1501298790904516608|1339931490|Tue Mar 08 20:48:19 +0000 2022|Happy International Women’s Day to women all over the globe! As we continue National Women’s History Month, we hono… https://t.co/rIDqH9KQ3S|en|D|5|13
1501246990222508033|1339931490|Tue Mar 08 17:22:28 +0000 2022|Proud to work with these Illinois women in Congress! https://t.co/KmEkF4XPSY|en|D|3|5
1500928460155494402|1339931490|Mon Mar 07 20:16:45 +0000 2022|Nine years ago today, thousands of women around the nation - whether survivors of domestic violence, sexual assault… https://t.co/6B6RjWplAT|en|D|7|14
1499416685694136331|1339931490|Thu Mar 03 16:09:30 +0000 2022|STARTING NOW https://t.co/QbzxjY9gUG|en|D|1|1
1499406385372532738|1339931490|Thu Mar 03 15:28:34 +0000 2022|We are still voting at the moment but will start the hearing shortly. Stay tuned! https://t.co/QLLv5VPfPb|en|D|2|7
1499390484044820480|1339931490|Thu Mar 03 14:25:23 +0000 2022|Women &amp; girls of color go missing at disproportionately high rates, but their cases don't receive the same attentio… https://t.co/nEOGo3nUBy|en|D|20|34
1499129165634670595|1339931490|Wed Mar 02 21:07:00 +0000 2022|Today is National Read Across America Day. Reading is a fundamental activity that enables our younger generations t… https://t.co/dpOjWI8aVL|en|D|2|4
