id|user|created_at|text|lang|label|retweet_count|favorite_count
1507104184948211713|854715071116849157|Thu Mar 24 21:16:52 +0000 2022|REMINDER: High school students in our district who are interested in this year's Congressional Art Competition must… https://t.co/3MQlwnITxb|en|R|1|0
1506378432938233870|854715071116849157|Tue Mar 22 21:13:00 +0000 2022|Inflation was rising at a devastating rate before Putin's invasion of Ukraine. The Biden administration needs to ad… https://t.co/xZGERNa9Z2|en|R|5|6
1506366421755994116|854715071116849157|Tue Mar 22 20:25:16 +0000 2022|Today is National Agriculture Day – part of National Agriculture Week. Farmers, ranchers and producers work tireles… https://t.co/Rj7RyUNgLv|en|R|2|1
1505970465898213376|854715071116849157|Mon Mar 21 18:11:53 +0000 2022|I was saddened by the news of @repdonyoung's passing over the weekend. He proudly served the people of Alaska for n… https://t.co/xhVIH47qXg|en|R|1|4
1504906108883939329|854715071116849157|Fri Mar 18 19:42:30 +0000 2022|March is Women’s History Month. Today we highlight Mary Chance VanScyoc, one of the first female air traffic contro… https://t.co/BN9BWV2SrR|en|R|1|0
1504873293035225088|854715071116849157|Fri Mar 18 17:32:06 +0000 2022|The collaborative efforts of all involved with Wichita State’s Molecular Diagnostics Lab adapted to the challenges… https://t.co/xItEU1KBHN|en|R|1|0
1504500176223932416|854715071116849157|Thu Mar 17 16:49:28 +0000 2022|High school students in our district who are interested in this year's Congressional Art Competition must submit ar… https://t.co/Tqc4JlAvLY|en|R|2|3
1504146561751789568|854715071116849157|Wed Mar 16 17:24:20 +0000 2022|President Zelensky delivered a powerful address this morning. I think it’s clear that we can do more to aid sufferi… https://t.co/YDfaaVKydB|en|R|1|12
1503844351251734531|854715071116849157|Tue Mar 15 21:23:28 +0000 2022|The Biden administration is ignoring the crisis at our southern border and February statistics are proof. With the… https://t.co/mgaxkPmt7i|en|R|46|128
1503443854770552837|854715071116849157|Mon Mar 14 18:52:02 +0000 2022|ICYMI: Inflation hit 7.9% in February. For the last year, America has been under total Democrat control and at the… https://t.co/Jvjbj8iw1q|en|R|3|12
1502420327099416578|854715071116849157|Fri Mar 11 23:04:54 +0000 2022|March is Women’s History Month. Today we highlight Patricia Minard, Chair, President and Chief Executive Officer of… https://t.co/tT1P80J8yJ|en|R|1|0
1502415452277989377|854715071116849157|Fri Mar 11 22:45:32 +0000 2022|President Biden inherited a country that was energy independent thanks to Trump administration policies that put Am… https://t.co/8w8O73OFwy|en|R|3|16
1501694469237792778|854715071116849157|Wed Mar 09 23:00:36 +0000 2022|High energy costs are affecting American families. Prices have continuously risen over the past year – prior to Put… https://t.co/JULR1ZuzgJ|en|R|6|12
1499859216957378561|854715071116849157|Fri Mar 04 21:27:58 +0000 2022|March is Women’s History Month.  Today we highlight Judy Bell, World Golf Hall of Famer from Wichita.… https://t.co/IaSOWKDV8i|en|R|1|0
1499813340314492933|854715071116849157|Fri Mar 04 18:25:40 +0000 2022|I joined my Republican colleagues in sending a letter to @SpeakerPelosi to reconsider the CMS vaccine mandate. Kans… https://t.co/P0jeT4vh41|en|R|7|15
1499178499910914052|854715071116849157|Thu Mar 03 00:23:02 +0000 2022|Each spring, Congress sponsors a nationwide high school art competition to showcase the artistic talents of America… https://t.co/PNSqMkds8k|en|R|1|0
1499081547718217732|854715071116849157|Wed Mar 02 17:57:47 +0000 2022|In his #SOTU, Biden mentioned the high gas prices that are hurting American families. Yet, he refused to acknowledg… https://t.co/mOged3nBFs|en|R|6|16
1498862509767507971|854715071116849157|Wed Mar 02 03:27:24 +0000 2022|The president just finished addressing Congress and the nation. My response is below. ⬇️ https://t.co/430mMnMctP|en|R|3|16
1498788249661280260|854715071116849157|Tue Mar 01 22:32:19 +0000 2022|I spoke to health care underwriters at NAHU's annual conference today. The health care landscape has forever change… https://t.co/4vM1FLfmiB|en|R|1|4
1498699507521011715|854715071116849157|Tue Mar 01 16:39:41 +0000 2022|Last week I joined the Pachyderm Club in Wichita to discuss President Biden’s upcoming State of the Union. For the… https://t.co/DvzXQKLvRb|en|R|5|6
1498432116610244612|854715071116849157|Mon Feb 28 22:57:10 +0000 2022|The skilled workers of the aerospace industry are vital to Kansas’ success. I'm proud to have introduced the bipart… https://t.co/CzBFKmseWB|en|R|2|7
1498391558860726274|854715071116849157|Mon Feb 28 20:16:01 +0000 2022|On Saturday I joined the Kansas Farm Bureau in Elk, Chautauqua and Greenwood counties. Kansans shared some of their… https://t.co/8xaV8fiJNt|en|R|2|6
1497634462728921092|854715071116849157|Sat Feb 26 18:07:35 +0000 2022|Engineering is a gateway for innovation &amp; creativity. As a former engineer, I have seen the field's impact on every… https://t.co/nJV5MIckeY|en|R|2|1
1497348824267960320|854715071116849157|Fri Feb 25 23:12:33 +0000 2022|February is Black History Month. Today we highlight Karla Burns, the first Black person to win the Laurence Olivier… https://t.co/1N6CSJ0e9E|en|R|3|4
1496964235435429890|854715071116849157|Thu Feb 24 21:44:20 +0000 2022|My statement on Russia's attacks on Ukraine. https://t.co/VXFJn12kOt|en|R|3|19
1496561491482497030|854715071116849157|Wed Feb 23 19:03:58 +0000 2022|I joined AMAC to discuss the current trajectory of our country created by the Biden administration’s handling of cr… https://t.co/rW9DO4ePfP|en|R|2|4
