id|user|created_at|text|lang|label|retweet_count|favorite_count
1507341808749191170|1078741899572240384|Fri Mar 25 13:01:06 +0000 2022|Today, on National #MedalofHonorDay, we remember our nation's most distinguished heroes. We are grateful for their… https://t.co/p6YStZR73Z|en|R|1|1
1507150531076177923|1078741899572240384|Fri Mar 25 00:21:02 +0000 2022|Idaho's CTE and education leaders stopped by the DC office to discuss the use of funding for CTE programs, workforc… https://t.co/x05LH1dn1V|en|R|2|3
1506753951126982660|1078741899572240384|Wed Mar 23 22:05:10 +0000 2022|Without going through the normal process, the ATF has begun denying the Form 1. Not only does each American have a… https://t.co/sVBLOefJyZ|en|R|5|16
1506636897510170626|1078741899572240384|Wed Mar 23 14:20:02 +0000 2022|I am proud to cosponsor H.R.6951 to ban all energy imports from Russia during this foreign crisis to ensure America… https://t.co/R6chpKQ9Wy|en|R|3|11
1506634187490664448|1078741899572240384|Wed Mar 23 14:09:16 +0000 2022|Idaho Service Academy Days will be happening across the state during March-April. Join us to learn more about our n… https://t.co/mFpdLKXUH8|en|R|2|0
1506356695181766659|1078741899572240384|Tue Mar 22 19:46:37 +0000 2022|Thank you Idaho ranchers, farmers, and ag workers for making Idaho the wonderful and prosperous state it is today.… https://t.co/7rVfOh3iCc|en|R|3|17
1506284965918650379|1078741899572240384|Tue Mar 22 15:01:35 +0000 2022|It is time to reverse the Biden Administration's harmful policies and institute an energy plan that sends an unmist… https://t.co/Vj0FrhEN5z|en|R|3|8
1505892284306530322|1078741899572240384|Mon Mar 21 13:01:13 +0000 2022|In just one week, gas prices have soared to a new high. American families are now expected to spend an extra $2,000… https://t.co/YSqhnSMY7X|en|R|5|20
1505205452644274182|1078741899572240384|Sat Mar 19 15:31:59 +0000 2022|I am saddened by the passing of my friend and Dean of the House Congressman Don Young. Don cared deeply for the peo… https://t.co/KV3rwwyvp8|en|R|1|10
1504872617899175940|1078741899572240384|Fri Mar 18 17:29:25 +0000 2022|The tragic tentacles of war reach out and touch everywhere... including Idaho. But the spirit of freedom will alway… https://t.co/h05lqfInMT|en|R|2|6
1504805090481348632|1078741899572240384|Fri Mar 18 13:01:06 +0000 2022|As gas prices continue to surge, it is puzzling why the Biden Administration continues to delay establishing a new… https://t.co/4wx1WI5JXU|en|R|3|14
1504533248399007746|1078741899572240384|Thu Mar 17 19:00:53 +0000 2022|The Biden Administration's decision to reverse longstanding patient safeguards with the chemical abortion drug mife… https://t.co/NHmKdj3YHk|en|R|2|6
1504442658906906628|1078741899572240384|Thu Mar 17 13:00:55 +0000 2022|I am a proud co-sponsor on H.R. 6894 to ensure the closure of the executive order loophole, and cease Russia's abil… https://t.co/nmsmuGHBMn|en|R|1|4
1504215994784440325|1078741899572240384|Wed Mar 16 22:00:14 +0000 2022|It was a pleasure to meet with students from McCall-Donnelly High School while they learn about our democracy, and… https://t.co/bVGqCIGMPu|en|R|1|16
1504170715792265224|1078741899572240384|Wed Mar 16 19:00:19 +0000 2022|Sportsmen and outdoor recreationalists have a tremendous impact on our Idaho culture and economy. By modernizing in… https://t.co/Cw0XALUlkX|en|R|2|9
