id|user|created_at|text|lang|label|retweet_count|favorite_count
1519015570255011840|18773159|Tue Apr 26 18:08:28 +0000 2022|The death of Spc. Bishop Evans, who valiantly died trying to save the lives of two people illegally crossing the Rio Grande didn’t have to happen.  Sadly, his death underscores the senseless catastrophe unfolding daily due to a feckless, reckless, and clueless @POTUS.|en|R|34|112
1513863999548538888|18773159|Tue Apr 12 12:57:58 +0000 2022|🔥BREAKING — Consumer prices increased 8.5% in the year through March, the FASTEST inflation rate since Raiders of the Lost Ark was a hit in 1981. Make no mistake: @POTUS and Democrats own this pain. #Bidenflation #GasPrices #inflation|en|R|41|131
1513481584741171211|18773159|Mon Apr 11 11:38:23 +0000 2022|🚨On-Air Alert:  Please join me on @MorningsMaria at 8:30 a.m. where we’ll be talking the latest on #Ukraine, and @POTUS’s breathtaking failure on #Title42 and the #BidenBorderCrisis.|en|R|6|25
1511773080363929606|18773159|Wed Apr 06 18:29:24 +0000 2022|Another clear case of Democrats’ American Last program.  Unbelievable. https://t.co/EM8KVtGIUa|en|R|15|44
1511745213793980425|18773159|Wed Apr 06 16:38:40 +0000 2022|My privilege and pleasure, the Employees Rights Act is extremely important for all American workers. https://t.co/JBRAT0T7NG|en|R|2|8
1509245845576855562|18773159|Wed Mar 30 19:07:04 +0000 2022|If Democrats are serious about securing our border and keeping Americans safe, here’s an opportunity to work in a bipartisan fashion and ensure Title 42 stays in place. https://t.co/szmYIqAr7g #Border #Title42|en|R|15|30
1504111859603062788|18773159|Wed Mar 16 15:06:27 +0000 2022|Inspiring message from President Zelensky — reminding us that “you don’t have to be a big nation, you have to be a courageous nation” to remain free. To that end, Congress and @POTUS need to work TOGETHER to help Ukraine defend themselves against criminal Putin regime. #Zelensky|en|R|5|40
1502370101609349120|18773159|Fri Mar 11 19:45:19 +0000 2022|Thrilled to be on with the great @LouDobbs talking #EnergyIndependence and more — check it out. https://t.co/HZZJEB6zhz|en|R|23|97
1501685885695320064|18773159|Wed Mar 09 22:26:29 +0000 2022|$569,000 for removal of derelict lobster pots; $605,000 for a greenhouse in NYC (Schumer); $1,600,000 for development for equitable growth of shellfish aquaculture industry in Rhode Island.  All as you decide what to sacrifice from your home budget just to get to work and back.|en|R|60|112
1501571800081309699|18773159|Wed Mar 09 14:53:09 +0000 2022|Spot on — 2,700 pages of spending dropped on Members at 0230, and just hours to understand what’s in it — this needs to stop. #SwampSpending https://t.co/3OgYkujeAK|en|R|36|98
1501563838210134022|18773159|Wed Mar 09 14:21:31 +0000 2022|The Russian Federation under the brutal rule of Vladimir Putin deserves no diplomatic recognition from the United States. @POTUS, I urge you to cut all diplomatic ties between our countries. #Ukraine #Russia|en|R|4|23
1501278198331588612|18773159|Tue Mar 08 19:26:29 +0000 2022|"Any Russian energy ban needs to include a Jones Act exemption. I introduced an amendment to create exemptions for ships carrying LNG, so American cities/states end their reliance on foreign LNG. I will be introducing this amendment as a stand-alone bill.
https://t.co/mzWUVWRp86"|en|R|2|14
1501247100465684482|18773159|Tue Mar 08 17:22:55 +0000 2022|Proud to cosponsor Rep. Cloud’s REGISTRY Rights Act to prevent a federal firearms registry. #ShallNotBeInfringed #2A https://t.co/hR1NL7Wop5|en|R|3|11
1501236116783050759|18773159|Tue Mar 08 16:39:16 +0000 2022|It's indefensible that the @NIH is shipping our tax dollars to Russian government labs. I'm proud to cosponsor the AFAR Act to prohibit tax dollars from funding animal labs in #Russia &amp; other adversary nations https://t.co/D2UZ4gJVE6|en|R|38|63
1500550327505989641|18773159|Sun Mar 06 19:14:11 +0000 2022|Putin is a murderous thug targeting civilians committing war crimes in Ukraine — @POTUS and Congress must stand united to demand he and his thug regime are brought to justice. #PutinIsaWarCriminal #ukraine #Putin #WarCrimes|en|R|23|125
1499139585967861769|18773159|Wed Mar 02 21:48:24 +0000 2022|Reminder: This past year, we imported the most Russian oil in our nation’s history to the tune of 670.25k barrels a day. As Putin wages war in Ukraine, we continue to fill the coffers of his regime through our reliance on foreign oil. This is unacceptable. #EnergyIndependence|en|R|35|102
1498785530405924869|18773159|Tue Mar 01 22:21:31 +0000 2022|A message to the great warriors of Ukraine led by @Vitaliy_Klychko and @ZelenskyyUa — we are with you, stay in the right, stay in the fight. #IStandWithUkraine #Ukraine https://t.co/L67m6RxzAt|en|R|11|45
