id|user|created_at|text|lang|label|retweet_count|favorite_count
1507404589414371336|1080569698536878081|Fri Mar 25 17:10:34 +0000 2022|Congratulations @SHUWBB on your win against Drexel last night! We’ll be cheering you on in the Elite 8 on Monday.… https://t.co/43T43E1oi6|en|D|9|23
1507371420367704068|1080569698536878081|Fri Mar 25 14:58:46 +0000 2022|The NJ-11 Congressional Art Competition is back in-person again this year! We are now accepting submissions and the… https://t.co/tgYk51ppSC|en|D|3|4
1507138064824553480|1080569698536878081|Thu Mar 24 23:31:30 +0000 2022|I am thrilled to recognize Cantor Meredith Greenberg as she is honored by the Academy for Jewish Religion. Thank yo… https://t.co/m0GIa2Bc4W|en|D|3|31
1507016614746591234|1080569698536878081|Thu Mar 24 15:28:54 +0000 2022|1969 was the year Neil Armstrong landed on the moon, Woodstock took place, the Beatles recorded Abbey Road, and…the… https://t.co/apOEYWrhFw|en|D|43|195
1506978584765861900|1080569698536878081|Thu Mar 24 12:57:47 +0000 2022|"As a woman in national security, Madeline Albright was a mentor, a trailblazer and an icon.

She said, “It took me… https://t.co/muEFgfBxDx"|en|D|58|450
1506806680641753089|1080569698536878081|Thu Mar 24 01:34:42 +0000 2022|Today marks the 12th anniversary of the #AffordableCareAct. Because of the #ACA, 30 million Americans, including th… https://t.co/VcDAvX8jp1|en|D|19|82
1505622063431700489|1080569698536878081|Sun Mar 20 19:07:27 +0000 2022|Happy first day of Spring, NJ-11! https://t.co/oqHiAjKP9v|en|D|5|53
1505035736172609536|1080569698536878081|Sat Mar 19 04:17:36 +0000 2022|Saddened to hear of the passing of Rep. Don Young. He was a true legend and a public servant to the state of Alaska… https://t.co/oocdNLqGkZ|en|D|5|24
1504656289930137603|1080569698536878081|Fri Mar 18 03:09:49 +0000 2022|Sorry not sorry about your bracket! Doug Edert of Nutley sends Kentucky packing tonight. Congrats St. Peter’s! https://t.co/Ub61fIj4W4|en|D|8|72
1504579939819003911|1080569698536878081|Thu Mar 17 22:06:26 +0000 2022|"Today, I voted for bipartisan legislation that suspends normal trade relations with Russia.

It’s imperative we kee… https://t.co/vakgkITctz"|en|D|12|58
1504576198600536064|1080569698536878081|Thu Mar 17 21:51:34 +0000 2022|Last week, the Morristown National Historical Park unveiled new Crossroads of the American Revolution signs to high… https://t.co/PPCl4pw4bL|en|D|8|68
1504482832151834625|1080569698536878081|Thu Mar 17 15:40:33 +0000 2022|Thank you to Essex County for another great Irish Heritage Month Celebration! It was great to honor Patrick Lyons a… https://t.co/NKJz8mDsgd|en|D|2|23
1504099986480500740|1080569698536878081|Wed Mar 16 14:19:16 +0000 2022|Today, I heard President Zelensky give an incredibly powerful virtual address to Congress. We in Congress will cont… https://t.co/M8dBwOCLKV|en|D|74|550
1503840429153861637|1080569698536878081|Tue Mar 15 21:07:52 +0000 2022|Student-athletes dedicate unmatched levels of commitment to their sports, but the NCAA has a long history of dispar… https://t.co/WI3m92Qpgf|en|D|4|21
1503761308017123340|1080569698536878081|Tue Mar 15 15:53:29 +0000 2022|On this year’s equal pay day, I’m celebrating the U.S. Women's National Soccer Team’s win in their equal pay lawsui… https://t.co/o9Qd1H41Eo|en|D|12|40
1503743077135138823|1080569698536878081|Tue Mar 15 14:41:02 +0000 2022|This morning in @ChathamBorough first responders raised the Ukrainian flag after Mayor Kobylarz read a proclamation… https://t.co/OnjnjM5qeC|en|D|14|76
1503503332928860173|1080569698536878081|Mon Mar 14 22:48:22 +0000 2022|Absolutely devastating. Putin’s war of choice demonstrates his blatant disregard for humanity. We must remain unite… https://t.co/jp0w2BXBsH|en|D|18|53
1503478741657436161|1080569698536878081|Mon Mar 14 21:10:39 +0000 2022|My office is hosting a telephonic veterans’ claims clinic w/ the Newark VA Regional Office open to all veterans, ac… https://t.co/6011e8g4Ws|en|D|13|20
1503478635382153220|1080569698536878081|Mon Mar 14 21:10:14 +0000 2022|I want to thank the @passaic_county Board of Commissioners for organizing Friday’s prayer vigil and rally in suppor… https://t.co/NDMEF6rOAN|en|D|8|33
1503460209913700357|1080569698536878081|Mon Mar 14 19:57:01 +0000 2022|REMINDER: Applications are open for my Summer 2022 Internship Program for both my DC and District Office! To learn… https://t.co/LU1ufBvSCX|en|D|7|10
1503455218947743749|1080569698536878081|Mon Mar 14 19:37:11 +0000 2022|New Jersey’s moratorium on utility shut-offs ends tomorrow. If you are a PSE&amp;G customer, you can find information o… https://t.co/KEfRJ9J27v|en|D|4|8
1502434811973152770|1080569698536878081|Sat Mar 12 00:02:27 +0000 2022|Happy Birthday Lincoln Park!!! 100 years ago today the Beavertown area of Pequannock was incorporated as… https://t.co/fI6dqfdu6H|en|D|4|23
1502424161318227973|1080569698536878081|Fri Mar 11 23:20:08 +0000 2022|PSE&amp;G's moratorium on shut-offs is ending on March 15. If you are behind on your bill, you can still prevent discon… https://t.co/rJcgEMfGwd|en|D|8|17
1502415224036548614|1080569698536878081|Fri Mar 11 22:44:37 +0000 2022|Commuter line businesses like Time for a Bagel felt the impact of fewer commuters stopping in to grab coffee and a… https://t.co/pLombudu9P|en|D|3|18
1502411815707463680|1080569698536878081|Fri Mar 11 22:31:04 +0000 2022|The ARP helped students of all ages. 56 K-12 school districts in NJ-11 received over $85M to get students and teach… https://t.co/1QANZsT0r5|en|D|5|16
1502407470127501314|1080569698536878081|Fri Mar 11 22:13:48 +0000 2022|With flexible ARP funding, towns and counties in NJ-11 supported small businesses. The @MorrisCountyNJ Board of Com… https://t.co/R05nDwJs9N|en|D|5|12
1502403084206718982|1080569698536878081|Fri Mar 11 21:56:23 +0000 2022|With the American Rescue Plan, towns and counties in NJ-11 received over $475 million of direct federal funding wit… https://t.co/yCFtzRIKtA|en|D|10|38
