id|user|created_at|text|lang|label|retweet_count|favorite_count
1507060708273496075|18696134|Thu Mar 24 18:24:07 +0000 2022|I am glad to see that @POTUS has extended Temporary Protected Status for Ukrainians currently in the US and will ta… https://t.co/L3PXyNTPNQ|en|D|2|8
1506731542692909066|18696134|Wed Mar 23 20:36:08 +0000 2022|I’m sad to hear about the passing of Madeleine Albright. Madeleine was a trailblazer as first woman Secretary of St… https://t.co/OmubqkxiL3|en|D|2|11
1506347897562050561|18696134|Tue Mar 22 19:11:40 +0000 2022|I am glad to see that @HUDgov will provide $228,346,000 to New Jersey in Community Development Block Grant-Disaster… https://t.co/Bp4YCc81rX|en|D|2|1
1505563824333672452|18696134|Sun Mar 20 15:16:02 +0000 2022|Another big win for my alma matter, St. Peter’s! Congrats @PeacocksMBB! #SweetSixteen https://t.co/HiqEe8wJHe|en|D|8|40
1504884103514046470|18696134|Fri Mar 18 18:15:04 +0000 2022|Today, we celebrate 200 years of bilateral relations and recommit ourselves to working even harder to further stren… https://t.co/q7yiEfB23H|en|D|4|8
1504828706488999938|18696134|Fri Mar 18 14:34:56 +0000 2022|The luck of the Irish is shining on my alma mater @PeacocksMBB! I know a lot of hard work went into this win. Congr… https://t.co/SGCrD1oXxe|en|D|1|2
1504564883991449613|18696134|Thu Mar 17 21:06:36 +0000 2022|Please see my statement on US policy toward Venezuela: https://t.co/4rv1X5gfLJ|en|D|5|13
1504553018838110209|18696134|Thu Mar 17 20:19:27 +0000 2022|Happy Irish American Heritage Month &amp; St. Patrick’s Day to everyone in the 8th District. Irish Americans make so ma… https://t.co/xSPGzKDbWt|en|D|1|3
1504133353427116032|18696134|Wed Mar 16 16:31:51 +0000 2022|In the @HouseForeign Europe subcommittee hearing on early signs of war crimes in Ukraine, I asked witnesses what it… https://t.co/T1G7xPYnWQ|en|D|5|12
1504126365825646595|18696134|Wed Mar 16 16:04:05 +0000 2022|Today @ZelenskyyUa spoke before the House and Senate to address Putin’s unrelenting attack on Ukraine. The US and o… https://t.co/F5QE3UL4jX|en|D|5|13
1503787944997441537|18696134|Tue Mar 15 17:39:19 +0000 2022|This week marks the beginning of Deaf History Month, which celebrates people who are deaf and hard of hearing &amp; the… https://t.co/G2cI1WQxCX|en|D|5|3
1503464057378066435|18696134|Mon Mar 14 20:12:18 +0000 2022|A second set of COVID-19 tests are now available for free delivery from USPS. To order a second set of 4 rapid COVI… https://t.co/jqdgqFSLPM|en|D|1|2
1503436426083454979|18696134|Mon Mar 14 18:22:31 +0000 2022|Today is a good day to celebrate math and enjoy some pie- but don’t be too irrational! Happy Pi Day!|en|D|1|6
1502379569264922624|18696134|Fri Mar 11 20:22:56 +0000 2022|The American Rescue Plan, passed by Congress and enacted a year ago today, made historic progress when Americans ne… https://t.co/JpOaEhDjAX|en|D|5|2
1502355809686233096|18696134|Fri Mar 11 18:48:32 +0000 2022|Congrats to the Chilean people for exemplifying a healthy democracy and to @GabrielBoric for his inauguration as Pr… https://t.co/ToS4qcXAeE|en|D|2|7
1502349605060718595|18696134|Fri Mar 11 18:23:52 +0000 2022|Putin’s Russia should no longer benefit from most-favored nation status, WTO membership, or normal trade relations… https://t.co/AePcpKbNfw|en|D|4|12
1502062125149302802|18696134|Thu Mar 10 23:21:32 +0000 2022|I proudly voted in favor of legislation that contains historic investments for hard working Americans across the co… https://t.co/YNudTemYXQ|en|D|2|3
1502055393702428675|18696134|Thu Mar 10 22:54:47 +0000 2022|The omnibus package passed in the House yesterday provides critical funding for the defense and humanitarian aid of… https://t.co/JyxZnuaA7s|en|D|1|1
1502051844272574467|18696134|Thu Mar 10 22:40:41 +0000 2022|I applaud this step by President Biden to designate Colombia as a major non-NATO ally. Colombia has long been, and… https://t.co/QeQsw2L694|en|D|8|18
