id|user|created_at|text|lang|label|retweet_count|favorite_count
1520128381156835328|1078771401497161728|Fri Apr 29 19:50:23 +0000 2022|"This week, I met with restaurant owners and representatives of @myVRLTA.

Many of our local restaurants, breweries, and hotels are still struggling to recover from the pandemic.

Earlier this month, I was proud to vote for additional relief to support these hard-hit businesses. https://t.co/b4ifH6rzto"|en|D|4|23
1520086852224667649|1078771401497161728|Fri Apr 29 17:05:22 +0000 2022|"We must ban Members of Congress from buying, trading, and selling individual stocks while serving the American people.

RT if you agree."|en|D|3966|9497
1520061636631011328|1078771401497161728|Fri Apr 29 15:25:10 +0000 2022|"When our office helped Didier solve a @SocialSecurity issue he had been dealing with for years, he told us, “I just wish I had been aware of constituent services earlier.”

Are you having an issue with a federal agency, program, or benefit? Reach out to our team! https://t.co/PfYTIJmPts"|en|D|5|22
1520002455177596929|1078771401497161728|Fri Apr 29 11:30:00 +0000 2022|"Democracies around the world have been united in helping Ukraine defend itself against Russia.

We must do more.

Yesterday’s passage of the Ukraine Democracy Defense Lend-Lease Act gives @POTUS more flexibility to deliver Ukraine the support it needs to win. #StandWithUkraine https://t.co/9ocmwSzZxv"|en|D|91|194
1519793269894524935|1078771401497161728|Thu Apr 28 21:38:46 +0000 2022|"The @USTreasury’s Financial Crimes Enforcement Network plays a critical role in preventing Russian oligarchs, hackers, and criminals from laundering money in the United States.

That's why I led a letter with 27 Democrats and Republicans urging increased investment in FinCEN. https://t.co/CrxARfgosN"|en|D|101|250
1519775280671473672|1078771401497161728|Thu Apr 28 20:27:17 +0000 2022|"I JUST voted to send a bipartisan bill to @POTUS’s desk to streamline the providing of weapons and ammunition to the Ukrainian military.

When democracy is under siege, the United States has a moral and national security responsibility to stand with those who share our values. https://t.co/kdAxoMHWRj"|en|D|145|924
1519732085925294081|1078771401497161728|Thu Apr 28 17:35:39 +0000 2022|"TODAY my office is holding in-person office hours in Spotsylvania County!

Please join my team if you are having an issue with your Social Security benefits, Medicare, or any other federal program or benefit. https://t.co/0QWeoHkrLh"|en|D|6|13
1519702239144812544|1078771401497161728|Thu Apr 28 15:37:03 +0000 2022|"I had a productive meeting with Virginia leadership from the Army Corps of Engineers.

We must invest in @USACEHQ to meet the critical infrastructure needs of our communities, speed up regulatory processes, cut red tape, and make sure Virginia stays the #1 state to do business. https://t.co/TGpNNCj9zD"|en|D|5|16
1519662717086351360|1078771401497161728|Thu Apr 28 13:00:00 +0000 2022|"As grocery bills rise and producers struggle, the largest meatpacking companies are reporting record profit margins.

At yesterday’s @HouseAgDems hearing, I implored the CEOs of these companies to think of the Americans that are losing their family farms as a result. https://t.co/EesC9YJtUm"|en|D|72|167
1519651475072471040|1078771401497161728|Thu Apr 28 12:15:20 +0000 2022|"The reality is that we must have a comprehensive plan in place for when Title 42 ends, regardless of what anyone thinks about the policy.

We will see an increase in migrants at our southern border when this restriction is lifted — and we must be prepared.
https://t.co/whqgc3tEw8"|en|D|7|28
1519440553401896961|1078771401497161728|Wed Apr 27 22:17:12 +0000 2022|"On Yom HaShoah, we remember the millions of men, women, and children murdered during the Holocaust.

We must continue to teach our children and our children’s children of the horrors of that time.

It is the duty of the next generations to keep their memories alive."|en|D|68|218
1519424447786196997|1078771401497161728|Wed Apr 27 21:13:12 +0000 2022|"I JUST voted with a bipartisan majority to pass a bill pushing @POTUS to seize and sell Russian oligarchs’ assets and use the funds to provide aid to Ukraine.

We must keep up relentless pressure on Putin’s regime and give the Ukrainian people the chance at victory they deserve. https://t.co/IFOwaYwR5M"|en|D|313|1705
1519378785568575488|1078771401497161728|Wed Apr 27 18:11:45 +0000 2022|"Schools across Virginia have relied on federal child nutrition waivers to serve school meals — but they're set to expire on June 30.

I’m leading bipartisan legislation to extend @USDA authority to make sure that all our students are fed through the upcoming school year. https://t.co/oDPzdUhMen"|en|D|23|75
1519341560407678976|1078771401497161728|Wed Apr 27 15:43:50 +0000 2022|"As I told @business, hand-waving gestures, empty promises, and delay tactics masquerading as good-faith hearings will not cut it.

My TRUST in Congress Act to ban Members of Congress from trading individual stocks has real bipartisan support.

We must get this done. https://t.co/29lU4pqdNl"|en|D|15|44
1519285240899858432|1078771401497161728|Wed Apr 27 12:00:03 +0000 2022|"School nutrition waivers have proven essential to making sure no child goes hungry.

Thank you @RTDOpinions for highlighting my bipartisan bill to give @USDA authority to extend these waivers and cut red tape for schools to feed their students.
https://t.co/6Es3ewNvwD"|en|D|17|27
1519032680364617728|1078771401497161728|Tue Apr 26 19:16:27 +0000 2022|"My Senate colleague is regurgitating Kremlin talking points and essentially denying Ukraine’s right to exist.

Russia has NO right to attack sovereign nations.

Ukraine has been free since the fall of the Soviet Union in 1991, and I’d hope that to be clear to all U.S. lawmakers. https://t.co/K0Zw1nbySI"|en|D|654|2564
