id|user|created_at|text|lang|label|retweet_count|favorite_count
1520157008166408192|24913074|Fri Apr 29 21:44:08 +0000 2022|I applaud Alex Tourk for always looking for solutions! Read about his latest idea to house the homeless in San Francisco. https://t.co/HxZyVyJTlA|en|D|12|49
1520038473130029058|24913074|Fri Apr 29 13:53:07 +0000 2022|As I said in the HASC Readiness hearing, the F-35 program is another LCS debacle, but even worse! $400 BILLION to build? Over $1 TRILLION in sustainment costs? Only 30-35% are fully mission capable? It's a federal taxpayer-funded cash cow for @LockheedMartin for years to come! https://t.co/HiXZAKca2X|en|D|24|57
1519788987292004352|24913074|Thu Apr 28 21:21:45 +0000 2022|Time for the trucking industry to get serious! They desperately need more workers to keep supply chains moving but not at the cost of women’s safety! Its unacceptable that women are only 7% of the trucking industry yet 90% reported sexual harassment. #EndSexualViolenceInTrucking|en|D|19|54
1519784928770203648|24913074|Thu Apr 28 21:05:37 +0000 2022|Childhood cancer is a nightmare no child or parent should ever endure, &amp; even with cure rates for children diagnosed with cancer increasing to 85%, many survivors continue to face the unexpected nightmare of ongoing medical needs. The population of childhood cancer survivors...|en|D|5|59
1519493084534521858|24913074|Thu Apr 28 01:45:56 +0000 2022|Speaking at this year’s Armenian Genocide commemoration w/ @ANCA_DC &amp; @ARAMAC_DC  in my last year in Congress was bittersweet. It’s an honor to work on behalf of Armenians to heal the wounds of the Armenian Genocide &amp; I urge us all to continue fighting oppression everywhere. https://t.co/HBc0AkL2qd|en|D|27|127
1519448181100228608|24913074|Wed Apr 27 22:47:31 +0000 2022|As I learn more about my Jewish heritage, #YomHashoah, or the day of remembrance for the 6 million Jewish victims of the Holocaust, has taken on an even more profound meaning for me. We honor the lost souls &amp; recommit to fighting against anti-Semitism &amp; all forms of oppression.|en|D|27|91
1519378483742392323|24913074|Wed Apr 27 18:10:33 +0000 2022|Speaking with many victims of military sexual harassment &amp; sexual assault, it's clear that sexual harassment begets sexual assault. That’s why the SHIIP Act ensures sexual harassment is independently investigated &amp; prosecuted outside the chain of command. https://t.co/WQKObDs5qm|en|D|13|56
1519312758881374209|24913074|Wed Apr 27 13:49:23 +0000 2022|It’s simple: we can’t build infrastructure w/out workers, we certainly can’t recruit workers w/out child care AND workers can’t afford child care when costs soar 214% over the last 30+ yrs. Child care IS infrastructure &amp; it’s time for us to start acting like it! #SolveChildCare https://t.co/RZhfBhofo3|en|D|46|116
1519045756400906241|24913074|Tue Apr 26 20:08:25 +0000 2022|"25 women gang raped in Bucha-now 9 are pregnant. Another woman repeatedly raped while sheltering in a school. When she asked if she could get dressed she was told only from the waist up. She was cut, beaten &amp; told her son would be killed. Rape is warfare. 
https://t.co/8bkTogfCGp"|en|D|52|90
1519001872031432704|24913074|Tue Apr 26 17:14:02 +0000 2022|Let's bring back the fairness doctrine. Hannity was taking orders in writing from the WH to push the Trump messaging points in the last election. No wonder Fox News dropped its “fair and balanced” motto in 2017. Laughable and dangerous. https://t.co/VTivH80aTj|en|D|36|107
1518697673880186881|24913074|Mon Apr 25 21:05:16 +0000 2022|There is something fundamentally unAmerican when a former president feels entitled to say the law doesn’t apply to him. Arrogant. Dishonorable. …And criminal. https://t.co/bqEMOyypa0|en|D|36|159
1518553098431700994|24913074|Mon Apr 25 11:30:46 +0000 2022|2 years since Vanessa’s murder &amp; my promise to ensure no other family suffers what the Guillén family has endured &amp; no other servicemember suffers Vanessa’s tragic &amp; avoidable fate is still as strong. Congress must pass my bipartisan SHIIP Act to keep that promise &amp; honor Vanessa https://t.co/imRDOu4CLK|en|D|51|142
1518335228028362753|24913074|Sun Apr 24 21:05:02 +0000 2022|I will never forget the great sadness in my mother’s eyes as she taught me about the horrors of the Armenian Genocide. On the 107th anniversary we must remember &amp; memorialize the cold-blooded murder of 1.5M Armenians. Our truth is the strongest tool against erasure &amp; oppression. https://t.co/HKZVqNVpno|en|D|96|368
1517634490436177920|24913074|Fri Apr 22 22:40:33 +0000 2022|As we dig into the work of the 117th Congress I’m excited to be in conversation at @welcometomannys about what I’m working on and my perspectives on my time in office. I hope you’ll join me on Monday 4/25 at 6:30 pm at Manny’s!|en|D|3|29
1517607423556694018|24913074|Fri Apr 22 20:53:00 +0000 2022|"The oldest trick in the book when you know you are lying is to say ""I don’t recall."" Ask Donald Trump. Today Taylor Greene is exhibiting what she learned from Trump’s master class on deceit. https://t.co/yKRBQTkZEI"|en|D|35|156
1517590385492733955|24913074|Fri Apr 22 19:45:18 +0000 2022|Few deserve the JFK Profile in Courage award more than @RepLizCheney, who I nominated! At great personal cost, including death threats, she's taken a stand for our Constitution, core democratic principles, and the American way of life in her pursuit of truth &amp; justice for Jan 6. https://t.co/nkkTDEOlb9|en|D|52|328
1517576410046636034|24913074|Fri Apr 22 18:49:46 +0000 2022|Time is running out for bold climate action as 2021 joins a slew of the hottest years on record. #EarthDay reminds us that climate catastrophe is existential &amp; harms the most vulnerable. WE must combat misinformation &amp; political red tape to adapt &amp; secure a livable future! https://t.co/Hovughll9T|en|D|15|25
1517540734185869313|24913074|Fri Apr 22 16:28:00 +0000 2022|Florida’s “Don’t Say Gay or Trans” law has one goal: eradication of LGBTQ+ people &amp; communities. As it is, 4 out of 5 LGBTQ+ students struggle to find positive representation in school. On this #DayofSilence we stand w/students &amp; allies in the fight against this hateful campaign. https://t.co/TR0XWWKbH7|en|D|21|49
1517522249103953920|24913074|Fri Apr 22 15:14:33 +0000 2022|On the anniversary of SPC Vanessa Guillén’s death, I’m finishing what I started by introducing the bipartisan SHIIP Act to take sexual harassment out of the chain of command. Not including it in the offenses to be handled by new, independent mil prosecutors was flat out wrong.|en|D|47|185
1517199283912691712|24913074|Thu Apr 21 17:51:12 +0000 2022|A Res to recognize the ERA is hitting the CA Senate floor TODAY. It’s been 2 yrs since the ERA was ratified by 38 states &amp; 50 yrs since it passed Congress. Of course if it’s related to women, passing a law once is never enough. No more delays! #ERANow https://t.co/fIxRbdT4Et|en|D|56|185
1516798686478876674|24913074|Wed Apr 20 15:19:22 +0000 2022|Good to see @USArmy CID hire the first 3 civilians, including 2 women, all with many years of fed law enforcement experience to run new regional field offices. Major progress since the hearing I chaired a year ago in the wake of CID’s failures at Ft Hood https://t.co/beb3fzkH0F|en|D|16|52
1516423666527092753|24913074|Tue Apr 19 14:29:10 +0000 2022|The CAA Reform Act, born of the #MeToo movement, made history in 2018. But clearly more must be done to ensure Members are held responsible, taxpayers aren’t left holding the bag &amp; survivors are protected. For real change to occur those committing these vile acts must pay up. https://t.co/5tN85yaILN|en|D|10|35
