id|user|created_at|text|lang|label|retweet_count|favorite_count
1520502751557472261|2962813893|Sat Apr 30 20:38:00 +0000 2022|CRT does NOT belong in schools.|en|R|819|7788
1520489413901488129|2962813893|Sat Apr 30 19:45:00 +0000 2022|"New York State cannot continue to raise taxes forever.
 
It is crushing small businesses and driving out hardworking people.

MORE from my conversation with @David_Kopyc on @810WGY 👇👇👇 https://t.co/hhpRl6tzDI"|en|R|7|111
1520475518902095872|2962813893|Sat Apr 30 18:49:47 +0000 2022|"#NationalPrescriptionDrugTakeBackDay is an opportunity to raise awareness of prescription drug abuse by disposing of unused, unwanted, or expired prescription drugs at participating collection sites. 
 
To find collection sites across #NY21, click here: https://t.co/N6wbPQXWsG"|en|R|7|27
1520434878864670721|2962813893|Sat Apr 30 16:08:18 +0000 2022|"One-party Democrat rule in Washington and Albany has failed to address the crises impacting our families and communities.

🎧LISTEN to my interview on @810WGY 👇👇👇 https://t.co/SOuyDD3csI"|en|R|14|87
1520358919239053313|2962813893|Sat Apr 30 11:06:27 +0000 2022|"I’m joining @David_Kopyc on @810WGY at 8:05 AM.
 
Tune in!"|en|R|7|93
1520164775019261953|2962813893|Fri Apr 29 22:15:00 +0000 2022|Under Joe Biden and House Democrats’ radical open border policies, every state is a border state.|en|R|181|1138
1520139608897441792|2962813893|Fri Apr 29 20:35:00 +0000 2022|"You don’t have to tell Americans the economy shrunk by 1.4%.
 
They are already feeling the pain of Biden’s Economic Crisis."|en|R|167|1092
1520119476577923073|2962813893|Fri Apr 29 19:15:00 +0000 2022|"I am proud to bring the Schoharie Limo Crash to the FBI’s attention.
 
The FBI investigation needs to happen quickly and thoroughly.
 
These families and communities deserve answers.
https://t.co/e5271ZceN4"|en|R|12|70
1520101860832600065|2962813893|Fri Apr 29 18:05:00 +0000 2022|"Don’t forget – Secretary Mayorkas could not answer if TERRORISTS who were encountered on our southern border had been released into the U.S.
 
He is unfit to serve as DHS Secretary."|en|R|420|1826
1520077953970753536|2962813893|Fri Apr 29 16:30:00 +0000 2022|Why does the Left fear Free Speech?|en|R|566|4785
1520066628918005760|2962813893|Fri Apr 29 15:45:00 +0000 2022|"Reminder – there are requirements for Northern Border travel, while our southern border is wide open.
 
The Biden administration’s hypocrisy is showing.
https://t.co/LZF3eF3m75"|en|R|60|264
1520042868273995776|2962813893|Fri Apr 29 14:10:35 +0000 2022|"The Biden administration just took one more step towards Communism.
 
DHS’ “Ministry of Truth” is a crackdown on our Constitutional right to Free Speech."|en|R|504|2182
1519994852116729856|2962813893|Fri Apr 29 10:59:47 +0000 2022|"🚨🚨Unbelievable!🚨🚨
 
It is unacceptable and inappropriate that New York is using federal COVID funds to implement CRT in our schools. A clear abuse and misuse of taxpayer funds! 

Read my full statement here👇👇👇 https://t.co/LikVS1Kok5"|en|R|177|710
1519817486237061121|2962813893|Thu Apr 28 23:15:00 +0000 2022|Parents are the primary stakeholders in their children’s education.|en|R|362|3118
1519801128812171265|2962813893|Thu Apr 28 22:10:00 +0000 2022|Build the WALL!|en|R|612|4844
1519787287965581318|2962813893|Thu Apr 28 21:15:00 +0000 2022|"The evidence is clear.
 
The Biden administration has created a crisis at our southern border.
 
We must secure our border.
https://t.co/7FOy74pqTV"|en|R|41|266
1519766826422611969|2962813893|Thu Apr 28 19:53:41 +0000 2022|"On Yom HaShoah, #WeRemember the six million Jewish lives brutally taken in the Holocaust.
 
As we honor these innocent victims of evil, we recommit ourselves to teaching the next generation to reject anti-Semitism."|en|R|13|123
1519764638014996481|2962813893|Thu Apr 28 19:45:00 +0000 2022|Joe Biden’s failed policies SHRUNK the economy by 1.4%|en|R|164|1250
1519753565392228353|2962813893|Thu Apr 28 19:01:00 +0000 2022|"""This most recent bill proposed by Stefanik will protect our border officers and the general public, while making sure the rule of law is upheld at our southern border.""
 
Thank you, Jenna Mazza from Floyd for your kind words in @ur_sentinel:
https://t.co/NkacnMlNev"|en|R|10|37
