id|user|created_at|text|lang|label|retweet_count|favorite_count
1516070044274417665|310310133|Mon Apr 18 15:04:00 +0000 2022|Great to celebrate Community Development Week last week with Mayor Tom Koch and HUD Region 1 Administrator Juana Matias in Quincy today, where we celebrated the significant impact Community Development Block Grants (CDBG) have had on Quincy College and the entire City of Quincy. https://t.co/zJhHEVase0|en|D|1|3
1514698158600773641|310310133|Thu Apr 14 20:12:37 +0000 2022|This morning I joined @MassGovernor Baker &amp; Mayor Michelle Wu @WuTrain at the Coast Guard Base Boston groundbreaking ceremony for their new Fast Response Cutters pier. The US Coast Guard has announced it will station 6 new Fast Response Coast Guard Cutters in the Port of Boston. https://t.co/UiWWDVRYnS|en|D|5|18
1509952302760828932|310310133|Fri Apr 01 17:54:17 +0000 2022|1/2 Very proud that the House passed H.R. 6833 this week, the Affordable Insulin Now Act, which would ensure every American with diabetes will pay no more than $35 for a monthly supply of insulin.|en|D|0|14
1508534861438533637|310310133|Mon Mar 28 20:01:52 +0000 2022|1/3 Today I introduced H.R. 7231, the Electronic Currency and Secure Hardware (ECASH) Act, which would develop an electronic version of the U.S. dollar for the American public. https://t.co/N3H3VlUDMx|en|D|23|51
1508480323583193091|310310133|Mon Mar 28 16:25:10 +0000 2022|I led a bipartisan congressional delegation to Eastern Europe and the Ukrainian border last week to send a clear, unambiguous message to our allies and partners: the United States stands with them and the people of Ukraine at this pivotal moment in history. https://t.co/CErmUSK4uK|en|D|1|28
1503723260399267840|310310133|Tue Mar 15 13:22:17 +0000 2022|1/2 Wonderful to attend Norwood Special Town Meeting last night – it was great to see all the residents in person again and engaged in their community and local government. https://t.co/2ZVFc8oN2X|en|D|1|8
1502418043934330885|310310133|Fri Mar 11 22:55:49 +0000 2022|1/2 This week the House passed H.R. 6968, Suspending Energy Imports from Russia Act, which will ban the import of Russian oil &amp; energy products into the United States. This will cut off a major source of revenue for Vladimir Putin as we continue to punish Russia for its heinous…|en|D|6|9
1499444716252844040|310310133|Thu Mar 03 18:00:53 +0000 2022|1/6 Very proud the House passed the bipartisan #PACTAct today. This legislation includes language from my K2 veterans bill and would get our veterans the benefits they urgently need.|en|D|13|41
1496856123462373386|310310133|Thu Feb 24 14:34:44 +0000 2022|Vladimir Putin will have blood on his hands for his war of choice against Ukraine. This is an unjustified, unprovoked attack against the free and sovereign nation of Ukraine and an affront to international peace and stability. My full statement here: https://t.co/am1QxAoqVN|en|D|20|60
1495903931981082630|310310133|Mon Feb 21 23:31:04 +0000 2022|1/2 Today I spoke with @brikeilarcnn on @NewDay about Russia’s escalating military threats against Ukraine. The U.S. and NATO must stand in support of the democratic freedom of the Ukrainian people and continue to urge Putin to avoid war.|en|D|5|18
1493613004931440641|310310133|Tue Feb 15 15:47:45 +0000 2022|1/3 Great to join my partners @MassGovernor, @SenWarren, Mayor Tom Koch, @RonMariano, @TackeyChan &amp; @BruceJAyers yesterday at the groundbreaking ceremony for the MBTA’s new Quincy Bus Maintenance facility, which will be built with funding from the Bipartisan Infrastructure Law. https://t.co/09L8EzeL6j|en|D|6|11
1493408268848443394|310310133|Tue Feb 15 02:14:12 +0000 2022|1/2 I am proud to be an original co-sponsor of H.Res.915, which would grant Congressional staff protections to organize for fundamental collective bargaining rights.|en|D|3|11
1492886867376852997|310310133|Sun Feb 13 15:42:20 +0000 2022|My congratulations to Susan M. Collins, the first Black woman selected to be the President of the Boston Federal Reserve Bank. I look forward to seeing the positive impact she will have on New England economies and businesses. @BostonFed|en|D|3|14
1491191050857500673|310310133|Tue Feb 08 23:23:46 +0000 2022|Today I spoke on the House floor in strong support of the Postal Service Reform Act. This bipartisan, landmark agreement includes fundamental reforms that strengthen the U.S. Post Office and provides vital support to the nearly 650,000 dedicated clerks... https://t.co/TgcSqk4z3Q|en|D|2|16
1490124443766734849|310310133|Sun Feb 06 00:45:27 +0000 2022|We have seen throughout the pandemic there are significant risks of relying on global supply chains for critical goods. The #AmericaCOMPETES Act invests $45B to strengthen supply chains and $52B in American computer chip manufacturing to insulate US families from rising prices.|en|D|5|8
1489690719820423175|310310133|Fri Feb 04 20:01:59 +0000 2022|Proud the House passed the #AmericaCOMPETES Act today, a bold legislative package that makes transformational new investments in research, innovation and American manufacturing that will ensure that America can outcompete any nation in the world.|en|D|3|7
