id|user|created_at|text|lang|label|retweet_count|favorite_count
1507445735322755082|1069636653353000962|Fri Mar 25 19:54:04 +0000 2022|To honor the 12th anniversary of the Affordable Care Act, I led a letter urging @POTUS to close the “family glitch”… https://t.co/3nMidMteeB|en|D|13|45
1507366996375187474|1069636653353000962|Fri Mar 25 14:41:12 +0000 2022|"Couldn't be happier seeing everyone at our in-person  town hall with Bethlehem Mayor Reynolds.

Thanks so much to e… https://t.co/hnFT3J6lgF"|en|D|6|18
1506955122902982663|1069636653353000962|Thu Mar 24 11:24:33 +0000 2022|"Thank you @ActOnClimateUS for being a powerful voice advocating to #ActNow to address climate change. 

It’s an hon… https://t.co/x6prwDQKRc"|en|D|7|30
1506710681990619155|1069636653353000962|Wed Mar 23 19:13:14 +0000 2022|Terribly sad to hear about the passing of Madeleine Albright. She was a trailblazer for women everywhere, champion… https://t.co/kIGkkXT8r2|en|D|5|19
1506662929185259534|1069636653353000962|Wed Mar 23 16:03:29 +0000 2022|12 years ago today, the Affordable Care Act was signed into law, securing affordable and quality health care covera… https://t.co/PfzmPkAhYH|en|D|6|25
1506400083566338051|1069636653353000962|Tue Mar 22 22:39:02 +0000 2022|"Today, I took a trip to visit @orasure!  

They do ground breaking work right here in PA-07—and just last year, the… https://t.co/DDJ2FxcIFx"|en|D|4|15
1506330485617745927|1069636653353000962|Tue Mar 22 18:02:28 +0000 2022|"Excited about this! Please join me for a Town Hall TOMORROW at 3:30pm.

RSVP: https://t.co/WG7pAtz4Na https://t.co/mX2VsyBDPx"|en|D|1|6
1506008640683139075|1069636653353000962|Mon Mar 21 20:43:34 +0000 2022|"I commend Air Products and CEO Seifi Ghasemi for making the right decision of leaving Russia. 

We must always… https://t.co/qK1o6ySgLL"|en|D|3|15
1505975772103720968|1069636653353000962|Mon Mar 21 18:32:58 +0000 2022|"Last week’s visit to @IEHCorporation’s new location in Allentown! 

They were drawn to the Lehigh Valley because of… https://t.co/FtnuZIGZXd"|en|D|3|4
1505916652013166597|1069636653353000962|Mon Mar 21 14:38:03 +0000 2022|Heartbroken hearing about the Pennsylvania State Troopers and civilian who lost their lives earlier today. This is… https://t.co/Re3zJ0YgIW|en|D|5|13
1505211211448791044|1069636653353000962|Sat Mar 19 15:54:52 +0000 2022|For Lorna 🧡 @drbreenheroes https://t.co/kNvwnxx1qx|en|D|9|38
1504925709764079624|1069636653353000962|Fri Mar 18 21:00:24 +0000 2022|Proud to be at the White House today witnessing @POTUS sign our bill, the Dr. Lorna Breen Act, into law! https://t.co/SrjEPPwVm1|en|D|11|60
1504890978146136065|1069636653353000962|Fri Mar 18 18:42:23 +0000 2022|"Come join me for a town hall with Bethlehem Mayor Reynolds on Wednesday, March 23 at 3:30PM.

To RSVP:… https://t.co/93hXxbbI30"|en|D|5|10
1504569527060811783|1069636653353000962|Thu Mar 17 21:25:03 +0000 2022|"Today, I'm on the House floor dispelling myths about forced arbitration. 

We need to pass the FAIR Act and ensure… https://t.co/XEhrPDsHOj"|en|D|6|31
1504519056589832203|1069636653353000962|Thu Mar 17 18:04:30 +0000 2022|"At 2 million strong, women veterans make up the largest and fastest-growing cohort of the veteran population.

Duri… https://t.co/3IYMi3NFh9"|en|D|26|78
1504491454156189707|1069636653353000962|Thu Mar 17 16:14:49 +0000 2022|Wishing everyone a happy, healthy, and safe St. Patrick's Day!☘️ https://t.co/IArmjSDAkI|en|D|1|11
1504202383219466242|1069636653353000962|Wed Mar 16 21:06:09 +0000 2022|While the COVID-19 pandemic has been life-changing for so many, arguably the greatest toll has been on our health c… https://t.co/fdPjo7WVKW|en|D|5|9
1504175163050532865|1069636653353000962|Wed Mar 16 19:17:59 +0000 2022|The blood donation ban—alongside discrimination in education, employment, and more—is a manifestation of the unacce… https://t.co/1jbZvjehyq|en|D|10|25
1504092538747207682|1069636653353000962|Wed Mar 16 13:49:40 +0000 2022|"The people of Ukraine continue to bravely fight for their home and democracy.

It was an honor to listen to… https://t.co/wgAtbRCkqc"|en|D|3|24
1503856501428998147|1069636653353000962|Tue Mar 15 22:11:44 +0000 2022|Tune in.👇🏼👇🏼👇🏼 https://t.co/3QVYnjuu42|fr|D|1|9
1503822967364632576|1069636653353000962|Tue Mar 15 19:58:29 +0000 2022|"I have a new 'Issues' page on my website! 

Check out where I stand and how I'm working on all of your most pressin… https://t.co/j7gHnM12mX"|en|D|2|12
1503737588691181577|1069636653353000962|Tue Mar 15 14:19:13 +0000 2022|The gender wage gap is a measure of just how far our nation still has to go to ensure that women can participate fu… https://t.co/o4sfcTTETY|en|D|6|14
1503454775542792199|1069636653353000962|Mon Mar 14 19:35:25 +0000 2022|"This past week was K9 Veterans Day! 

I introduced the National Service Animal Act to recognize the contributions o… https://t.co/1Hgvw8UfFm"|en|D|3|7
1503410823837851654|1069636653353000962|Mon Mar 14 16:40:47 +0000 2022|This month marks the 50th anniversary of the Older Americans Act, legislation that provides funding for programs li… https://t.co/gfOtkGRazV|en|D|7|24
1503171867615629313|1069636653353000962|Mon Mar 14 00:51:15 +0000 2022|"SOON: I’m joining @AymanMSNBC to discuss the latest on Ukraine.

 📺 Tune in at 9:15pm ET!"|en|D|3|12
