id|user|created_at|text|lang|label|retweet_count|favorite_count
1519757392673742856|381152398|Thu Apr 28 19:16:12 +0000 2022|I was honored to speak at the African-American Mayors Association Annual Conference today. So glad I got to see two of my mayors, @randallwoodfin and @stevenlouisreed! https://t.co/TPXTlL5pt6|en|D|15|55
1519717317550161920|381152398|Thu Apr 28 16:36:58 +0000 2022|See you soon, @MilesCollege! 👋🏾 https://t.co/tauNVGHlW1|en|D|3|6
1519699458786664449|381152398|Thu Apr 28 15:26:00 +0000 2022|"Thrilled that my NOPAIN Act was endorsed by the @NewDemCoalition as part of a slate of bills to address substance use &amp; mental health.
 
This bill would lessen the risk of opioid addiction and stem the needless loss of life plaguing our communities. More: https://t.co/3b6orkWPZo https://t.co/oOGsOxXIrf"|en|D|6|12
1519688846388125696|381152398|Thu Apr 28 14:43:50 +0000 2022|Just met with the Alabama Teacher of the Year, Mrs. Kimberly Christian Johnson. Mrs. Johnson is an inspiration to me and the many students that she serves. I’m proud to recognize public school teachers like her who have been instrumental in the lives of our youth! https://t.co/AMQZh5BM3C|en|D|14|86
1519404856192213000|381152398|Wed Apr 27 19:55:21 +0000 2022|It was my distinct honor to meet with the Director-General of the @WTO, Dr. Ngozi Okonjo-Iweala. We discussed the role of the WTO in promoting international trade, lifting communities out of poverty, and promoting market access for small and medium sized women-owned businesses! https://t.co/nCNtivsS2k|en|D|7|30
1519379895800979457|381152398|Wed Apr 27 18:16:10 +0000 2022|I’m thrilled that the Birmingham area will receive $4.2+ million in YouthBuild grants from @USDOL! This is a win-win for our community, connecting at-risk youth with job training and education and growing our clean energy workforce. Thank you to the Biden-Harris Administration!🙌🏾 https://t.co/ZuFUaG5yJd|en|D|3|8
1519371736596336641|381152398|Wed Apr 27 17:43:45 +0000 2022|This morning I had the great honor of recognizing a true pioneer and legend of broadcast journalism, @TheArtFranklin, ahead of his departure from @CBS_42. Congratulations, Art! We in Birmingham are so proud of all you have done and wish you much luck in your future endeavors! https://t.co/hmfYC1mdao|en|D|8|12
1519347615430844416|381152398|Wed Apr 27 16:07:54 +0000 2022|11 years ago today, 64 tornadoes tore through Alabama including the most damaging tornado in our state’s history which devastated Tuscaloosa, Birmingham, and the Black Belt. As we acknowledge the progress made to rebuild, we keep the memories of those lost close in our hearts. https://t.co/tgH7V8RJYX|en|D|17|42
1519333753138597888|381152398|Wed Apr 27 15:12:49 +0000 2022|Just met with Colonel Jeremy J. Chapman and his team from @USACEMobile. We had a great conversation about the Selma River Erosion Project and the Valley Creek Flood Risk Management Project. Excited to help move these projects forward to mitigate flooding in #AL07! https://t.co/kHszxArZ3e|en|D|2|7
1519120497480507394|381152398|Wed Apr 27 01:05:25 +0000 2022|Had a wonderful time speaking with these students from the @UofAlabama’s School of Social Work. I applaud them for their commitment to public service and for dedicating their careers to ensuring that every member of our community can live up to their God-given potential! 👏🏾 https://t.co/x9M8VgJik0|en|D|17|36
1519022408870547456|381152398|Tue Apr 26 18:35:39 +0000 2022|"I applaud President Biden for issuing these pardons and commutations—including 3 in Alabama—to give those convicted of non-violent offenses a second chance.

In the words of Bryan Stevenson, “each of us is more than the worst thing we’ve ever done.” https://t.co/LMCnF5EEK7"|en|D|216|1091
1518977246257684480|381152398|Tue Apr 26 15:36:11 +0000 2022|Big news for Birmingham!! 🙌🏾 🏀  #MarchMadness https://t.co/4vpanaaSXe|en|D|7|9
1517556487559823361|381152398|Fri Apr 22 17:30:36 +0000 2022|Happy #EarthDay! We have a moral obligation to protect our planet for future generations. That means making critical investments in clean air and water, investing in renewable energy to combat the climate crisis, and advancing #EnvironmentalJustice for all! https://t.co/4uUALXsERH|en|D|9|22
1517538496856133633|381152398|Fri Apr 22 16:19:06 +0000 2022|"Yesterday, I attended the ribbon-cutting of the new PREP Center in Uniontown.

How we treat the most at-risk members of our community is the true test of our character. By focusing on rehabilitation, this facility will help give a fresh start to those who have been incarcerated. https://t.co/Knul9gLrtg"|en|D|7|7
