id|user|created_at|text|lang|label|retweet_count|favorite_count
1507425557016989700|303861808|Fri Mar 25 18:33:54 +0000 2022|"Last week, the number of Americans filing for unemployment hit the lowest level since September 1969.

Our economic… https://t.co/dNeddqnV6s"|en|D|2|6
1507103726053560320|303861808|Thu Mar 24 21:15:03 +0000 2022|"Had a fantastic conversation with the City of Lakeport officials about the city and their ongoing work.

Always gre… https://t.co/RubOlTILAi"|en|D|1|6
1507063878202662918|303861808|Thu Mar 24 18:36:43 +0000 2022|NOW: I’m holding a press conference with Lake County officials on the $320k I secured for the Effluent Pipeline pro… https://t.co/En4gS7KUGg|en|D|3|4
1507044584295215119|303861808|Thu Mar 24 17:20:03 +0000 2022|It was great to attend Judge Rich Freeborn’s weekly Judge’s Breakfast as a guest of Clearlake Mayor Dirk Slooten.… https://t.co/tOysGk3GNw|en|D|1|6
1507020683183853570|303861808|Thu Mar 24 15:45:04 +0000 2022|Judge Ketanji Brown Jackson is immensely qualified, and we have seen over the last few days that her intellect, tem… https://t.co/ZiAolV61mK|en|D|10|53
1506979215148822534|303861808|Thu Mar 24 13:00:17 +0000 2022|"Today marks one month of Putin’s illegal invasion of Ukraine.
 
One month of bombing civilians, attacking humanitar… https://t.co/U4sxGFU8nK"|en|D|5|31
1506783695960776705|303861808|Thu Mar 24 00:03:22 +0000 2022|Today, we celebrate twelve years of the Affordable Care Act. This life-saving piece of legislation has ensured that… https://t.co/l2NVIM4VAK|en|D|4|19
1506771531220893696|303861808|Wed Mar 23 23:15:02 +0000 2022|"Reports by Moody’s show that the Child Tax Credit can offset the impact of inflation on family budgets.
 
The CTC p… https://t.co/vGy971AD8c"|en|D|4|12
1506731014839836678|303861808|Wed Mar 23 20:34:02 +0000 2022|"Jan and I are saddened to hear about the passing of the great Dr. Madeleine Albright.

The first woman to serve as… https://t.co/3g2NLllMKv"|en|D|3|13
1506718687482593294|303861808|Wed Mar 23 19:45:03 +0000 2022|"The America COMPETES Act is first &amp; foremost a jobs bill. 
 
By improving the nation’s supply chains, strengthening… https://t.co/60uRyn1Nj2"|en|D|3|10
1506676237099536394|303861808|Wed Mar 23 16:56:22 +0000 2022|"The real key to energy independence is investing in clean energy.
 
The global oil market is sensitive to the whims… https://t.co/jTwuDxeR0b"|en|D|5|28
1506432228657614849|303861808|Wed Mar 23 00:46:46 +0000 2022|"I voted for the Infrastructure Investment and Jobs Act to help #CA05:
 
🛣 Rebuild roads and bridges
💧 Deliver clean… https://t.co/rNXuaTmgrk"|en|D|4|17
1506390475309207555|303861808|Tue Mar 22 22:00:51 +0000 2022|Great news! Napa was awarded nearly $8.5 MM from @USDOT to invest in electric buses and maintaining facilities.… https://t.co/hkmshOMnCC|en|D|2|6
1506317749525614602|303861808|Tue Mar 22 17:11:52 +0000 2022|Today marks the one-year anniversary of the shooting at the King Soopers in Boulder where 10 people were killed by… https://t.co/jWWtrdr0xo|en|D|9|26
1506073321779122176|303861808|Tue Mar 22 01:00:36 +0000 2022|This past weekend Tacos Chavez celebrated their 50th anniversary. The first food truck in Napa County, Tacos Chavez… https://t.co/RGgA8WBMmK|en|D|4|30
1506036144651259905|303861808|Mon Mar 21 22:32:52 +0000 2022|This week marks National Agriculture Week, and #CA05 has some of the best agricultural workers and products in the world. 1/3|en|D|2|9
1505976385801801735|303861808|Mon Mar 21 18:35:24 +0000 2022|Our communities in #CA05 have been uniquely impacted by wildfires, and our local and state governments have had to… https://t.co/SBiyMuj0Gq|en|D|2|10
1505936883431391232|303861808|Mon Mar 21 15:58:26 +0000 2022|Judge Ketanji Brown Jackson’s nomination is historical, and her expertise and background make her an excellent nomi… https://t.co/biaue7CrdV|en|D|7|32
1505710898878590977|303861808|Mon Mar 21 01:00:27 +0000 2022|ICYMI: I introduced the Gas Rebate Act with @RepJohnLarson and @RepUnderwood to send Americans making $75k or less… https://t.co/ulSkaBclg2|en|D|6|20
1505642850612043789|303861808|Sun Mar 20 20:30:03 +0000 2022|Last Tuesday, @POTUS signed the funding package into law. I was proud to vote for this legislation to create millio… https://t.co/zaIBcBNQnK|en|D|3|10
1505619649513365504|303861808|Sun Mar 20 18:57:52 +0000 2022|"Jan &amp; I had a great time at the 32nd annual Great Sonoma Crab and Wine Fest with the Sonoma County Farm Bureau.
 
T… https://t.co/eHjS70vXlm"|en|D|2|13
1505597675995029508|303861808|Sun Mar 20 17:30:33 +0000 2022|"Jan and I are sad to hear that Stephen Gale passed away this weekend. 

Stephen led my Santa Rosa office for years… https://t.co/e0A1TMmQOC"|en|D|3|21
1505575185004609536|303861808|Sun Mar 20 16:01:10 +0000 2022|The bravery we are seeing out of those protesting Putin’s invasion of Ukraine around the world and particularly in… https://t.co/7DLOUgwdk8|en|D|4|30
1505358471041937411|303861808|Sun Mar 20 01:40:02 +0000 2022|ICYMI: I'm proud to have secured $10.8 million for projects throughout #CA05 that will invest in public safety, pro… https://t.co/z3COb9iQXr|en|D|4|11
1505281223958179846|303861808|Sat Mar 19 20:33:05 +0000 2022|"Here are just a few actions Congress has taken to support Ukraine &amp; hold Russia accountable:
 
💵 $13.6 billion in E… https://t.co/GfVw5Qnk1t"|en|D|4|15
1505019961290407942|303861808|Sat Mar 19 03:14:55 +0000 2022|"Jan &amp; I are deeply saddened to hear about the passing of @repdonyoung.

Don was a steadfast &amp; passionate advocate f… https://t.co/kFZQv1l25v"|en|D|3|13
1505013697927856133|303861808|Sat Mar 19 02:50:02 +0000 2022|CONTRA COSTA COUNTY: Over $205k is on the way to our schools and libraries to help students access reliable interne… https://t.co/EGxCWku5lD|en|D|3|11
1504992312606216195|303861808|Sat Mar 19 01:25:03 +0000 2022|"Congratulations to all of this year’s nominees and winners of the Heart of Napa Awards.
 
We are so grateful for yo… https://t.co/CmhGjyrJdd"|en|D|2|4
1504959593587384320|303861808|Fri Mar 18 23:15:02 +0000 2022|"SOLANO COUNTY: Nearly $4 million is on the way to our schools to help students access reliable internet.

This fund… https://t.co/SwYL98HmpB"|en|D|2|14
1504931915480059907|303861808|Fri Mar 18 21:25:03 +0000 2022|It was great to meet with students from Napa Valley College today in Washington about student leadership advocacy a… https://t.co/aXwprMseW1|en|D|1|13
1504911779801055232|303861808|Fri Mar 18 20:05:02 +0000 2022|"CA is set to receive at least $100 million to invest in high-speed internet.
 
I was proud to secure this funding i… https://t.co/w2PPkwnLOn"|en|D|3|22
1504882840604917765|303861808|Fri Mar 18 18:10:03 +0000 2022|It was great to see Ukraine Consul General Dmytro Kushneruk in the City of Sonoma and the outpouring of support tha… https://t.co/FkeNbCGFOu|en|D|10|29
1504858927070121985|303861808|Fri Mar 18 16:35:01 +0000 2022|Great news! The @EPA announced it's reversing the previous administration’s misguided efforts to prevent CA from se… https://t.co/bqrTYjquBa|en|D|3|34
1504838897343287296|303861808|Fri Mar 18 15:15:26 +0000 2022|"Right now, families are feeling the burden at the pump while oil and gas companies are padding their profits.
 
Oil… https://t.co/dJ0Vb0D22O"|en|D|6|23
