id|user|created_at|text|lang|label|retweet_count|favorite_count
1507401935355187203|13491312|Fri Mar 25 17:00:02 +0000 2022|For almost 100 years, the @chillicothevamc has been a lifeline to our veterans who risked their lives to protect an… https://t.co/I8s2sGDJym|en|D|6|14
1507366136446398494|13491312|Fri Mar 25 14:37:47 +0000 2022|Last week, we signed $18 MILLION into law for important projects in Northeast Ohio that will directly benefit hardw… https://t.co/oYOj46oHDc|en|D|24|87
1507109248806764558|13491312|Thu Mar 24 21:37:00 +0000 2022|THIS is who we are. The United States must always be a beacon of hope and safety for refugees around the world. Pro… https://t.co/Z2M6N0v6Mq|en|D|19|147
1507059291685072902|13491312|Thu Mar 24 18:18:29 +0000 2022|"The number of people filing for unemployment has fallen to its lowest since 1969. That's a big deal. 

But let's ge… https://t.co/NQRe333lOt"|en|D|29|136
1507036910337855495|13491312|Thu Mar 24 16:49:33 +0000 2022|"I’ve said it before. I’ll say it again. And I’ll keep saying it until it gets done. 

We need a permanent working-c… https://t.co/PT8NqC2emD"|en|D|53|258
1506984069170704391|13491312|Thu Mar 24 13:19:35 +0000 2022|I’m very proud to have used my seat on the House Appropriations Committee to bring this important funding back to t… https://t.co/XFVNOrHIQ3|en|D|14|46
1506741694749982720|13491312|Wed Mar 23 21:16:28 +0000 2022|"Former Secretary of State Dr. Madeleine Albright paved a trail for future generations of women in diplomacy.

Her c… https://t.co/PgifXaV5r0"|en|D|23|172
1506717976904577025|13491312|Wed Mar 23 19:42:13 +0000 2022|China is dominating LED lightbulb production. That’s not just bad for Ohio and U.S workers—it’s a national security… https://t.co/1PMsEPaUFl|en|D|39|94
1506662264035758091|13491312|Wed Mar 23 16:00:50 +0000 2022|"On this day in 2010, the Affordable Care Act was signed into law.

In the 12 years since, countless Ohians have bee… https://t.co/Ipk6Br3aTp"|en|D|16|62
1506382712357081088|13491312|Tue Mar 22 21:30:00 +0000 2022|"Ohio added 13,500 manufacturing jobs over the past year.

But there’s still plenty of work to do.

Congress must bu… https://t.co/DoJEWXxkDc"|en|D|19|72
