id|user|created_at|text|lang|label|retweet_count|favorite_count
1520414378692075522|2914515430|Sat Apr 30 14:46:50 +0000 2022|"Every year, the DEA hosts National Prescription Drug Take-Back Day.
 
Prescription drug abuse affects many Americans, remember to take back any unused prescription drugs so they can be safely disposed of. https://t.co/oaeRTYDwuy"|en|R|3|14
1520114761048129536|2914515430|Fri Apr 29 18:56:16 +0000 2022|https://t.co/rIpO0Z4Z6K https://t.co/KUzh4fvKQE|und|R|16|115
1520105794032783360|2914515430|Fri Apr 29 18:20:38 +0000 2022|"A Disinformation Board is a desperate—and dangerous—last-gasp effort to censor our free speech. 

Mr. President, you will not be successful in your mission to silence the American people."|en|R|73|356
1520090483984318472|2914515430|Fri Apr 29 17:19:47 +0000 2022|".@HouseDemocrats reckless spending and failed leadership have crippled the U.S. economy.
https://t.co/f8OEom3RAK"|en|R|4|25
1520055114203025410|2914515430|Fri Apr 29 14:59:15 +0000 2022|"It's April 29th @GaryGensler. The ""Blockchain Eight"" hasn't received a response to our March 16th oversight letter.

We've given you more time than you give the American people to respond to your proposed rulemakings. https://t.co/71QE6Kzp3U"|en|R|919|3074
1520041478172598274|2914515430|Fri Apr 29 14:05:04 +0000 2022|"Labor costs increased by the largest amount in 21 years in Q1 of 2022. President Biden’s print-and-spend policies continue to wreak havoc on small businesses. 
https://t.co/mtzfX5fiNM"|en|R|3|23
1519762415113625601|2914515430|Thu Apr 28 19:36:10 +0000 2022|I’ve been working with @CongressmanGT, @RepRoKhanna, and @RepDarrenSoto (members of the Blockchain Caucus) on two pieces of sensible, pro-crypto legislation that recognize a token is separate and distinct from a securities offering… because U.S. framework should reflect that.|en|R|263|1043
1519728258471931905|2914515430|Thu Apr 28 17:20:26 +0000 2022|Great to meet with @KrauseHolsteins today, one of my constituents, a dairy farm leader, and one of the newest @MNFFA Hall of Fame members! https://t.co/Q4iKL4w1bG|en|R|4|24
1519692994189963265|2914515430|Thu Apr 28 15:00:19 +0000 2022|"The U.S. economy shrank 1.4% in Q1 of 2022, the worst quarter in 2 years. 

What was that about a Biden Boom? 
https://t.co/YeE0WCVcIC"|en|R|9|46
1519404272537976833|2914515430|Wed Apr 27 19:53:02 +0000 2022|"A 2021 study found that 3 out of 4 American teens do not feel confident in their personal financial knowledge.

The same study found that more than 70% of American teens want more personal finance education.

We must prioritize financial literacy education. https://t.co/X2QfVMNkgj"|en|R|14|80
1519354179072008193|2914515430|Wed Apr 27 16:33:59 +0000 2022|"Inflation is a tax on every American, costing families an extra $5,200 this year.

This is the opposite of a ""high-class problem"". It is hurting working families the most.
https://t.co/yicL7nDYed"|en|R|15|74
1519311300127608835|2914515430|Wed Apr 27 13:43:36 +0000 2022|"Last week, I had the opportunity to tour Landwehr Construction’s new headquarters in St. Cloud.

Great to speak with the Landwehr team about how we can continue to support local business at the federal level. https://t.co/9SxD1M2Q2L"|en|R|2|12
1519063682600378369|2914515430|Tue Apr 26 21:19:39 +0000 2022|"A new @NFIB study reports 93% of small businesses are being substantially (62%) or moderately (31%) impacted by inflation.

This is a direct result of the Biden administration’s inflationary policies. 
https://t.co/90JQraW3sk"|en|R|2|21
1518979858939928577|2914515430|Tue Apr 26 15:46:34 +0000 2022|"The President’s budget proposal includes 36 tax hikes--including taxing UNREALIZED capital gains. 

Make no mistake, this will impact EVERY American’s retirement savings."|en|R|340|959
