id|user|created_at|text|lang|label|retweet_count|favorite_count
1496938064475680768|1075040139351597056|Thu Feb 24 20:00:20 +0000 2022|Biden's irresponsible actions and foreign policy disasters embolden our adversaries. Praying for the people of Ukra… https://t.co/u5272uTVdx|en|R|8|49
1496559486827380746|1075040139351597056|Wed Feb 23 18:56:01 +0000 2022|Excited to announce the 2022 Congressional Art Competition for high school students in Texas’ Third Congressional D… https://t.co/aMN47wjzoi|en|R|3|7
1495810799486574594|1075040139351597056|Mon Feb 21 17:21:00 +0000 2022|Wishing everyone a happy #PresidentsDay as we reflect on the leaders who’ve shaped the best country in the world. https://t.co/57CrLoHZGL|en|R|2|13
1494798982723383298|1075040139351597056|Fri Feb 18 22:20:24 +0000 2022|Here in North Texas, our business friendly policies have attracted outstanding companies to our region like Samsung… https://t.co/UtSXuW6Wgn|en|R|2|5
1494390248956215302|1075040139351597056|Thu Feb 17 19:16:14 +0000 2022|My office is now accepting U.S. Service Academy nomination applications! Learn More: https://t.co/CgH5vArv14 https://t.co/yI2HQcWlbI|en|R|3|4
1493966695693799429|1075040139351597056|Wed Feb 16 15:13:11 +0000 2022|As we observe National Salute to Veteran Patients week, I was honored to deliver nearly 4,000 valentines handcrafte… https://t.co/aYYmKJD3GK|en|R|2|10
1493666829084106759|1075040139351597056|Tue Feb 15 19:21:37 +0000 2022|The #DurhamReport is very disturbing and I’m glad the @WSJ is covering this story unlike the far left mainstream me… https://t.co/wfHBIMId3A|en|R|4|11
1491809333532930048|1075040139351597056|Thu Feb 10 16:20:36 +0000 2022|Texans are bearing the brunt of the left’s out of control socialist spending every time they go to the grocery stor… https://t.co/HXz5SB1XfL|en|R|6|7
1491534597636730885|1075040139351597056|Wed Feb 09 22:08:54 +0000 2022|Met with members of our Taiwanese American community in North TX &amp; discussed the importance of strengthening US – T… https://t.co/GWUilmRSTT|en|R|47|66
1491169638725476353|1075040139351597056|Tue Feb 08 21:58:41 +0000 2022|Don’t forget: There are only 2 days left to turn in cards for my annual Valentines for Veterans Program! Learn More… https://t.co/lSJYpo5zWb|en|R|1|1
1491154129720266752|1075040139351597056|Tue Feb 08 20:57:03 +0000 2022|Joined Rep. Roy in working to reinstate our service members who were discharged over Biden’s COVID19 vaccine mandat… https://t.co/M48kr7K9lw|en|R|3|11
1488949376663891975|1075040139351597056|Wed Feb 02 18:56:09 +0000 2022|Biden abandoned hundreds of Americans and our allies in Afghanistan behind enemy lines. He violated one of our most… https://t.co/FlelFKVXbM|en|R|2|2
