id|user|created_at|text|lang|label|retweet_count|favorite_count
1520051366961496064|1074129612|Fri Apr 29 14:44:21 +0000 2022|"Last night, Oklahoma followed in the steps of Republican leaders in Texas &amp; other states across the country in passing a dangerous abortion ban.

Passing #WHPA is critical to combating these bans &amp; ensures that everyone has the right to access essential health care services. https://t.co/HRMTbpwvgq"|en|D|1|6
1519797643920162818|1074129612|Thu Apr 28 21:56:09 +0000 2022|"I was proud to stand in solidarity with the brave Ukrainian people by voting to further equip their fight for democracy. 

The passage of today's legislation will cut red tape to expedite the delivery of weapons, ammunition, and equipment that Ukraine urgently needs. https://t.co/FVCNFml7qj"|en|D|26|79
1519710119449214976|1074129612|Thu Apr 28 16:08:21 +0000 2022|We've seen the tragic impacts of the opioid and mental health public crises nationwide – that's why I'm proud to join my @NewDemCoalition colleagues in endorsing a slate of health care bills to increase access to care and create more health services.|en|D|3|5
1519404865872666625|1074129612|Wed Apr 27 19:55:23 +0000 2022|"April is #FinancialLiteracyMonth &amp; a good reminder for small biz’s to reach out to a local @SBAgov resource partner for free or low-cost financial counseling and training.

More here ➡️ https://t.co/2unkPG7oih ."|en|D|3|3
1519380207408455683|1074129612|Wed Apr 27 18:17:24 +0000 2022|"On #YomHaShoah, we commemorate the 6 million Jews, &amp; millions of others, who were brutally murdered during the Holocaust.

We must ensure that the memories of the lives lost at the hands of the Nazis are not forgotten &amp; continue to stand against antisemitism. #NeverForget"|en|D|2|5
1519350239580278784|1074129612|Wed Apr 27 16:18:19 +0000 2022|"🚨ATTENTION DALLAS COUNTY RESIDENTS🚨 If you have not received your #COVID vaccination or booster yet, you can stop by the Jaycee Zaragoza Recreation Center this Saturday from 11am-2pm to do so for free! 

More information ⬇️ https://t.co/xktyowUSDs"|en|D|1|2
1519314943329320961|1074129612|Wed Apr 27 13:58:04 +0000 2022|"I am relieved with the news that Trevor Reed has finally been freed and is reunited with his family here in Texas.

Thankful for the Biden Administration's work to end Trevor's wrongful Russian detention and ensure his safe return.
 
https://t.co/5JFwQ3gy2l"|en|D|2|4
1519070247600496646|1074129612|Tue Apr 26 21:45:44 +0000 2022|"Congress and @POTUS, together with our allies and partners, are committed to standing with the people of Ukraine as they courageously defend themselves and their nation against Putin’s horrific war. 🇺🇦
 
https://t.co/i0ZyxiQGlM"|en|D|2|1
1519022361978277890|1074129612|Tue Apr 26 18:35:27 +0000 2022|Thanks to the Bipartisan Infrastructure Law, Texas will receive over $60M to invest in electric vehicle charging infrastructure. Yesterday, I had the opportunity to join @NCTCOGtrans to see the firsthand impact of this law on the EV fleet here in North Texas! https://t.co/P155CccEol|en|D|3|3
1518646103964626946|1074129612|Mon Apr 25 17:40:20 +0000 2022|"I am praying for the loved ones of Texas National Guard SPC Bishop E. Evans. SPC Evans was a patriot who sacrificed his own life to save others. May his bravery and service never be forgotten. 

https://t.co/6PMDmWkrRp"|en|D|8|12
1518608819949121536|1074129612|Mon Apr 25 15:12:11 +0000 2022|"🚨The deadline to submit artwork for the 2022 Congressional Art Competition has been extended until this Friday!🚨

For submissions, email juan.galindo@mail.house.gov

More info can be found ⬇️:

https://t.co/GNMGwlihPT"|en|D|1|0
1517519880119099392|1074129612|Fri Apr 22 15:05:08 +0000 2022|"52 years ago today, people all over the world united under one purpose – to protect every person’s right to clean air, clean water, and a safe environment. 

Today, we continue to celebrate #EarthDay and fight for a clean and healthy environment for all. #EnvironmentalJustice https://t.co/SPUNXYPiC4"|en|D|5|5
1517253992249761794|1074129612|Thu Apr 21 21:28:35 +0000 2022|If you plan on traveling out of the country, follow these tips for applying for a passport to save money and avoid delays! https://t.co/H7jP3h0S8s|en|D|2|1
1517191490237255681|1074129612|Thu Apr 21 17:20:13 +0000 2022|"🚨ATTENTION HIGH SCHOOL ARTISTS IN #TX33🚨

🎨There are just a few hours left for you to submit your artwork to the 2022 Congressional Art Competition!🎨

For submissions, email juan.galindo@mail.house.gov

More info can be found ⬇️:

https://t.co/dyeGowROVY"|en|D|2|1
1516877963891036160|1074129612|Wed Apr 20 20:34:23 +0000 2022|"Two-thirds of Americans support reforming our outdated, out-of-touch cannabis laws.   

The House recently passed the #MOREAct to finally decriminalize marijuana. 

It's time for Senate to catch up and pass this legislation. Cannabis justice is racial justice."|en|D|2|9
1516831973662150658|1074129612|Wed Apr 20 17:31:38 +0000 2022|"Last week’s stunt at the border by @GovAbbott threatened Texas’ economic recovery &amp; hurt hardworking families across the state.

I was proud to join Texas Delegation members in an effort that finally got him to end this harmful directive &amp; get Texas back on the right track. https://t.co/8gA5KIQuqo"|en|D|5|8
1516488145570865156|1074129612|Tue Apr 19 18:45:23 +0000 2022|"🎨High school artists in #TX33, you have until this Thursday, April 21st to submit your work to the 2022 Congressional Art Competition.🎨

For submissions, email juan.galindo@mail.house.gov

More info can be found at this link and ⬇️: https://t.co/dyeGowROVY https://t.co/LdnQEDclEC"|en|D|1|0
1516464770370711567|1074129612|Tue Apr 19 17:12:30 +0000 2022|"The ability to secure FAIR &amp; AFFORDABLE HOUSING is linked to better outcomes for every person in nearly every facet of life including:
💵 Economic opportunity
🎓 Educational attainment
🌎 Environmental justice
⚕️ Healthcare
🏡 Living a healthy &amp; independent life
#FairHousingMonth"|en|D|10|15
1516128125897392135|1074129612|Mon Apr 18 18:54:48 +0000 2022|I will never stop fighting to ensure that Texans of all backgrounds, especially our children, can access affordable, comprehensive health care.|en|D|2|4
1516098376508616704|1074129612|Mon Apr 18 16:56:35 +0000 2022|"📁The filing deadline to submit 2021 tax returns or to request an extension is today! 📁

You can find more resources at https://t.co/KvIyXM4NiM."|en|D|3|6
1515687790209650689|1074129612|Sun Apr 17 13:45:03 +0000 2022|"#Easter is a time to come together and celebrate new beginnings.
 
Happy Easter to those who observe! https://t.co/OYRM9zOQlQ"|en|D|1|1
1514990374024105994|1074129612|Fri Apr 15 15:33:46 +0000 2022|"This weekend, let us continue to remember the values of forgiveness and strength.
 
Wishing a peaceful Good Friday to all who celebrate!"|en|D|2|1
1514960719116222465|1074129612|Fri Apr 15 13:35:56 +0000 2022|"People aren't political props.

@GovAbbott's latest border stunt undermines our values as a country.

He must end these inhumane charades, &amp; we must work together to find a comprehensive solution that will repair our immigration system while maintaining our national security. https://t.co/l1iXtdRUwC"|en|D|4|7
1514703389468278792|1074129612|Thu Apr 14 20:33:24 +0000 2022|To the Sikh community in Texas and across the country, I’m sending my wishes for a very happy #Vaisakhi to all those celebrating!|en|D|3|4
1514326340924841988|1074129612|Wed Apr 13 19:35:09 +0000 2022|"The deadline to file 2021 taxes is Monday, April 18, 2021. 
 
Don’t miss it! Here’s more info on how to file your taxes⤵️

https://t.co/1S92cYHTNM"|en|D|1|2
1513980739393667080|1074129612|Tue Apr 12 20:41:51 +0000 2022|"The F-35 strengthens our national security, enhances global partnerships, and powers economic growth both in the DFW Metroplex &amp; the nation.

It is essential that we continue to increase production numbers to ensure the US maintains air dominance. https://t.co/ZttOExu34V"|en|D|5|14
1513977144120070145|1074129612|Tue Apr 12 20:27:34 +0000 2022|Today’s attack in New York is heartbreaking. My thoughts are with all of those injured in the attack and the brave first responders who helped save lives and are working to apprehend the perpetrator. https://t.co/A0FXQCKQIt|en|D|2|2
1513890654258139138|1074129612|Tue Apr 12 14:43:53 +0000 2022|"Small businesses are the backbone of our economy, and  they are still hurting from COVID.
 
Last week, I was proud to vote in favor of a targeted restaurants &amp; small business relief package that will #ReplenishRRF with $42B and so much more! Learn more⬇️
https://t.co/suyxJgF7kF"|en|D|3|6
1513579194428674052|1074129612|Mon Apr 11 18:06:15 +0000 2022|This is the fifth anniversary of Black Maternal Health Week, a time to amplify the voices of Black mothers everywhere. As a proud member of the @BMHCaucus, I’m committed to advancing maternal health solutions through Congress and closing the health disparity gap for good! #BMHW22|en|D|9|5
1513562860256907266|1074129612|Mon Apr 11 17:01:21 +0000 2022|"Thank you, @POTUS. This decision will bolster public safety and is a decision that all Americans—regardless of party—can say is common sense.

https://t.co/exYUZW2vaI"|en|D|13|20
1513537477155373062|1074129612|Mon Apr 11 15:20:29 +0000 2022|"It was great to join our nation’s next generation of servicemembers at the North Texas U.S. Service Academies Forum. 

I cannot wait to see what these young men and women will accomplish in the future! https://t.co/Pq4hL59CaV"|en|D|1|1
1512463973060386818|1074129612|Fri Apr 08 16:14:46 +0000 2022|"🗓️MARK YOUR CALENDARS, #TX33🗓️

The deadline to file 2021 taxes is Monday, April 18, 2022. Don’t miss it!

More info here: https://t.co/KYugDfmcFO"|en|D|2|2
1512162687941287942|1074129612|Thu Apr 07 20:17:34 +0000 2022|"The #PostalServiceReformAct will finally put the @USPS on track to financial stability and ensure it provides the high quality of service Americans expect and deserve.

Yesterday’s bill signing is a win for the American people!👏 

https://t.co/ErUFBBcxp2"|en|D|2|3
1512144405972533251|1074129612|Thu Apr 07 19:04:55 +0000 2022|History has been made! Today, Judge Ketanji Brown Jackson became our nation's first Black woman to be confirmed by the Senate to the Supreme Court. https://t.co/NIZ3fPx54H|en|D|3|19
1512078081250406410|1074129612|Thu Apr 07 14:41:22 +0000 2022|Happy #NationalLibraryWeek! Thanks to the #AmericanRescuePlan, @TSLAC awarded American Rescue Plan Act Grants to two libraries in our district, the Cockrell Hill Public Library and the Fort Worth Public Library. Congratulations @COHILL_Library and @FtWorthLibrary!|en|D|5|12
1511791589164732423|1074129612|Wed Apr 06 19:42:57 +0000 2022|🚨A final report shows that more than 12% of mail-in ballots were rejected in Texas under the state's restrictive voter suppression law. This is further proof that we need to enact the #VRAA &amp; #FreedomToVote Act to preserve access to the ballot box in Texas and beyond. https://t.co/hMr2lODOuS|en|D|5|6
1511760255880990730|1074129612|Wed Apr 06 17:38:26 +0000 2022|"The census is a critical way to ensure our communities have equal representation &amp; can thrive.

That is exactly why I joined over 40 of my colleagues to call on the @USCensusBureau to ensure minority communities receive their fair share of resources.

Read our letter ⬇️ https://t.co/ZSi3paOZC4"|en|D|1|1
1511394177208225794|1074129612|Tue Apr 05 17:23:46 +0000 2022|President Biden’s Executive Order to strengthen the Affordable Care Act and #ProtectOurCare is a powerful step forward in @HouseDemocrats’ relentless work to lower families’ health costs! https://t.co/ORTdBUPahq|en|D|5|8
1511099435509592066|1074129612|Mon Apr 04 21:52:34 +0000 2022|I am horrified by the images that continue to come out of Bucha and other liberated areas of Ukraine. Putin must be held accountable for these war crimes, and we must continue to stand with our Ukrainian allies as they bravely fight to defend democracy.|en|D|5|8
1510986134775635974|1074129612|Mon Apr 04 14:22:21 +0000 2022|"🎨Attention teachers &amp; students!🎨We are now accepting submissions for the 2022 Congressional Art Competition in #TX33! Contact my district offices or visit the link below if you have questions. Good luck! 

https://t.co/GNMGwlihPT https://t.co/X7WUPMsM02"|en|D|3|2
