id|user|created_at|text|lang|label|retweet_count|favorite_count
1507378490424930305|237862972|Fri Mar 25 15:26:52 +0000 2022|Today, we pause and pay tribute to the brave Americans who received our military's highest decoration, the Medal of… https://t.co/OF4wZuBYMs|en|R|1|2
1506338259273928708|237862972|Tue Mar 22 18:33:22 +0000 2022|Today, as we celebrate #NationalAgDay, we say thank you to all the dedicated farmers across Michigan for their tire… https://t.co/W4aPE6H8yJ|en|R|2|2
1506064141676683268|237862972|Tue Mar 22 00:24:07 +0000 2022|Enjoyed speaking with the government classes today at Coldwater High School. The students asked a number of engagin… https://t.co/HbROF6vxil|en|R|1|6
1505163984290385920|237862972|Sat Mar 19 12:47:13 +0000 2022|Don Young was a very special person and public servant who exemplified how to love a state in service to its people… https://t.co/C8NmA2HXGv|en|R|1|6
1504905145745915904|237862972|Fri Mar 18 19:38:41 +0000 2022|The Biden Administration has offered every excuse in the book over the past year, but the fact remains that life ke… https://t.co/cdXBD87uvV|en|R|4|10
1504560798563291136|237862972|Thu Mar 17 20:50:22 +0000 2022|"Speaker Pelosi continues to stand in the way of critical legislation to unleash domestic energy production.

We nee… https://t.co/kXZlLDqILe"|en|R|4|10
1504091153708294151|237862972|Wed Mar 16 13:44:10 +0000 2022|This morning, we heard a powerful message for peace from President Zelenskyy in his virtual address to Congress.… https://t.co/tAbiTN7VpR|en|R|2|5
1503777885542363140|237862972|Tue Mar 15 16:59:21 +0000 2022|There is no end in sight to the #BidenBorderCrisis. https://t.co/ixcZRfA3D9|en|R|1|1
1502397114630000642|237862972|Fri Mar 11 21:32:39 +0000 2022|Today, my @HouseCommerce colleagues and I sent a letter to the FCC applauding their efforts to improve transparency… https://t.co/LcP6kMEaiH|en|R|1|4
1502293072985706500|237862972|Fri Mar 11 14:39:14 +0000 2022|I continue to hear how rising inflation, high fuel costs, and supply chain challenges are placing extra burdens on… https://t.co/S1xAFen4Cj|en|R|1|6
1502045884799877121|237862972|Thu Mar 10 22:17:00 +0000 2022|Good meeting today at the Ottawa Lake Co-Op to hear from local farmers about inflation and their concerns with high… https://t.co/VtmpvY0xCG|en|R|0|2
