id|user|created_at|text|lang|label|retweet_count|favorite_count
1507460599541870596|1065995022|Fri Mar 25 20:53:08 +0000 2022|On National Medal of Honor Day, Americans recognize and thank the heroes who answered the call to serve our nation… https://t.co/0H1hZGLamt|en|R|1|1
1507374253959782402|1065995022|Fri Mar 25 15:10:02 +0000 2022|"From the gas pump to the grocery store, inflation continues to skyrocket out of control. 

#Bidenflation is a tax o… https://t.co/MYFs46wdZC"|en|R|2|7
1507074763533000718|1065995022|Thu Mar 24 19:19:58 +0000 2022|Ukraine's fighters have demonstrated great courage &amp; strength. As he meets with world leaders, President Biden shou… https://t.co/2o81mzDheV|en|R|2|4
1507056494658920454|1065995022|Thu Mar 24 18:07:22 +0000 2022|I just introduced new legislation with @RepJimBanks to support Hoosier workers &amp; industry, including Indiana's vita… https://t.co/e73QYWFToS|en|R|3|6
1506651780989472777|1065995022|Wed Mar 23 15:19:11 +0000 2022|Recently, it was great to welcome Indiana Treasurer of State Kelly Mitchell to the U.S. Capitol for a productive di… https://t.co/qkSdQJpoSA|en|R|2|6
1506351255601483776|1065995022|Tue Mar 22 19:25:00 +0000 2022|Hardworking Hoosier farmers and ag producers are the backbone of our economy &amp; our community – they feed, fuel, and… https://t.co/QO5rpHpzfs|en|R|1|5
1506287228842127362|1065995022|Tue Mar 22 15:10:35 +0000 2022|I understand firsthand the importance of protecting athletic opportunities for girls and women. I’m disappointed Go… https://t.co/lszLqJviZy|en|R|22|134
1506011141834739712|1065995022|Mon Mar 21 20:53:31 +0000 2022|I was heartbroken to learn of the loss of our fellow Hoosier Capt. Matthew Tomkiewicz and his fellow Marines. This… https://t.co/dTCpSnYcYd|en|R|1|4
1504895014094188555|1065995022|Fri Mar 18 18:58:25 +0000 2022|Congratulations to Walt Disney Elementary Principal Ryan Towner on being honored with the @Milken Educator Award! T… https://t.co/cHAznhcJFq|en|R|4|10
1504803671653163041|1065995022|Fri Mar 18 12:55:27 +0000 2022|As Democrats push the Biden Admin to remove guardrails on chemical abortions, too many women who take abortion pill… https://t.co/AxIMyURKXZ|en|R|2|8
1504558467390001159|1065995022|Thu Mar 17 20:41:06 +0000 2022|As Putin wages a deadly war on Ukraine, the U.S. can’t do business as usual with Russia. In addition to revoking Ru… https://t.co/aQ3sZDdT5C|en|R|3|15
1504516299342462986|1065995022|Thu Mar 17 17:53:32 +0000 2022|Good luck to all of the men’s and women’s teams from Indiana competing in #MarchMadness! The entire Hoosier State i… https://t.co/qYaQfQmkP1|en|R|1|4
1504125314779258889|1065995022|Wed Mar 16 15:59:54 +0000 2022|President @ZelenskyyUa &amp; Ukrainians have inspired the world with their valiant defense of freedom. As Putin wages u… https://t.co/otjp3XwQ3s|en|R|3|14
1504111760260976640|1065995022|Wed Mar 16 15:06:03 +0000 2022|Great to welcome Debie Coble, President &amp; CEO of Goodwill Industries of Michiana, to the Capitol for a hearing on t… https://t.co/IeJODIKk6K|en|R|5|9
1503724919301066756|1065995022|Tue Mar 15 13:28:53 +0000 2022|Less than 2 years ago, America was energy independent. We have the winning playbook - unleashing the full power of… https://t.co/xsUkdRb4Fj|en|R|3|9
