id|user|created_at|text|lang|label|retweet_count|favorite_count
1520405032306450432|1017819745880543238|Sat Apr 30 14:09:42 +0000 2022|"#VA10 Virtual Academy Day is happening now! Tune in here ⬇️
https://t.co/d7ONQEjDAN https://t.co/If6t6Xq88N"|en|D|1|3
1520161372486746114|1017819745880543238|Fri Apr 29 22:01:29 +0000 2022|"I had a wonderful time at @ATFA_WASHINGTON's iftar yesterday evening!

As this holy month of #Ramadan draws to a close, I hope that you and your loved ones have enjoyed a blessed and peaceful celebration. https://t.co/nQvjuLdTE8"|en|D|10|22
1519816746395475968|1017819745880543238|Thu Apr 28 23:12:03 +0000 2022|"I spoke w/@SecBlinken today in @AppropsDems about @StateDept's work to protect Uyghurs from the PRC's persecution, meet the needs of Israeli &amp; Palestinian people, and restore full staffing to the foreign service.

It's critical we support America's leadership on the global stage. https://t.co/NEzsv3VYkT"|en|D|6|17
1519786223597989893|1017819745880543238|Thu Apr 28 21:10:46 +0000 2022|"I've been honored to serve as co-chair of this year's @CongressionalAC alongside @RepYoungKim and see the remarkable talent and hard work of our nation's young coders.

Congratulations to the more than 7,000 students who participated in this year's competition! 🤖 https://t.co/p19qsEHdl1"|en|D|1|6
1519748224239689731|1017819745880543238|Thu Apr 28 18:39:46 +0000 2022|"Congress is committed to delivering the support the Ukrainian people need to defend their homes and defend democracy.

I’m proud the House came together and passed this bipartisan bill to support the seizure of Russian oligarchs' assets &amp; fund Ukraine aid.
https://t.co/EzRL9dfJS8"|en|D|4|9
1519449376313200641|1017819745880543238|Wed Apr 27 22:52:15 +0000 2022|"I had an informative meeting with housing advocates, including Brandan from @winrescueva here in #VA10, about the importance of homelessness assistance programs.

We discussed ways we can better support the mental health needs of those experiencing homelessness. https://t.co/xN7iGABTD8"|en|D|4|6
1519419540748255232|1017819745880543238|Wed Apr 27 20:53:42 +0000 2022|"Secretary Albright was a trailblazer and devoted public servant who touched the lives of everyone she taught, mentored, and worked with—including me.

She will be deeply missed, but her fierce faith in democracy will live on in all who were inspired by her remarkable life. https://t.co/MvBHDPdxpN"|en|D|4|22
1519374030243266560|1017819745880543238|Wed Apr 27 17:52:52 +0000 2022|"Today is #YomHaShoah, a day to remember the more than 6 million Jews and others who were killed in the Holocaust.

We will never forget the horrors of that unspeakable tragedy, and we all have a responsibility to stand up against antisemitism and say #NeverAgain."|en|D|10|45
1519111969239928842|1017819745880543238|Wed Apr 27 00:31:31 +0000 2022|"It's past time to celebrate the rich history and culture of the Asian American community in our country.

Today the House took the first step in establishing a national AAPI Museum. I was proud to cosponsor @RepGraceMeng's bipartisan bill to authorize this study. https://t.co/S5t8P7062A"|en|D|11|28
1518981509721608192|1017819745880543238|Tue Apr 26 15:53:07 +0000 2022|"Our #AmericanRescuePlan is delivering $6m for PWC non-profits to support survivors of domestic violence, serve food to those in need, and provide free mental health counseling.

I'm proud of the lifechanging impacts this federal funding is having in #VA10.
https://t.co/jmWK5Kvs0c"|en|D|1|2
1518724467140222976|1017819745880543238|Mon Apr 25 22:51:44 +0000 2022|"I had a wonderful time at the @LoudounChamber Valor Awards this morning to honor our first responder heroes!

Congratulations to those receiving awards for their bravery and dedication to service, and thank you to all those who help build a safer and stronger community. https://t.co/VCTX6bOCxq"|en|D|3|11
1518677600792629249|1017819745880543238|Mon Apr 25 19:45:30 +0000 2022|"I stand with the Ghaisars in demanding justice for Bijan.

It is heartbreaking what the Ghaisar family has been forced to endure as they seek answers and accountability for this wrongful, tragic killing.
https://t.co/Q9cTzKWEqz"|en|D|8|24
1518624049290780675|1017819745880543238|Mon Apr 25 16:12:42 +0000 2022|"This Saturday at 10 a.m., I'm hosting virtual Academy Day to help #VA10 high schoolers learn more about the nomination process for U.S. service academies.

Tune in on my Facebook or YouTube page to have your questions answered directly by representatives from the academies. https://t.co/fXG4qZgb51"|en|D|1|7
1517666343386071048|1017819745880543238|Sat Apr 23 00:47:07 +0000 2022|"On this #DayofSilence, I'm sharing my support for LGBTQ+ youth suffering from harassment and discrimination.

Bullying kids is wrong—plain and simple. Every LGBTQ+ student deserves to know that they are seen, they belong, and they are loved. https://t.co/3bHaAKCMnm"|en|D|15|47
1517552057980534785|1017819745880543238|Fri Apr 22 17:13:00 +0000 2022|"Happy #EarthDay! 🌎

We owe it to our kids to preserve a healthy, livable planet. That's why I'm fighting for policies in Congress that will reduce emissions, protect access to clean air and water, and help make our communities more resilient to climate change. https://t.co/B8DPuenOpq"|en|D|7|20
1517526201048444928|1017819745880543238|Fri Apr 22 15:30:15 +0000 2022|"Thanks to @nvar for having me, @RepDonBeyer, &amp; @GerryConnolly this morning for a town hall to discuss how we can continue to best support Northern Virginia families in Congress. 

I appreciated the chance to hear directly from members about their concerns &amp; issues they’re facing. https://t.co/KzbNocnaEn"|en|D|5|14
1517181364562538496|1017819745880543238|Thu Apr 21 16:39:59 +0000 2022|"Our Bipartisan Infrastructure Law includes long-overdue investments to upgrade water infrastructure and improve water quality.

I visited Trap Rock Water Treatment Facility in Leesburg to get a firsthand look at their operations and discuss new opportunities for federal funding. https://t.co/6FoqHtXDju"|en|D|3|10
1517154218871648258|1017819745880543238|Thu Apr 21 14:52:07 +0000 2022|"As @CongressionalAC co-chair, I had the honor of congratulating this year's winners from all across the country during the #HouseofCode kickoff last night!

I’m thrilled by the success of this year’s competition and blown away by the talent, creativity, &amp; passion of the students. https://t.co/nBFTvNdbIA"|en|D|7|11
1516853534427385865|1017819745880543238|Wed Apr 20 18:57:19 +0000 2022|"Congratulations to Jordan Markwood, Chair and Choral Director of the Fine Arts Department at @RockRidgeHigh, for being named The Washington Post Teacher of the Year! 🎉

We're proud to have such passionate and committed educators here in #VA10.
https://t.co/PsLC3L643L"|en|D|5|14
1516809550720081932|1017819745880543238|Wed Apr 20 16:02:32 +0000 2022|"It's great to see Clarke County take a step closer to making universal broadband a reality, made possible by funding from our #AmericanRescuePlan!

Access to broadband is essential, and I'm working hard to get every #VA10 home and businesses connected.
https://t.co/n3qXE6PcxB"|en|D|5|12
1516485004796342272|1017819745880543238|Tue Apr 19 18:32:54 +0000 2022|"I joined @JoaquinCastrotx on this letter urging @StateDept to ensure diplomatic accreditation is provided to all LGBTQ+ Foreign Service families.

U.S. diplomats faithfully serve their country and shouldn't have to choose between their job and their family. https://t.co/ZoArMMdA8C"|en|D|21|50
1516412624438759437|1017819745880543238|Tue Apr 19 13:45:17 +0000 2022|"Wishing the best of luck to the RoboLoCo robotics team from @LCPS_Academies during their @FIRSTweets world championship competition this week! 🤖

It's great to see young students getting such valuable hands-on STEM experience here in #VA10.
https://t.co/t1NP2Y1Ud6"|en|D|2|5
1516126266646319105|1017819745880543238|Mon Apr 18 18:47:24 +0000 2022|"Still need to file your federal taxes?

Find filing tips and resources today at https://t.co/C6a9P3MSzU.

#TaxDay"|en|D|7|6
1515726897388347396|1017819745880543238|Sun Apr 17 16:20:27 +0000 2022|"Happy #Easter!

I wish many blessings to all those celebrating this holy day and hope you enjoy quality time spent with family and loved ones."|en|D|4|29
1515450067985088522|1017819745880543238|Sat Apr 16 22:00:26 +0000 2022|"This is such sad news.

I grew up watching Wendy on the evening news. Her trusted voice and sharp wit will be missed by me and by all who were lucky enough to have lived  in the NBC4 viewing area.

RIP Wendy. 😥 https://t.co/UBSvX8OrZJ"|en|D|6|41
1515423205464416256|1017819745880543238|Sat Apr 16 20:13:42 +0000 2022|"It's been 15 years since we lost 32 people in the tragic shooting at Virginia Tech.

My heart is with the Hokie community and all the families shaken by this unspeakable tragedy as we mark today’s anniversary.

I'll keep fighting for common sense gun safety reforms in Congress. https://t.co/4P8OnbBfG7"|en|D|15|51
1515092259536093187|1017819745880543238|Fri Apr 15 22:18:38 +0000 2022|"Happy #Passover to the #VA10 Jewish community!

I wish you and your loved ones many blessings and a fulfilling celebration this evening.

Chag Sameach!"|en|D|5|19
1515060117217157120|1017819745880543238|Fri Apr 15 20:10:55 +0000 2022|"It was so great to be with the ADAMS community this afternoon and share my best wishes for a happy and peaceful #Ramadan!

I hope this is a time of meaningful reflection and renewal for all those celebrating. https://t.co/z9NndIq1h8"|en|D|7|24
1515052638911483906|1017819745880543238|Fri Apr 15 19:41:12 +0000 2022|"We have a Black maternal health crisis.

Black mothers are 3x more likely to die from pregnancy-related complications.

I'm working to fight these disparities as a cosponsor of the #Momnibus which would improve health outcomes and address inequities.

#BlackMaternalHealthWeek"|en|D|10|23
1514719179559124999|1017819745880543238|Thu Apr 14 21:36:09 +0000 2022|"Our health care heroes work tirelessly day and night to keep our communities healthy.

I was happy to stop by Inova Loudoun today to thank doctors, nurses, and hospital staff in person and drop off some snacks and treats! https://t.co/clAmkXYIXn"|en|D|3|28
