id|user|created_at|text|lang|label|retweet_count|favorite_count
1520468973959225346|1221242033530195970|Sat Apr 30 18:23:46 +0000 2022|Such an honor to be recognized in this way, especially alongside @ClyburnSC06! https://t.co/f4VemYG4rb|en|D|194|1377
1520388191219507200|1221242033530195970|Sat Apr 30 13:02:46 +0000 2022|"Kids today have a hard time finishing school without the burden of student debt.

As the first in my family to graduate from college, I know firsthand how much debt relief would mean to students."|en|D|419|2963
1520149066147115008|1221242033530195970|Fri Apr 29 21:12:35 +0000 2022|We've got to arm Georgians with the resources they need to compete and thrive in our digital age. Proud of the more than $600M I secured for broadband expansion in Georgia.|en|D|1167|6425
1520112309267533826|1221242033530195970|Fri Apr 29 18:46:31 +0000 2022|The Senate must pass my Gas Prices Relief Act. We can make prices cheaper while holding corporations accountable.|en|D|1830|9424
1520057873849536514|1221242033530195970|Fri Apr 29 15:10:13 +0000 2022|My brother @ossoff and I are coming to you with a request: Will you please chip in $5 to help me win again this November? https://t.co/0Gi5cdSZFg https://t.co/SsgUriOZYE|en|D|1639|5202
1519765270625144840|1221242033530195970|Thu Apr 28 19:47:31 +0000 2022|Seniors should never have to skip prescriptions because of sky-high prices.|en|D|1523|10537
1519750048824889346|1221242033530195970|Thu Apr 28 18:47:01 +0000 2022|Closing the Medicaid coverage gap would provide affordable health care access to 640K Georgians. I'll keep fighting to make this happen for folks throughout our state.|en|D|406|2037
1519386028750090242|1221242033530195970|Wed Apr 27 18:40:32 +0000 2022|Georgia's going green one step at a time! Glad to see MARTA's new electric buses, and proud to have secured $3.8 million to fund more electric buses for their fleet. https://t.co/oPltwQt05u|en|D|91|447
1519358443596959744|1221242033530195970|Wed Apr 27 16:50:55 +0000 2022|We've got to pass my Gas Prices Relief Act. Let's help folks save money at the pump.|en|D|432|2880
1519306734757683201|1221242033530195970|Wed Apr 27 13:25:27 +0000 2022|Today, we're saying happy 95th birthday to an icon whose legacy is truly worth celebrating, Mrs. Coretta Scott King! #CelebratingCoretta #CSK95 https://t.co/2qmc3xS8CG|en|D|355|2739
1519074668090740736|1221242033530195970|Tue Apr 26 22:03:18 +0000 2022|Capping folks' out-of-pocket costs for insulin at $35 per month is a practical response to a real problem. Let's put ideological differences aside to save lives.|en|D|523|2572
1519002969341108228|1221242033530195970|Tue Apr 26 17:18:24 +0000 2022|I've spent my life standing up and fighting for ordinary people. And that's exactly what I've tried to do in the Senate.|en|D|2038|14230
1518959565760602112|1221242033530195970|Tue Apr 26 14:25:56 +0000 2022|Student debt relief would benefit our economy by boosting entrepreneurship and home ownership. Let's get this done. https://t.co/wwTU5KdTJ1|en|D|139|576
1518751167844700162|1221242033530195970|Tue Apr 26 00:37:50 +0000 2022|There's no place like Georgia. Thank you to the Inman Park Festival Parade for having me this past weekend! https://t.co/7aQo1dGlzh|en|D|1315|9259
1518673749553385474|1221242033530195970|Mon Apr 25 19:30:12 +0000 2022|"I'm ready to vote YES on the CROWN Act because it's time to end hair discrimination. The Senate should put this to a vote immediately.
https://t.co/NuLQswhcrC"|en|D|179|818
1518613505561272323|1221242033530195970|Mon Apr 25 15:30:48 +0000 2022|I'm back on the ballot, folks! This time it's for a full six-year term. I'm ready to continue my work in Washington for all Georgians!|en|D|14161|103210
1518590638308175873|1221242033530195970|Mon Apr 25 13:59:56 +0000 2022|REGISTER TO VOTE! Today's the deadline. https://t.co/n4vc33Sn2v|en|D|925|2004
1518261179981963265|1221242033530195970|Sun Apr 24 16:10:47 +0000 2022|Let's help folks save money at the pump by passing my Gas Prices Relief Act.|en|D|531|3208
1518220410587856897|1221242033530195970|Sun Apr 24 13:28:47 +0000 2022|Hey, Georgia! Are you registered to vote? Tomorrow's the deadline to get it done before the primary 🙌🏾 https://t.co/n4vc33Sn2v|en|D|4104|9349
1518009549030105088|1221242033530195970|Sat Apr 23 23:30:54 +0000 2022|Always great seeing my brother @Ossoff. https://t.co/0ZnkMWU6zv|en|D|3692|42597
1517962699128418304|1221242033530195970|Sat Apr 23 20:24:44 +0000 2022|Spent my day soaking up the sun with Georgians from all walks of life at the Inman Park Parade 🎉 https://t.co/xhTZnWcDu3|en|D|488|3962
1517650830589108224|1221242033530195970|Fri Apr 22 23:45:29 +0000 2022|Every Georgia vote matters in every election. Early voting for the May 24th primary elections begins May 2nd.|en|D|3131|12694
1517574290132152322|1221242033530195970|Fri Apr 22 18:41:20 +0000 2022|On today's #DayOfSilence, I'm reminded of the importance of speaking out for equality. My friends in the LGBTQ+ community will always have my utmost support 🏳️‍🌈|en|D|227|1291
1517547036261949440|1221242033530195970|Fri Apr 22 16:53:02 +0000 2022|I'm proud to do my part in protecting our planet. https://t.co/QpNqyiAIHV|en|D|104|467
1517526399728422912|1221242033530195970|Fri Apr 22 15:31:02 +0000 2022|"It's Earth Day! 

May today be a reminder that we must all do our part to preserve our world for future generations 🌎"|en|D|157|770
1517514052934766593|1221242033530195970|Fri Apr 22 14:41:58 +0000 2022|"The maternal mortality rate in Georgia is twice the national average, and even higher for Black mothers. Glad to have secured funding to help address this persistent issue in our state.

Thank you Brittney, for sharing your story. https://t.co/Chukra7SKI"|en|D|168|555
1517507337275289600|1221242033530195970|Fri Apr 22 14:15:17 +0000 2022|We need to rein in corporate greed to lower costs for hardworking Georgia families.|en|D|245|1608
1517245620200816646|1221242033530195970|Thu Apr 21 20:55:19 +0000 2022|I see you, I hear you, and I'm here to work for you. https://t.co/ETRBxVWbi3|en|D|97|363
1517228172173103104|1221242033530195970|Thu Apr 21 19:45:59 +0000 2022|Folks need insulin in order to live, so they need it to be affordable. https://t.co/dxPo8twcRM|en|D|150|472
1517212481608953856|1221242033530195970|Thu Apr 21 18:43:38 +0000 2022|It's Medicaid Awareness Month! All Georgians should have access to affordable health care regardless of zip code. I'm fighting to make that happen.|en|D|194|1031
1516879869627580420|1221242033530195970|Wed Apr 20 20:41:57 +0000 2022|Diabetes affects over a million Georgians. We need to pass my Affordable Insulin Now Act to cap the out-of-pocket cost of insulin at $35 a month.|en|D|574|2475
1516848575082287108|1221242033530195970|Wed Apr 20 18:37:36 +0000 2022|Georgians hired me to do a job, and I'm committed to doing it.|en|D|1969|16642
1516560490142519299|1221242033530195970|Tue Apr 19 23:32:51 +0000 2022|Every corner of Georgia matters to me.|en|D|1250|10503
1516529170075033605|1221242033530195970|Tue Apr 19 21:28:24 +0000 2022|We can do more to close the Medicaid coverage gap. Expanding access to affordable health care coverage will help millions of Americans.|en|D|162|811
1516515864765517837|1221242033530195970|Tue Apr 19 20:35:32 +0000 2022|We've got to make the Child Tax Credit permanent.|en|D|1004|6642
1516170299326320642|1221242033530195970|Mon Apr 18 21:42:23 +0000 2022|My Gas Prices Relief Act was written with real people in mind. Folks need relief now. Let's get this done.|en|D|403|2435
1516134483476496386|1221242033530195970|Mon Apr 18 19:20:03 +0000 2022|Your vote is your voice! The deadline to register to vote before May primaries is April 25th, and you can do so here: https://t.co/n4vc33Sn2v https://t.co/3IIPeI4hnO|en|D|257|613
1516118354540568584|1221242033530195970|Mon Apr 18 18:15:58 +0000 2022|Folks are feeling squeezed by rising costs. I introduced the Relief for Families Act to help make basic essentials like groceries and medicine more affordable.|en|D|608|2959
1516071415652442112|1221242033530195970|Mon Apr 18 15:09:27 +0000 2022|Hey folks, early voting for the Georgia primary election starts May 2nd. Don't forget to make your voice heard! https://t.co/27E3V8wq9O|en|D|1770|5128
1515679568878788613|1221242033530195970|Sun Apr 17 13:12:23 +0000 2022|The resurrection is the central fact of our faith. It's an eternal reminder that truth crushed to earth will rise again. My faith inspires my fight! For truth! For justice! For peace!|en|D|801|6039
1515393390220877831|1221242033530195970|Sat Apr 16 18:15:13 +0000 2022|Shipping container companies have been making record profits while prices skyrocket hurting Georgia consumers. We've got to hold them accountable.|en|D|801|4656
1515116052216225794|1221242033530195970|Fri Apr 15 23:53:11 +0000 2022|To our Jewish friends and family gathering around the Seder table tonight, may you have a Happy Passover. Chag Sameach!|en|D|263|2735
1515038974921920519|1221242033530195970|Fri Apr 15 18:46:54 +0000 2022|"""The cross is the eternal expression of the length to which God will go in order to restore broken community. The resurrection is a symbol of God’s triumph over all the forces that seek to block community."" 
—Dr. Martin Luther King Jr. #GoodFriday"|en|D|162|850
1514959310777946117|1221242033530195970|Fri Apr 15 13:30:20 +0000 2022|"Greater love has no one than this, that one should lay down his life for his friends.
-John 15:13"|en|D|323|2360
1514754450921078792|1221242033530195970|Thu Apr 14 23:56:18 +0000 2022|Such a blessing to report I've tested negative for COVID-19. Feels good to leave isolation and get back to Georgia. Thank you for your prayers and well wishes 🙏🏾|en|D|1284|18966
1514686663594807300|1221242033530195970|Thu Apr 14 19:26:56 +0000 2022|My Gas Prices Relief Act would guarantee that savings at the pump make their way to Georgia drivers.|en|D|292|1573
1514656014838243342|1221242033530195970|Thu Apr 14 17:25:09 +0000 2022|We're going to close the digital divide by expanding access to reliable internet using the $600M I secured for broadband expansion in Georgia.|en|D|287|1890
1514598033077547013|1221242033530195970|Thu Apr 14 13:34:45 +0000 2022|All Georgians deserve access to good health services, no matter their zip code.|en|D|1616|11481
1514319929142497280|1221242033530195970|Wed Apr 13 19:09:40 +0000 2022|Too many of our young people leave school and they have a mortgage before they get a mortgage. We need student debt relief, and we need it now. https://t.co/0vSzU6oaqS|en|D|276|1444
1514273341342953477|1221242033530195970|Wed Apr 13 16:04:33 +0000 2022|My insulin bill will lower costs and save lives for those who rely on this life-saving medication every day. https://t.co/TfPLcL6VXh|en|D|164|617
1514250260872417296|1221242033530195970|Wed Apr 13 14:32:50 +0000 2022|Happy National Peach Cobbler Day to folks throughout the Peach State and beyond 🍑|en|D|298|3144
1514235770676166658|1221242033530195970|Wed Apr 13 13:35:15 +0000 2022|Insurance companies and FEMA must do better for folks impacted by the tornado in Newnan last March. https://t.co/8qJENyk6Jr|en|D|98|370
1513997055890530304|1221242033530195970|Tue Apr 12 21:46:41 +0000 2022|Health care must be affordable to be accessible.|en|D|2223|16440
1513985059908374531|1221242033530195970|Tue Apr 12 20:59:01 +0000 2022|I proposed the Capping Drug Costs for Seniors Act because Georgians can't wait for more affordable prescription drugs.|en|D|378|2152
1513639795028905987|1221242033530195970|Mon Apr 11 22:07:03 +0000 2022|Our servicemembers are always on my mind. Thankful for the brave troops who protect and serve our great nation. 🇺🇸|en|D|292|2130
1513605323529064449|1221242033530195970|Mon Apr 11 19:50:05 +0000 2022|"Lowering insulin costs should not be a partisan issue. That's why I'm glad that my effort to cap insulin costs was just included in the bipartisan insulin proposal. 

It's time we get this done."|en|D|396|2144
1513589559828914178|1221242033530195970|Mon Apr 11 18:47:26 +0000 2022|"Our children are leaving college owing the equivalent of a mortgage before they even own a home and have a mortgage. 

We've got to relieve student debt. It'll lower people’s burdens and spur entrepreneurship."|en|D|2555|16436
1513548885976887307|1221242033530195970|Mon Apr 11 16:05:49 +0000 2022|It's the start of #BlackMaternalHealthWeek and I'm proud the government funding package included my maternal health bill. I'll always fight for more resources to combat maternal mortality here in Georgia.|en|D|262|1195
1513522437329408001|1221242033530195970|Mon Apr 11 14:20:43 +0000 2022|Georgians can’t wait another day for more affordable prescriptions. I urge my colleagues in Congress to join my bill and help get it across the finish line.|en|D|1677|8709
1513175456438231048|1221242033530195970|Sun Apr 10 15:21:56 +0000 2022|It's #NationalSiblingsDay! As one of twelve children, I'm proud to say that even though my family was short on money, we were long on faith, love, and humor. https://t.co/bY1Dt7IWhN|en|D|594|5466
1512906321112272901|1221242033530195970|Sat Apr 09 21:32:30 +0000 2022|My Capping Drug Costs for Seniors Act would put the burden of high costs on pharmaceutical companies who are raking in profits while Georgians are rationing their medicine to make ends meet.|en|D|1475|7296
1512806797941297153|1221242033530195970|Sat Apr 09 14:57:01 +0000 2022|Glad the Biden Administration listened and extended the pause on student loan payments. We need them to do more to relieve the burden of student debt that is gripping a generation. You can count on me to keep pushing for it.|en|D|827|6526
