id|user|created_at|text|lang|label|retweet_count|favorite_count
1520598518901186562|1247612029|Sun May 01 02:58:32 +0000 2022|"I have taken Wellbutrin every day for more than a decade.  

I would not be alive today, let alone a member of Congress, were it not for Wellbutrin, which saved my life.  

Mr. Musk might know many things but psychopharmacology is not one of them. https://t.co/7byY0J7cm9"|en|D|98|886
1520589057411145728|1247612029|Sun May 01 02:20:57 +0000 2022|"I enjoyed campaigning with ⁦@ShontelMBrown⁩ and meeting with members of the Black, Jewish, &amp; LGBTQ communities.

Shontel is as beloved in Ohio as she is in Congress.

The Highlight: 
Listening to @WhipClyburn, who poignantly said he sees his own daughter in Shontel Brown. https://t.co/v0gMMFpCsy"|en|D|99|483
1520457052136607748|1247612029|Sat Apr 30 17:36:24 +0000 2022|"Here in Ohio, campaigning for the one and only ⁦@ShontelMBrown⁩.

I’m excited to finally meet the mother of the great ⁦⁦@SecFudge⁩. https://t.co/Srb939FRua"|en|D|18|128
1519794791864807429|1247612029|Thu Apr 28 21:44:49 +0000 2022|Where is Bath, NY?  The people of the South Bronx are asking. https://t.co/49iuzHqJ5W|en|D|16|64
1519088292926562304|1247612029|Tue Apr 26 22:57:26 +0000 2022|"Antisemitic violence has risen to the highest levels ever recorded by @ADL.

There’s nothing accidental about the latest surge in Antisemitism—fueled by a constant barrage of conspiracy theories and vicious lies too often told about the Jewish community &amp; the Jewish state. https://t.co/Ten77xUqt1"|en|D|229|650
1518257974011219969|1247612029|Sun Apr 24 15:58:03 +0000 2022|"As Serbia moves closer to Russia, Kosovo remains an unwavering ally of both the US and EU.  

Kosovo should be a member of both the EU and NATO. https://t.co/iGBGBUpGlT"|en|D|419|2069
1517540236301148163|1247612029|Fri Apr 22 16:26:01 +0000 2022|"For #EarthDay, I am advocating for the Environmental Justice Air Quality Monitoring Act, which would fund hyperlocal air quality monitoring for the purpose of reducing air pollution. 

Air pollution is a risk factor for asthma, diabetes, hypertension, heart attacks, strokes… https://t.co/0oaTY6GJ9C"|en|D|3|25
1517230691511111682|1247612029|Thu Apr 21 19:56:00 +0000 2022|"After the mass shooting, the @MTA said all their cameras—except the 3 at the crime scene—were operational.

@HomelandDems has sent a bipartisan letter, looking into these claims and the MTA’s use of federal dollars on transit security. 
https://t.co/jaiIXOfAXY https://t.co/8OcV7AT860"|en|D|17|39
1517188094809841665|1247612029|Thu Apr 21 17:06:44 +0000 2022|"The colonization of Puerto Rico continues…

Only legal equality—conferred by statehood—can break the cycle of second-class citizenship on the island. https://t.co/x924N7N4c1"|en|D|133|362
1517138436272001025|1247612029|Thu Apr 21 13:49:24 +0000 2022|"Chair @repcleaver and I held a historic hearing on fire safety in the Bronx in the wake of the deadly fire at #TwinParks.

Safe, decent affordable housing is a matter of life &amp; death. 

Landlords must be held accountable for providing heat &amp; maintaining self-closing doors. https://t.co/6sVpCHfQEk"|en|D|5|30
