id|user|created_at|text|lang|label|retweet_count|favorite_count
1507378840720613381|993153006|Fri Mar 25 15:28:16 +0000 2022|Since the Civil War, over 3,500 American service-members have answered the call of Freedom and gone above and beyon… https://t.co/XGoqxrABwh|en|R|4|11
1507064673744654351|993153006|Thu Mar 24 18:39:52 +0000 2022|When Dems rammed through their nearly $2T spending binge last year, they said it was needed to defeat COVID. We kne… https://t.co/6frbu4HKkq|en|R|2|1
1506998080901632009|993153006|Thu Mar 24 14:15:15 +0000 2022|Stopped by the Weldon Public Library to hear about a @ALALibrary grant and deliver a @librarycongress book donation… https://t.co/06ahLVuhyE|en|R|1|7
1506745149682032652|993153006|Wed Mar 23 21:30:12 +0000 2022|Visited the Farmer City Fire Dpt. to talk about their funding needs and grant opportunities. I’ve cosponsored legis… https://t.co/dp9XK0Gyua|en|R|0|2
1506646972446371847|993153006|Wed Mar 23 15:00:05 +0000 2022|I’m here to serve you. This #ConstituentServiceSpotlight is another example of how my office and I can help. Reach… https://t.co/5THGAyoqK8|en|R|2|0
1506395203703390219|993153006|Tue Mar 22 22:19:38 +0000 2022|Happy National Ag Day and National Ag Week. It’s a privilege to serve as a member of @HouseAgGOP and be a voice for… https://t.co/29kRh7YCUn|en|R|1|7
1506295396485799948|993153006|Tue Mar 22 15:43:02 +0000 2022|The abortion laws pushed by Gov. Pritzker are a disgrace. By repealing PNA, IL is now far outside the mainstream.… https://t.co/Od44ud3GBc|en|R|1|1
1506006999628238848|993153006|Mon Mar 21 20:37:03 +0000 2022|"Happy National Agriculture Week to all who work in Ag across Illinois and our great country!

The American farmer f… https://t.co/F27VeQ624R"|en|R|4|10
1506001757117288451|993153006|Mon Mar 21 20:16:13 +0000 2022|Today is #WorldDownSyndromeDay, where we celebrate individuals with Down Syndrome and their contributions to our co… https://t.co/nkjLEj32My|en|R|3|5
1505035181064916993|993153006|Sat Mar 19 04:15:24 +0000 2022|So sad to hear of my friend Don Young passing today.  He was a great man and a great friend.  I have so many Don Yo… https://t.co/m77jPQzPbN|en|R|2|22
1504658016246939648|993153006|Fri Mar 18 03:16:40 +0000 2022|Happy St. Patrick’s Day! 🍀 https://t.co/ADx4OexftA|en|R|2|4
1504578411460763656|993153006|Thu Mar 17 22:00:21 +0000 2022|"Today Congress voted overwhelmingly to suspend normal trade relations with Russia and Belarus.

We should use every… https://t.co/2Ty2Ikt3Px"|en|R|5|18
1504492383286800388|993153006|Thu Mar 17 16:18:30 +0000 2022|Democrats and the Biden Admin have totally misplaced priorities when it comes to issues facing the American farmer.… https://t.co/WINGHIRSOw|en|R|6|15
1504110250089189376|993153006|Wed Mar 16 15:00:03 +0000 2022|I’m here to serve you. This #ConstituentServiceSpotlight is another example of how my office and I can help. Reach… https://t.co/npK9jcNATZ|en|R|2|3
1503849529078132739|993153006|Tue Mar 15 21:44:02 +0000 2022|I’d like to thank all of the sheriffs, chiefs, and officers who attended our law enforcement roundtable in Decatur.… https://t.co/O8dXl2yZvl|en|R|1|19
1502411046358818820|993153006|Fri Mar 11 22:28:01 +0000 2022|This week, I met with Army Corps of Engineers officials from @TeamSaintLouis and @USACERockIsland to discuss ongoin… https://t.co/yJqldeun1g|en|R|2|7
1501988933667807232|993153006|Thu Mar 10 18:30:42 +0000 2022|Yesterday, I voted for defense spending &amp; against social spending legislation. If some members had their way, they'… https://t.co/BsFuFgPvWQ|en|R|3|4
1501685476813852674|993153006|Wed Mar 09 22:24:52 +0000 2022|Yesterday I met with @ILFarmBureau members and @ILFBPres, and this morning I met with @ILAgLeadership members. We t… https://t.co/WWLQjmjn8j|en|R|4|14
1501613579006615555|993153006|Wed Mar 09 17:39:10 +0000 2022|Growing up, I remember my parents often saying Jimmy Carter is the worst president in American history. Joe Biden h… https://t.co/cFHBvjnPjX|en|R|22|108
1501588621987614723|993153006|Wed Mar 09 16:00:00 +0000 2022|I’m here to serve you. This #ConstituentServiceSpotlight is another example of how my office and I can help. Reach… https://t.co/Alq31yK7Z7|en|R|1|2
1501213900439752716|993153006|Tue Mar 08 15:10:59 +0000 2022|It was great to join @GLFOP President @PYoes on the #BlueView podcast to talk about issues facing the law enforceme… https://t.co/mA0sB1orQ7|en|R|15|37
1500938008748605440|993153006|Mon Mar 07 20:54:42 +0000 2022|On Friday, I was able to visit the Taylorville Fire Department and see the equipment they procured thanks to the As… https://t.co/65owhukGPR|en|R|2|7
