id|user|created_at|text|lang|label|retweet_count|favorite_count
1507375282260525066|1201953403099893760|Fri Mar 25 15:14:07 +0000 2022|Joe Biden is compromised in China. He’s compromised in Russia. He’s compromised in Ukraine. This is the MOST CORRUP… https://t.co/87g9pLmQFX|en|R|1372|4077
1507147527665111046|1201953403099893760|Fri Mar 25 00:09:06 +0000 2022|Why was @CPAC ERASED from YouTube? Big Tech is absolutely out of control. They want to ERASE conservatives as if we… https://t.co/2yJ7aROGYs|en|R|901|3280
1507134030776578048|1201953403099893760|Thu Mar 24 23:15:28 +0000 2022|Inflation is out of control. Americans are getting POORER and there’s no end in sight. Does the White House have a… https://t.co/igC5yR0Mav|en|R|1199|4850
1507078088902983684|1201953403099893760|Thu Mar 24 19:33:11 +0000 2022|Retweet if you’re DONE listening to Fauci!|en|R|6018|11434
1507032939338600450|1201953403099893760|Thu Mar 24 16:33:46 +0000 2022|Are we supposed to believe that a man who can BARELY read off a teleprompter is the one running our country? Biden’… https://t.co/BauhbniqaQ|en|R|1777|7888
1506758469269049355|1201953403099893760|Wed Mar 23 22:23:07 +0000 2022|Gas prices are still out of control and our “president” still REFUSES to unleash the power of America’s energy prod… https://t.co/DrXQbCnfSU|en|R|347|1206
1506707156736827409|1201953403099893760|Wed Mar 23 18:59:14 +0000 2022|It’s really astonishing how this White House won’t comment on Hunter’s laptop because he’s “a private citizen,” but… https://t.co/uJaQhtnglt|en|R|12943|49612
1506657167948107781|1201953403099893760|Wed Mar 23 15:40:35 +0000 2022|Our Southern Border continues to be a safe haven for drug &amp; human traffickers. The Biden Administration knows this,… https://t.co/kXUu9DMHpl|en|R|331|1115
1506385117585027075|1201953403099893760|Tue Mar 22 21:39:33 +0000 2022|The Deep State in coordination with the liberal media &amp; Big Tech LIED to the American people about Hunter’s dirty l… https://t.co/uIdAK9k8hH|en|R|767|2132
1506352943536214019|1201953403099893760|Tue Mar 22 19:31:43 +0000 2022|Ketanji Brown Jackson thinks sentencing in disgusting crimes against children is “too harsh.” She embraces anti-Ame… https://t.co/mobX26B4RU|en|R|2532|9066
1506328713968951309|1201953403099893760|Tue Mar 22 17:55:26 +0000 2022|Why wasn’t Yelena Baturina (the Russian oligarch who paid Hunter Biden $3.5 million) sanctioned by the Biden admini… https://t.co/yjoQh7BhvY|en|R|1505|4758
1506319572982542336|1201953403099893760|Tue Mar 22 17:19:06 +0000 2022|GREAT event last night for TX-15’s next Representative, @monica4congress. Republicans are going to WIN not just in… https://t.co/P7MIaD3nnX|en|R|34|189
1506297669081354254|1201953403099893760|Tue Mar 22 15:52:04 +0000 2022|Today we honor the GREAT farmers &amp; ranchers who make this the BEST country in the world. Yesterday I met Dante Gale… https://t.co/zRNrlueZ5B|en|R|42|269
1506055488328421387|1201953403099893760|Mon Mar 21 23:49:44 +0000 2022|Expanding drilling on more federal lands would lower gas prices immensely, but this White House would rather PUNISH… https://t.co/aQ2RcMEVIm|en|R|1426|5936
