id|user|created_at|text|lang|label|retweet_count|favorite_count
1520044764799942656|21269970|Fri Apr 29 14:18:07 +0000 2022|Always great to see @NLBMPrez. It’s been an exciting week for the Negro Leagues Baseball Museum – the @USTreasury commemorative coins celebrating the impact of the Negro Leagues on American culture and honoring the leagues’ players went on sale. https://t.co/pQOahYmogt|en|R|8|27
1519833281608491008|21269970|Fri Apr 29 00:17:46 +0000 2022|Carol Coe was a fierce advocate for the KC community and it was an honor to call her a good friend. I’ve been fortunate to have her daughter, Ailey, on my team for several years.|en|R|1|19
1519809282836992004|21269970|Thu Apr 28 22:42:24 +0000 2022|Great to speak at the Agricultural Business Council of Kansas City Luncheon today. As the son of dairy farmers, I’ve worked to ensure Missouri farmers and ranchers have the tools they need to feed and fuel the world. https://t.co/Kt6TnmjdO6|en|R|5|18
1519769051211382785|21269970|Thu Apr 28 20:02:32 +0000 2022|Met with Esther George, president and CEO of the Federal Reserve Bank of Kansas City, to tour the bank and see the newly-minted Negro Leagues Baseball Coins. https://t.co/mn4rTN6uct|en|R|4|22
1519744708263751680|21269970|Thu Apr 28 18:25:48 +0000 2022|Today’s GDP report “marked the worst performance since the spring of 2020, when the U.S. economy was still deep in the throes of the COVID-induced recession.” https://t.co/gp8kiOtY81|en|R|3|6
1519088432345100288|21269970|Tue Apr 26 22:58:00 +0000 2022|"Honored to be a part of @CapitolHistory’s event celebrating the 200th birthday of President Ulysses S Grant – one of our greatest presidents.

https://t.co/RDsG1mr2mZ https://t.co/bU4x3cY2Yi"|en|R|13|87
1519079504022495234|21269970|Tue Apr 26 22:22:31 +0000 2022|Inflation was at 1.4% when President Biden took office. Thanks in large part to Democrats’ reckless spending, it has soared to a 40-year-high of 8.5%. https://t.co/03zq9Axej9|en|R|5|28
1519076781424361473|21269970|Tue Apr 26 22:11:42 +0000 2022|This week, Sen. Hawley and I introduced a resolution to honor Corporal Cooper, Officer Reed, and Officer Burns. We are grateful they answered the call to serve and we owe a deep debt of gratitude to their families. https://t.co/i0JMEExyyN|en|R|3|5
1519057161032282118|21269970|Tue Apr 26 20:53:44 +0000 2022|Exciting to see the newly struck coins commemorating the 100th anniversary of the Negro Leagues. https://t.co/yOSs08hu1c|en|R|3|10
1519047028831051785|21269970|Tue Apr 26 20:13:28 +0000 2022|"The South Loop Link Project “will transform downtown by connecting the Central Business District with the Crossroads Art District by creating a cap over I-670.”
https://t.co/BkSzRQOHH1"|en|R|1|7
