id|user|created_at|text|lang|label|retweet_count|favorite_count
1507366634427752450|249410485|Fri Mar 25 14:39:45 +0000 2022|Combating food insecurity is 1 of my top priorities as Chair of the Ag Approps SC. I attended the ribbon cutting fo… https://t.co/vXepnshVj3|en|D|1|4
1507341570122686467|249410485|Fri Mar 25 13:00:10 +0000 2022|Applications open today for @USDOT’s Multimodal Projects Discretionary Grant program to provide federal financial a… https://t.co/dpFrAljs8A|en|D|1|2
1507111447297470467|249410485|Thu Mar 24 21:45:44 +0000 2022|HAPPENING SOON: I’m hosting a telephone Town Hall @ 6:30pm to discuss current events + how my work in Congress &amp; re… https://t.co/ZBjxIpYLQn|en|D|2|3
1506386519778639874|249410485|Tue Mar 22 21:45:08 +0000 2022|"🌱Happy National Ag Day! 🌱

Did you know each American farmer feeds more than 165 people? Today we recognize and cel… https://t.co/v8FrYY7hax"|en|D|2|6
1506374400014262274|249410485|Tue Mar 22 20:56:58 +0000 2022|Increased fertilizer costs impacts farmers and the cost of food on our tables. I joined my colleague, @RepCindyAxne… https://t.co/EcZoq5mMDU|en|D|2|1
1506024997621407747|249410485|Mon Mar 21 21:48:34 +0000 2022|Agriculture, food, &amp; related industries play a critical role in the U.S. Economy. 10.3 % of the total U.S. workforc… https://t.co/4fWLuMjpji|en|D|5|7
1504939627731378183|249410485|Fri Mar 18 21:55:42 +0000 2022|"The @WhiteHouse will resume public tours on 4/15. My office will begin accepting WH Tour requests on 3/21.

More in… https://t.co/prCdJXNFyE"|en|D|2|4
1504908667870760970|249410485|Fri Mar 18 19:52:40 +0000 2022|.@USDA will invest $250M to increase competition &amp; supply in the fertilizer industry, to lower prices for farmers.… https://t.co/y4tVvmlnVA|en|D|4|4
1504862621358608388|249410485|Fri Mar 18 16:49:42 +0000 2022|"Did you know... 

There is an independent org within the IRS that can help w/issues &amp; errors or interacting w/the I… https://t.co/rsqyH3neZa"|en|D|4|3
1504556550836391942|249410485|Thu Mar 17 20:33:29 +0000 2022|I testified before the House T&amp;I Committee to request Army Corps of Engineers projects that will improve the water… https://t.co/iV56gEc2D3|en|D|2|8
1504528329919057920|249410485|Thu Mar 17 18:41:21 +0000 2022|In honor of Ntl Ag Month/Peanut Month, 10k jars of GA peanut butter were donated today to help to DC residents in n… https://t.co/5BbbD7joPm|en|D|6|9
1504123056385630214|249410485|Wed Mar 16 15:50:56 +0000 2022|TUNE IN NOW: Watch as I join my @HouseAgDems colleagues in a hearing discussing how the 2018 Farm Bill supports vol… https://t.co/0DUjnlwYZV|en|D|1|4
1503875437885333512|249410485|Tue Mar 15 23:26:59 +0000 2022|I’m delighted by the Senate’s confirmation of Shalanda Young as Dir. of the Office of Management and Budget. I cong… https://t.co/4knwfpO8Nh|en|D|4|4
1503802451010408453|249410485|Tue Mar 15 18:36:58 +0000 2022|#EqualPayDay highlights pay inequity between men and women in the workforce. It's estimated that women earn 83 cent… https://t.co/veKQOQKkoh|en|D|0|2
1503796974277087233|249410485|Tue Mar 15 18:15:12 +0000 2022|Broadband is a basic service that should be available for everyone. During my tenure in Congress, I have worked har… https://t.co/zicVHxqOes|en|D|1|4
1503503183578120194|249410485|Mon Mar 14 22:47:47 +0000 2022|I have been a strong advocate for the Health Center Program in Congress &amp; I am pleased that, through this program,… https://t.co/o6EidBcEuO|en|D|2|3
1503466529488318482|249410485|Mon Mar 14 20:22:08 +0000 2022|"In honor of Ntl Pi Day, enjoy these delicious #GAAg facts:
- 🫐 &amp; pecans are 2 of GA's top Ag items
- GA is #1 in pe… https://t.co/HohNdYMql0"|en|D|2|3
1502394744063803397|249410485|Fri Mar 11 21:23:14 +0000 2022|"Did you know... 

The IRS provides free help w/ preparing taxes. The IRS' Volunteer Income Tax Assistance &amp; Tax Cou… https://t.co/OTIszM9wht"|en|D|4|5
1502344970480635909|249410485|Fri Mar 11 18:05:27 +0000 2022|.@USDA will make available $250M via a new grant program to support fertilizer production for American farmers to a… https://t.co/SKQgFglT5e|en|D|2|2
1502025344785780743|249410485|Thu Mar 10 20:55:23 +0000 2022|I was proud to co-author &amp; lead the effort to pass this important legislation which touches the lives of every Amer… https://t.co/ovvKGuPnjl|en|D|2|3
1501933334733017093|249410485|Thu Mar 10 14:49:46 +0000 2022|.@VAVetBenefits will be hosting a Virtual Rural Outreach Symposium on 3/29 @ 1pm EST to connect w/ vets in rural/re… https://t.co/HiW4WRnqKg|en|D|1|1
1501930684985880576|249410485|Thu Mar 10 14:39:14 +0000 2022|"🚨Attn all #GA02 high school students! 
🖼 My office is accepting entries for this year’s… https://t.co/PEgaqSCuXS"|en|D|1|1
1501640071614767107|249410485|Wed Mar 09 19:24:26 +0000 2022|"ATTN GA-02 producers/farmers! The 3/15 deadline to enroll in several @USDA programs is approaching: 
 
- The Ag Ris… https://t.co/SSFxxj6naP"|en|D|2|4
1501631901374849029|249410485|Wed Mar 09 18:51:58 +0000 2022|In an effort to increase equity in all of its programs, @USDAFSA is making several changes to better support borrow… https://t.co/2gxXnBKiHl|en|D|1|3
1501585085618925581|249410485|Wed Mar 09 15:45:57 +0000 2022|As a proud HBCU graduate, I urged my colleagues to support H.Con.Res. 70 to condemn the threats towards our nation’… https://t.co/qsylROgpcR|en|D|3|7
