id|user|created_at|text|lang|label|retweet_count|favorite_count
771057925884350464|435500714|Wed Aug 31 18:51:49 +0000 2016|W/ @UDelaware Dr. Wagner @usnistgov Center for Neutron Research leaning about research NIST/UD are collaborating on https://t.co/gR1ANedQj1|en|D|15|33
770626792227045376|435500714|Tue Aug 30 14:18:39 +0000 2016|5th Annual Opportunity: Africa conference coming soon! To register/more info, visit https://t.co/KRX2eBITMi #NetDE https://t.co/1ddrWOHSex|en|D|8|22
767828931475075072|435500714|Mon Aug 22 21:00:57 +0000 2016|Sen. Coons to host opioid crisis roundtable w/ @ONDCP Director Botticelli, members of the addiction community #NetDE https://t.co/5ywHwk7TmP|en|D|7|10
745719587698786305|435500714|Wed Jun 22 20:46:19 +0000 2016|Sen. Coons intros bipartisan legislation streamlining fed housing programs &amp; expand affordable housing opportunities https://t.co/r1GVuD5Mjr|en|D|10|13
694583916146065408|435500714|Tue Feb 02 18:11:25 +0000 2016|Sen. Coons announces Class of 2020 United States Service Academy nominations https://t.co/FYqlrB5CrB #NetDE|en|D|7|5
667093409606344705|435500714|Wed Nov 18 21:33:57 +0000 2015|Sen. Coons' statement on University of Delaware's naming new president: https://t.co/V2twNJIcKW|en|D|5|1
664864256790290432|435500714|Thu Nov 12 17:56:06 +0000 2015|Announcing our slate of participants for Monday's job fair @delawaretech Stanton campus. Fair runs from 12-4 p.m. https://t.co/djfQFHRePQ|en|D|4|2
659755020393578496|435500714|Thu Oct 29 15:33:49 +0000 2015|Opportunity: Africa is right around the corner. Be sure to register for this conference by clicking here https://t.co/CzzOYu9RK4. #netDE|en|D|6|0
643428142460354560|435500714|Mon Sep 14 14:16:38 +0000 2015|Sen. Coons started his day off w/ some Java &amp; the first class at @zipcodewilm. Impressive group of students! #netde http://t.co/Lkqdi1ZaDA|en|D|7|4
637347573846667264|435500714|Fri Aug 28 19:34:37 +0000 2015|A look ahead at Sen. Coons week ahead schedule for August 30-September 4. http://t.co/R0RjlRordJ #NetDE|en|D|6|0
621745889766436864|435500714|Thu Jul 16 18:19:06 +0000 2015|(2/2) Summer interns are from @UDelaware @theWilmU @FandMCollege. Interested in interning with @ChrisCoons? http://t.co/3ZaneO4AVb for info.|en|D|8|2
621742733783396352|435500714|Thu Jul 16 18:06:33 +0000 2015|(1/2) Welcomed #Delaware interns to Capitol today to shadow @ChrisCoons. http://t.co/fjyyctRWKQ|en|D|5|5
620577597517398016|435500714|Mon Jul 13 12:56:43 +0000 2015|Will be joining @JohnCarneyDE as he hosts his first Veterans Office Hours in New Castle, connecting vets w/ med and benes assistance. #NetDE|en|D|6|0
618083694750863360|435500714|Mon Jul 06 15:46:50 +0000 2015|Sen. Coons spoke to dozens of young African leaders this morning at @UDelaware w/ @UDGlobal #udmwf #UDSUSIWL #UDMEPI http://t.co/aRkstIzBJ9|en|D|10|10
611579265117765632|435500714|Thu Jun 18 17:00:34 +0000 2015|Sen. Coons' colleagues honored him with a tribute video last night at @USGLC's tribute dinner, available here: http://t.co/tsH4qzkZfk|en|D|10|1
611201002189029376|435500714|Wed Jun 17 15:57:29 +0000 2015|.@USGLC honors Sen. Coons as Outstanding Champion of America’s Global Leadership http://t.co/DV2aINNQr9 #SmartPower http://t.co/wcmjvf8OsP|en|D|8|5
610466095351377921|435500714|Mon Jun 15 15:17:13 +0000 2015|"A look ahead at Sen. Coons schedule for June 15-19:
http://t.co/WlVJC2i3Dd"|en|D|4|0
609097122051424256|435500714|Thu Jun 11 20:37:25 +0000 2015|Sen. Coons seeking applicants for fall 2015 Senate Page Program. For details &amp; how to apply, click here http://t.co/pzsrlXLdFt. #NetDE|en|D|1|0
607673261103693824|435500714|Sun Jun 07 22:19:30 +0000 2015|A look ahead at Sen. Coons' schedule for June 8-12: http://t.co/dgCdDKZ7Xc|en|D|1|0
603243984891289600|435500714|Tue May 26 16:59:08 +0000 2015|Sen. Coons, Carper welcome @MCS4Biz to Wilmington to talk small biz opportunity and challenges in Delaware. http://t.co/8QlRHMChoA|en|D|0|0
603171364296597505|435500714|Tue May 26 12:10:34 +0000 2015|Sen. Coons, Rep. Carney to host town hall discussion in Wilmington with civil rights icon @repjohnlewis next Friday. http://t.co/E4b1F8jwpC|en|D|2|1
599208940073820160|435500714|Fri May 15 13:45:18 +0000 2015|Sen. Coons speaks w/ Randall Gruden, the site mgr for Army Corps of Engineers at Broadkill Beach deepening project. http://t.co/AePDkkKox9|en|D|0|0
597581932554248192|435500714|Mon May 11 02:00:09 +0000 2015|A look ahead at Sen. Coons week ahead schedule: http://t.co/brRN5ACkhR|en|D|2|1
592555204643528704|435500714|Mon Apr 27 05:05:44 +0000 2015|A look ahead at Sen. Coons schedule for April 27-May 1 http://t.co/0CZ4TBHIEO. #NetDE|en|D|8|0
590173331078406144|435500714|Mon Apr 20 15:21:01 +0000 2015|A look ahead at Sen. Coons' schedule for April 20 to April 27. http://t.co/AHP0ysJmp0|en|D|1|0
588416960968445952|435500714|Wed Apr 15 19:01:50 +0000 2015|Senator Coons selected as Legislator of the Year by Delaware’s @IAmBiotech delegation: http://t.co/NdEPpikHtH #NetDE http://t.co/ichAQDkWVC|en|D|3|2
587429077826547712|435500714|Mon Apr 13 01:36:20 +0000 2015|A look ahead at Sen. Coons' weekly schedule for April 13-19: http://t.co/rJw6Ov9zvH|en|D|0|0
586620176860323841|435500714|Fri Apr 10 20:02:03 +0000 2015|Carper, Coons, Carney wrap 25th job fair w/ 300+ job seekers. Last job fair of season May 4 in Rehoboth. http://t.co/X2SBozDVGb #netde #jobs|en|D|0|0
586571107693658112|435500714|Fri Apr 10 16:47:04 +0000 2015|Packed house here at @delawaretech Stanton for our New Castle County job fair. 50+ companies hiring f/part time jobs. http://t.co/c5HEQN81xO|en|D|1|0
