id|user|created_at|text|lang|label|retweet_count|favorite_count
1520403598747701250|983348251972816896|Sat Apr 30 14:04:00 +0000 2022|"Mental health is health. Tomorrow begins #MentalHealthAwarenessMonth. Check in on yourself and the people you care about. You can find the warning signs of a mental health condition here: https://t.co/Iwhvz5xzSA 
@NAMIMississippi @NAMIAdvocacy https://t.co/8ep0tpF6BA"|en|R|3|6
1520143191734902785|983348251972816896|Fri Apr 29 20:49:14 +0000 2022|Beyond showing a disregard for the unborn, @Citibank's decision to finance abortion tourism for its employees is a brazen evasion of state laws and a violation of longstanding federal policy. We've asked the @SenateSAA to terminate the Senate's contract with Citi. Read:|en|R|1|8
1520109014289428480|983348251972816896|Fri Apr 29 18:33:25 +0000 2022|Had a lovely visit earlier this week with @JacksonAcademy 8th graders on their annual trip to D.C.! Their trip to our nation’s capital is longstanding tradition for JA, and I look forward to seeing them again next year! Go Raiders! https://t.co/KNktHAPd3U|en|R|2|5
1520042623955832834|983348251972816896|Fri Apr 29 14:09:37 +0000 2022|The spread of chronic wasting disease, which has a presence in MS, is a major cause for concern. We must dedicate more resources to understanding all we can about the cause, spread, and control of this fatal disease. @SenJohnHoeven bill would give @USDA more resources to do that.|en|R|1|3
1519746670224883713|983348251972816896|Thu Apr 28 18:33:36 +0000 2022|It's the job of the @US_FDA to protect patients by ensuring the safety of drugs. I intend to seek review of the data behind the decision to broaden access to chemical abortion pills. There is plenty of evidence showing these drugs are dangerous to women.|en|R|30|77
1519678767979016194|983348251972816896|Thu Apr 28 14:03:47 +0000 2022|"US GDP plummeted to NEGATIVE 1.4% in the first quarter of 2022... We are now halfway to a recession. So is this what @POTUS meant when he said 'Build Back Better'?
https://t.co/0kDTOxI3eU"|en|R|5|8
1519473762713882625|983348251972816896|Thu Apr 28 00:29:10 +0000 2022|Had a great time joining @DucksUnlimited in celebrating their many years of commitment to conservation, wildlife habitat, and outdoor recreation. Thanks for having me! https://t.co/fqFxs7kMfO|en|R|8|18
1519416609303056385|983348251972816896|Wed Apr 27 20:42:03 +0000 2022|When it comes down to it, @POTUS is just simply using the COVID-19 pandemic as an excuse to push through liberal border policies, regardless of how they affect the safety of Americans. #BorderCrisis|en|R|47|202
1519372438693466113|983348251972816896|Wed Apr 27 17:46:32 +0000 2022|Had a wonderful meeting with @PYNance, CEO for @CWforA. We discussed my Congressional Record statement recognizing April as “Faith Month.” As April comes to an end, let’s all pray for a stronger America. #FaithMonth https://t.co/aa492TUGX9|en|R|7|22
1519083267240173570|983348251972816896|Tue Apr 26 22:37:28 +0000 2022|Something in the system is broken. Meat packing companies making huge profits while producer earnings decline and consumers pay more. US cattle producers deserve to compete in a fair marketplace. Senate Ag Committee today reviewed legislation to address these price disparities.|en|R|5|20
