id|user|created_at|text|lang|label|retweet_count|favorite_count
1520484128814153728|818554054309715969|Sat Apr 30 19:24:00 +0000 2022|"Congratulations to students from @TheDavidsonAcad in Reno on winning their regional competition of the National Science Bowl! #NSB2022

Looking forward to cheering on these STEM superstars as they represent Nevada at the Science Bowl’s National Finals next week. https://t.co/n80RyIKOvc"|en|D|2|11
1520183900772835328|818554054309715969|Fri Apr 29 23:31:00 +0000 2022|Ensuring Nevadans have access to quality, affordable mental health care is one of my top priorities. Glad to see @samhsagov release new resources to help people seeking care for mental health and substance use disorders better understand their rights. Learn more. ⬇️ https://t.co/U3yUoWutjw|en|D|4|27
1520169212895023106|818554054309715969|Fri Apr 29 22:32:38 +0000 2022|"More than 2 million Nevadans rely on Lake Mead, but intense drought brought on by climate change is leading to desperately low water levels.
I am fighting every day for water conservation and climate action. It's about the future of Nevada. https://t.co/XXdP6OOGZz"|en|D|9|36
1520155138991837189|818554054309715969|Fri Apr 29 21:36:42 +0000 2022|"This week Las Vegas has shown the rest of the country how we are becoming the nation’s sports capital! 

Congratulations to all the players and teams, and thank you to the @NFLDraft for betting on Las Vegas as a host city.
https://t.co/VYQ3qgBTWA"|en|D|5|19
1520131245384081417|818554054309715969|Fri Apr 29 20:01:46 +0000 2022|"Nevada's small businesses make up 99% of businesses in our state and many still need support because of COVID-19 challenges.

This is why @SenCortezMasto and I are proud to have helped secure &gt;$2 million in aid from the #AmericanRescuePlan for our state's small businesses."|en|D|13|58
1520068933679783938|818554054309715969|Fri Apr 29 15:54:09 +0000 2022|"Thrilled to see @SETechTweets named the TOP magnet school in the country. 👏

Students at SECTA, @ClarkCountySch’s first career and technical academy, get the chance to choose from 11 different pathways, including culinary and multimedia.
https://t.co/kJ66gpL1C9"|en|D|6|21
1520049472323076096|818554054309715969|Fri Apr 29 14:36:50 +0000 2022|Always a pleasure to join these ladies for laughter and good conversations over our latest bipartisan Women Senator's Dinner. https://t.co/fj0LgvDmrC|en|D|3|36
1519833844148543489|818554054309715969|Fri Apr 29 00:20:00 +0000 2022|Team Rosen was honored to join @LVMPD_Summerlin Area Command and members of the Las Vegas Muslim community in celebrating #Ramadan during an Iftar dinner event on Wednesday night. ☪️ Ramadan Mubarak! https://t.co/mxplhGRfgC|en|D|3|19
1519801128812261377|818554054309715969|Thu Apr 28 22:10:00 +0000 2022|"On #WorkersMemorialDay, we remember all those who've lost their life on the job.

Ensuring people have a safe workplace must be a top priority for all employers – and I'm committed to fighting for the health and safety of each and every Nevadan on the job."|en|D|6|19
1519770526092251142|818554054309715969|Thu Apr 28 20:08:24 +0000 2022|".@JRosenworcelFCC knows what it's like to break barriers, serving as the first female head of the @FCC in its 87-year history.

I'll work with leaders like her to ensure there are more women in STEM spaces – because our voices matter. https://t.co/lZ3XPNBmkA"|en|D|2|7
