id|user|created_at|text|lang|label|retweet_count|favorite_count
1507412734459080706|29201047|Fri Mar 25 17:42:56 +0000 2022|Judge Ketanji Brown Jackson has developed deep knowledge of multiple facets of the law through her experience as a… https://t.co/Ro4I3WnCLh|en|D|36|202
1507382710133833729|29201047|Fri Mar 25 15:43:38 +0000 2022|Every child in our country should have the chance to go to school, play sports, and pursue their hobbies fearlessly… https://t.co/cy2kNFOrTA|en|D|41|179
1507372219936169989|29201047|Fri Mar 25 15:01:57 +0000 2022|Lawmakers in more than 30 states are pushing legislation targeting LGBTQ+ people, especially trans kids and their l… https://t.co/mZQmJUSCUJ|en|D|34|214
1507357180713914378|29201047|Fri Mar 25 14:02:11 +0000 2022|This would be HUGE. I called on @POTUS this week to use the Defense Production Act to reduce our reliance on fossil… https://t.co/IpWIBgaXHK|en|D|34|185
1507170909005750273|29201047|Fri Mar 25 01:42:01 +0000 2022|USPS announced today it is increasing the number of EVs it is purchasing—but EVs will still only make up 20% of its… https://t.co/mYRLh29rFJ|en|D|147|802
1507132391466409995|29201047|Thu Mar 24 23:08:57 +0000 2022|The fervor with which the world is showing support for the Ukrainian people and refugees from Ukraine is inspiring… https://t.co/SwSrNGe2Xv|en|D|40|183
1507118227314425856|29201047|Thu Mar 24 22:12:40 +0000 2022|Grossed out by the thought of plastics in your bloodstream? Me too—this is further proof that plastics are everywhe… https://t.co/i5mbmefw4U|en|D|45|170
1507097240971710474|29201047|Thu Mar 24 20:49:17 +0000 2022|Judge Jackson wowed the nation with her experience, intellect, and thoughtfulness during her confirmation hearings.… https://t.co/cBwHI1eWez|en|D|142|805
1507043873712918534|29201047|Thu Mar 24 17:17:13 +0000 2022|We need to take action now to address high prices at the pump from oil companies' price gouging while also putting… https://t.co/eNi09jZjbC|en|D|37|172
1506991358459977733|29201047|Thu Mar 24 13:48:33 +0000 2022|Judge Jackson brings top-notch experience, deep knowledge in multiple facets of the law, and an unimpeachable chara… https://t.co/tKNXRDsqaq|en|D|78|421
1506798843236597760|29201047|Thu Mar 24 01:03:33 +0000 2022|Great to speak with young leaders from @WordisBondPDX yesterday. We talked about affordable housing, gentrification… https://t.co/S3jtk0KtZl|en|D|18|64
1506769002240131075|29201047|Wed Mar 23 23:04:59 +0000 2022|Update: We had a great meeting with @iaeaorg chief Grossi to discuss nuclear issues in Ukraine as well as Iran. Gro… https://t.co/xcaXh7wqJ4|en|D|20|56
1506752942883233794|29201047|Wed Mar 23 22:01:10 +0000 2022|Judge Jackson’s years of experience and vast qualifications are on full display in her confirmation hearing. She’s… https://t.co/jpZFT1ODpS|en|D|28|271
1506744178331594758|29201047|Wed Mar 23 21:26:20 +0000 2022|Putin’s vicious, unprovoked invasion of Ukraine has had devastating impacts: children trapped under rubble, million… https://t.co/J81EnYj8xt|en|D|33|181
1506726221689901067|29201047|Wed Mar 23 20:14:59 +0000 2022|Saddened to hear of the death of Madeleine Albright, an accomplished diplomat and trailblazer. My heart is with her… https://t.co/tDvzxkCMmX|en|D|14|107
1506640537016754184|29201047|Wed Mar 23 14:34:30 +0000 2022|12 years ago today, the #ACA was signed into law. In the years since, the ACA has brought us closer to making sure… https://t.co/laN9BWZzQH|en|D|58|267
1506454558616305669|29201047|Wed Mar 23 02:15:30 +0000 2022|China’s state machine of repression doesn’t stop at its borders—authoritarian states like China are increasingly pe… https://t.co/3hKCsBJYsI|en|D|59|167
1506396820599185411|29201047|Tue Mar 22 22:26:04 +0000 2022|"Astounded and impressed by Judge Jackson's patience with Cruz's disingenuous, condescending lecture on racism.

We… https://t.co/NeHVwXks9u"|en|D|128|739
1506315954468315137|29201047|Tue Mar 22 17:04:44 +0000 2022|Passing additional COVID-19 funding in Congress is critical to make sure our communities are protected with vaccine… https://t.co/7UoKUxT1zQ|en|D|30|97
1506276323161001990|29201047|Tue Mar 22 14:27:15 +0000 2022|Judge Ketanji Brown Jackson is highly qualified to serve on the Supreme Court and has demonstrated her commitment t… https://t.co/IutBby4GST|en|D|49|344
1506257313270747137|29201047|Tue Mar 22 13:11:43 +0000 2022|Voting by mail is already working in red and blue states alike—making sure every American has a voice in the decisi… https://t.co/iNdkgSZNoi|en|D|114|540
1506022734958059524|29201047|Mon Mar 21 21:39:35 +0000 2022|Just wow. Powerful to see a Black woman finally taking her seat before the Judiciary Committee to be considered for… https://t.co/altUjVw2Gn|en|D|12|96
1505997989520842758|29201047|Mon Mar 21 20:01:15 +0000 2022|What does passing additional COVID-19 funding mean? Continuing critical, vaccine and testing efforts that are helpi… https://t.co/zN8HrMQY4D|en|D|150|748
1505965233243889665|29201047|Mon Mar 21 17:51:05 +0000 2022|Establishing a West Coast container port in Coos Bay would be huge. Last week, @RepPeterDeFazio, @RonWyden, and I l… https://t.co/dPZzG6yv3y|en|D|19|107
1505941507005722628|29201047|Mon Mar 21 16:16:48 +0000 2022|Vote by mail is working in Oregon. What works here can work everywhere—all Americans should have the chance to vote by mail!|en|D|318|1361
1505636519838720003|29201047|Sun Mar 20 20:04:54 +0000 2022|I’ll never forget the painful stories I heard in 2017 from members of the Rohingya community in Burma and Banglades… https://t.co/tHAfxubImO|en|D|42|163
1505612167164440576|29201047|Sun Mar 20 18:28:08 +0000 2022|The Senate passed the bipartisan Postal Service Reform Act to protect the Postal Service, which Oregonians and folk… https://t.co/sfcNjN6mCE|en|D|300|1282
1505311186165940226|29201047|Sat Mar 19 22:32:08 +0000 2022|Oil is the cause of some of the biggest economic and geopolitical crises we’ve faced over the last half-century. Ou… https://t.co/8CJm15PcxB|en|D|154|698
1505228973424492545|29201047|Sat Mar 19 17:05:27 +0000 2022|We need to stop billionaires from buying elections and give the power back to the people. We need to pass the DISCL… https://t.co/9GsRROZy8J|en|D|5847|24746
1504936871331250176|29201047|Fri Mar 18 21:44:45 +0000 2022|In 14 months we've gone from economic freefall to the fewest unemployment claims in half a century because of… https://t.co/xt8HraBHZE|en|D|59|189
1504914808717651969|29201047|Fri Mar 18 20:17:05 +0000 2022|This is great news—I wrote the Medical Debt Relief Act to take this step because medical debt is the result of bad… https://t.co/OAdMVfhw6G|en|D|43|154
1504899058007216128|29201047|Fri Mar 18 19:14:29 +0000 2022|Our elections must be determined by the will of the people, not the preferences of the privileged and powerful.… https://t.co/9bc9yB1Dh8|en|D|170|642
1504857261851746308|29201047|Fri Mar 18 16:28:24 +0000 2022|Putin’s war is showing how crucial it is that we stop funding our enemies by getting off oil. @POTUS should reduce… https://t.co/jvXtgZAvnY|en|D|52|181
1504815357365788678|29201047|Fri Mar 18 13:41:53 +0000 2022|You know what’s great about vote by mail? No long lines, no parking snafus, no asking for time off work, no late ch… https://t.co/6pyXJsp5oz|en|D|395|1580
