id|user|created_at|text|lang|label|retweet_count|favorite_count
1507374600279236628|382791093|Fri Mar 25 15:11:25 +0000 2022|We live in the greatest country in the world and owe a lifetime of thanks to our servicemembers. Today on… https://t.co/FleJtfQ9Iw|en|R|1|10
1507104847249780750|382791093|Thu Mar 24 21:19:30 +0000 2022|This week I met with young leaders from @NDstate4H that are attending the National @4H Conference in DC. I apprecia… https://t.co/uHUPX1YODm|en|R|2|5
1507090598955786250|382791093|Thu Mar 24 20:22:53 +0000 2022|FERC announced it would pause implementation of 2 pipeline certification policies that would threaten our ability t… https://t.co/RR2dXruPjn|en|R|4|5
1507085129822478341|382791093|Thu Mar 24 20:01:09 +0000 2022|Today’s the day – best of luck to the players, coaches and staff of @UNDmhockey. Bring home that 9th championship t… https://t.co/ypdfAokbua|en|R|1|11
1507017715315208194|382791093|Thu Mar 24 15:33:17 +0000 2022|In honor of Women’s History Month and National Ag Week, I’ve cosponsored a Senate Res. to honor National Women in A… https://t.co/NiErdHSZmp|en|R|1|9
1506739784479383557|382791093|Wed Mar 23 21:08:53 +0000 2022|Today the @NatlParkService announced Angie Richman as the next Superintendent of the @TRooseveltNPS. We look forwar… https://t.co/OL79GF0MVu|en|R|1|6
1506303389046657038|382791093|Tue Mar 22 16:14:48 +0000 2022|While there shouldn't have been a shutdown, resuming operations is welcome news for ag &amp;energy shipments, especiall… https://t.co/nYxjYvxdPq|en|R|1|7
1506276300402667531|382791093|Tue Mar 22 14:27:09 +0000 2022|Today on National #AgDay22 we celebrate farmers &amp; ranchers who continue to produce the lowest-cost, highest-quality… https://t.co/dOwymz3uAe|en|R|5|18
1505587945935450114|382791093|Sun Mar 20 16:51:53 +0000 2022|Caught up with a great group of students from Fessenden-Bowdon, Wilton and Billings Co. high schools this week. We… https://t.co/mcJpWFYI9a|en|R|5|17
1505268270118617091|382791093|Sat Mar 19 19:41:36 +0000 2022|Met with members of @WeLeadND this week. They’re working to create opportunities for rural communities across North… https://t.co/gEe5yRCWSx|en|R|3|4
1505172338165301260|382791093|Sat Mar 19 13:20:24 +0000 2022|Helped intro this leg. w/ @SenTedCruz to stop the Biden administration from seeking to dismantle sanctions on Iran… https://t.co/kodtoekRxm|en|R|2|9
1504932849320878080|382791093|Fri Mar 18 21:28:46 +0000 2022|Members of ND League of Cities were in DC for their annual conference this week. They stopped by to discuss workfor… https://t.co/uSI5GhjEUt|en|R|2|10
1504899380914143236|382791093|Fri Mar 18 19:15:46 +0000 2022|Support through Impact Aid is important for public school districts in tribal communities like Minnewaukan and New… https://t.co/e3C9gxLs0o|en|R|1|1
1504883060327821318|382791093|Fri Mar 18 18:10:55 +0000 2022|Our nation’s agriculture producers deserve our support, and we appreciate NCUA responding to our concerns and clari… https://t.co/XrESS4li8k|en|R|1|3
1504838065117872136|382791093|Fri Mar 18 15:12:07 +0000 2022|Joined former DOE and DOI Secretaries Brouillette and Bernhardt at a @SenWestCaucus energy roundtable to discuss ho… https://t.co/9N4BhezWPR|en|R|1|4
1504598182247997451|382791093|Thu Mar 17 23:18:55 +0000 2022|ND is home to 5 of America’s 35 Tribal Colleges and Universities. Presidents from ND’s TCUs stopped by this week to… https://t.co/LZEqCuWvzJ|en|R|4|8
1504574350443352070|382791093|Thu Mar 17 21:44:13 +0000 2022|.@UNDLawSchool students are in DC to participate in a moot court competition this week. We wish them the best of lu… https://t.co/XyFZSRGouT|en|R|1|1
1504493866543722506|382791093|Thu Mar 17 16:24:24 +0000 2022|We are committed to protecting the unborn and respecting the sanctity of life. Helped intro this joint res. under t… https://t.co/9ulDU1rrj2|en|R|2|18
1504170443506393090|382791093|Wed Mar 16 18:59:14 +0000 2022|The U.S. can and should expand efforts to push back against this unprovoked Russian attack on Ukraine. We heard fro… https://t.co/mZyAcR6Wzd|en|R|130|1095
1504153898306748428|382791093|Wed Mar 16 17:53:29 +0000 2022|We can produce a lot more oil and gas in this country and that not only helps with inflation but with providing mor… https://t.co/lCstwY7hj5|en|R|6|13
1503905603927879681|382791093|Wed Mar 16 01:26:51 +0000 2022|It’s long past time that the Biden administration ends their COVID mandates &amp; that’s why I helped intro this CRA an… https://t.co/twdBX5wBOs|en|R|3|23
1503413483056111617|382791093|Mon Mar 14 16:51:21 +0000 2022|It's not the time to cease commercial air service to Jamestown, Devils Lake &amp; the surrounding communities. With… https://t.co/Jk4sZJhZyZ|en|R|4|4
1503401034496057345|382791093|Mon Mar 14 16:01:53 +0000 2022|Inflation is now at a 40-year high and being felt by every American family. The Biden admin needs to change course.… https://t.co/AJnR4rSO0r|en|R|49|167
1502672228424757248|382791093|Sat Mar 12 15:45:52 +0000 2022|Instead of empowering American ingenuity to produce more oil and gas here where we have the best environmental stew… https://t.co/5NLjmrfu5a|en|R|103|340
1502341772978098181|382791093|Fri Mar 11 17:52:45 +0000 2022|Met w/ND state legislators &amp; The Energy Council. ND is an energy leader b/c we worked since I was Gov. to promote a… https://t.co/Ibo0V1kfrk|en|R|6|18
