id|user|created_at|text|lang|label|retweet_count|favorite_count
1507070634664378373|296361085|Thu Mar 24 19:03:33 +0000 2022|South Dakotans will all be rooting for @BHSUMBB this afternoon when they take on two-time defending champs Northwes… https://t.co/trBjGYfJnZ|en|R|2|34
1506803806620770306|296361085|Thu Mar 24 01:23:17 +0000 2022|Showed a group of students from Bowdle around my Capitol office this afternoon. Thanks for stopping by! https://t.co/WoIqNPJ8LK|en|R|7|47
1506765710835564544|296361085|Wed Mar 23 22:51:54 +0000 2022|This ⬇️ is why Nord Stream 2 is so dangerous. It would only deepen Europe’s dependence on Russian energy and fund P… https://t.co/aKH1lIhdWx|en|R|5|11
1506732128612007942|296361085|Wed Mar 23 20:38:27 +0000 2022|Summertime E15 is rightfully “in the menu of options” to lower gas prices. But it’s not going to do American driver… https://t.co/JKULRsWoVY|en|R|10|59
1506702489273389063|296361085|Wed Mar 23 18:40:41 +0000 2022|Great to catch up with juniors and seniors from West Central High School who are visiting Washington. They’re right… https://t.co/YtdUGK1mza|en|R|12|52
1506387135254913033|296361085|Tue Mar 22 21:47:35 +0000 2022|What a game! Unbelievable upset of the #1 team by @BHSUMBB. On to the #FinalFour. Go Jackets! #KeepDancing… https://t.co/k5RzmvlUiH|en|R|6|79
1506372842052534278|296361085|Tue Mar 22 20:50:47 +0000 2022|"Biden needs to:
- end his assault on American oil &amp; gas production
- leverage biofuels &amp; allow the sale of E15 year… https://t.co/4UOvB6WhdA"|en|R|90|312
1506334472748388361|296361085|Tue Mar 22 18:18:19 +0000 2022|If reports are accurate, the WH considered having the IRS mail people gas cards – yet another round of stimulus. Du… https://t.co/lGXAdIXVPw|en|R|249|1096
1506301302267166735|296361085|Tue Mar 22 16:06:30 +0000 2022|"Good luck to the Black Hills State men's basketball team as they take on Nova Southeastern today! #EliteEight
@BHSUMBB"|en|R|2|21
1506295235499995149|296361085|Tue Mar 22 15:42:24 +0000 2022|My bill to ease shipping backlogs &amp; level the playing field for American farmers, ranchers, &amp; consumers is one step… https://t.co/pQYMevGtuC|en|R|9|50
1506290447060283394|296361085|Tue Mar 22 15:23:22 +0000 2022|South Dakota producers are some of the hardest working people I know. For them farming &amp; ranching isn’t just an occ… https://t.co/pPdUiQnPNG|en|R|10|54
1505708215094370307|296361085|Mon Mar 21 00:49:47 +0000 2022|Coach Harold Thune used to drill into us that defense wins. After watching the @SDCoyotesWBB tonight, I believe! So… https://t.co/MzaqeVOsnk|en|R|10|118
1505699987811930112|296361085|Mon Mar 21 00:17:06 +0000 2022|Congratulations! These players left it all on the court tonight. On to the next round! #MarchMadness #GoYotes https://t.co/keWddV2680|en|R|9|91
1505688465446522884|296361085|Sun Mar 20 23:31:19 +0000 2022|Brad DeBeer is part of a great SDPTV team that brings the state BB Tourneys to life. This year’s games featured tig… https://t.co/sLpl9JA0tn|en|R|7|54
1505385645266591746|296361085|Sun Mar 20 03:28:01 +0000 2022|Nothing like the State Bs in Aberdeen. Enjoyed catching up with everyone. Alice Jean has attended every tournament… https://t.co/OAQa3PG2gL|en|R|10|95
1505347676933705730|296361085|Sun Mar 20 00:57:08 +0000 2022|Had the pleasure of attending the Jim River Marsh Masters Delta Waterfowl annual event. https://t.co/z0go2V3OF5|en|R|6|27
1505338306044870658|296361085|Sun Mar 20 00:19:54 +0000 2022|Good to meet with the local Right to Life group in Aberdeen to discuss our shared passion for protecting the most v… https://t.co/8poHFtIVBU|en|R|8|59
