id|user|created_at|text|lang|label|retweet_count|favorite_count
1520462341892190208|17494010|Sat Apr 30 17:57:25 +0000 2022|"With my grandson Noah on @JanesCarousel! 🎠

Jane’s Carousel is one of the great things about Brooklyn. People from all over the world come here to enjoy it! https://t.co/yRxvxizFMu"|en|D|143|3017
1520164053083168768|17494010|Fri Apr 29 22:12:08 +0000 2022|"One of my most enjoyable interviews ever!

Great job Francesca and Aven on breaking some news in Schoharie County while asking me questions from their 5th grade class:

My favorite animal is a tiger, and favorite color is purple! https://t.co/sJKK7kvwDX"|en|D|58|359
1519790401732894725|17494010|Thu Apr 28 21:27:22 +0000 2022|"It was great to sit down today on Instagram live with @IndpRestaurants and @TomColicchio for their day of action to fight for restaurants.

I am working for the Senate to replenish the Restaurant Revitalization Fund ASAP. #ReplenishRRF #Act4Restaurants

https://t.co/8UOplUsupP https://t.co/JepJ0KcOpX"|en|D|60|185
1519784287419179008|17494010|Thu Apr 28 21:03:05 +0000 2022|"President Biden is calling for legislation to get tough on Russian Oligarchs.

We need to go after these crooked oligarchs who have gotten rich off Putin’s regime.

I’m working for the Senate to arm the federal government with the tools to put further pressure on Putin’s cronies."|en|D|334|1386
1519776750229676032|17494010|Thu Apr 28 20:33:07 +0000 2022|"Today, President Biden sent Congress his request for $33 billion in emergency funding to support the Ukrainian people.

I will make sure the Senate prioritizes this important funding package so we can get help to the Ukrainian people fast."|en|D|292|1547
1519767454456631296|17494010|Thu Apr 28 19:56:11 +0000 2022|"Antisemitism and bigotry have no place in NY or anywhere.

All should be alarmed by the @ADL report on the surge in anti-Semitic attacks in 2021.

I’ll keep working for programs like the Nonprofit Security Grant Program to keep our synagogues &amp; JCCs safe.
https://t.co/hionw2jO2W"|en|D|103|277
1519762887295778822|17494010|Thu Apr 28 19:38:02 +0000 2022|"It’s now clear President Biden knows that he has the existing legal authority to act on student debt.

He should #CancelStudentDebt today!"|en|D|920|6171
1519754300255260672|17494010|Thu Apr 28 19:03:55 +0000 2022|"This is big: The Senate just took the next step toward enacting our jobs and competition bill that will:

—Lower costs for families
—Boost US manufacturing jobs
—Strengthen supply chains
—Unleash American innovation

We will work with the House to send this bill to @POTUS's desk!"|en|D|303|1354
1519736291209981955|17494010|Thu Apr 28 17:52:21 +0000 2022|"I'm working with @SpeakerPelosi, @SenatorCantwell, and @FrankPallone on legislation to fight bad actors like Big Oil using COVID and Ukraine to jack up prices to pad their profits.

I plan to put the legislation up for a vote to help Americans."|en|D|167|554
1519733350361092098|17494010|Thu Apr 28 17:40:40 +0000 2022|Today would be a great day for President Biden to #CancelStudentDebt.|en|D|914|6800
1519721319771918339|17494010|Thu Apr 28 16:52:52 +0000 2022|"On #YomHaShoah we remember the six million Jews and other victims of the Holocaust. We must never forget. In their memory we continue to the fight against antisemitism, hatred, and bigotry in all its forms.
 
#WeRemember #HolocaustRemembranceDay"|en|D|120|431
1519718042720210946|17494010|Thu Apr 28 16:39:51 +0000 2022|"Big Oil companies are using COVID and Ukraine to cash in at the consumer’s expense.

It is time for the FTC to roll up their sleeves and drill down on what’s going on at Big Oil.

That’s why the Senate is working to confirm Alvaro Bedoya and return the FTC to full strength."|en|D|205|732
1519501197614497797|17494010|Thu Apr 28 02:18:11 +0000 2022|"Tomorrow, the Senate will take next steps to move forward on our jobs and competition bill.

This bill will help lower costs, boost manufacturing, and strengthen our supply chains so we can keep our economy strong for decades to come!"|en|D|253|1101
1519491195545784321|17494010|Thu Apr 28 01:38:26 +0000 2022|"This Senate just defeated a Republican effort to undermine the #TitleX program and take away basic health care for birth control, cancer screenings, STI testing and treatment, and much more.

This was an attack on patients—and in particular on women—and we stopped it."|en|D|3911|17262
1519448019065876482|17494010|Wed Apr 27 22:46:52 +0000 2022|"BIG NEWS:
 
This Senate Democratic Majority has now confirmed SIXTY diverse and highly qualified federal judicial nominees to lifetime appointments on the bench!"|en|D|1946|14829
1519427019725025282|17494010|Wed Apr 27 21:23:25 +0000 2022|"At a time when Americans are seeing rising prices at the gas pump and price gouging by Big Oil, we need a fully functioning FTC to investigate.

This Senate is working to confirm Alvaro Bedoya as FTC Commissioner."|en|D|195|822
1519415074749833216|17494010|Wed Apr 27 20:35:57 +0000 2022|"Women—particularly Black women—bear a disproportionate burden of the student loan debt crisis.
 
President Biden should use his existing legal authority to #CancelStudentDebt.

https://t.co/NrMf7RQvkU"|en|D|130|523
1519406260306780160|17494010|Wed Apr 27 20:00:56 +0000 2022|"Republicans finally stopped their indefensible obstruction of qualified U.S. Attorneys and Marshals.

These nominees are vital to keeping our communities safe and secure, but Republicans held them up for partisan games at the expense of public safety."|en|D|354|1521
