id|user|created_at|text|lang|label|retweet_count|favorite_count
1507397608725225521|21111098|Fri Mar 25 16:42:50 +0000 2022|Pleased that @AuburnU was awarded a $24 million @DHSgov contract for canine detection research – the largest contra… https://t.co/TiXUUusT1Q|en|R|3|9
1506348791368196102|21111098|Tue Mar 22 19:15:13 +0000 2022|I hope you will join me in celebrating #NationalAgDay and all that our farmers &amp; producers do for our nation. They… https://t.co/ogScJ7vYQl|en|R|4|18
1504554026251309056|21111098|Thu Mar 17 20:23:27 +0000 2022|Today marks a significant milestone for @NASA_SLS, the most powerful rocket we've ever built! The SLS with the… https://t.co/9qdvNpBdbl|en|R|4|14
1504516005887979525|21111098|Thu Mar 17 17:52:23 +0000 2022|Wishing everyone a happy and lucky #StPatricksDay! https://t.co/10T0T23sFx|en|R|1|14
1504089755377618945|21111098|Wed Mar 16 13:38:36 +0000 2022|Zelenskyy’s address was a Churchillian moment. He spoke to Congress and the whole world about the plight of the Ukr… https://t.co/FUeo0Zaa0n|en|R|57|328
1503851160360390659|21111098|Tue Mar 15 21:50:31 +0000 2022|Joined 48 of my @SenateGOP colleagues in urging @POTUS to focus on an Iran policy that seriously weakens their nucl… https://t.co/hakzUkXk3Z|en|R|8|10
1503829233814102016|21111098|Tue Mar 15 20:23:23 +0000 2022|I'm pleased to support Shalanda Young as the next OMB Director. Since February 2021, I have supported her for this… https://t.co/fZjvPBUL5H|en|R|12|85
1502125159012085761|21111098|Fri Mar 11 03:32:00 +0000 2022|Growing the FBI’s presence in Huntsville has been a priority of mine for quite some time, and I am proud to have he… https://t.co/Stow3UYyxk|en|R|1|7
1502124771064139778|21111098|Fri Mar 11 03:30:28 +0000 2022|I am very proud to announce that the FY22 funding bills include more than $1 billion for the Mobile area, with $300… https://t.co/FImqA5kJOm|en|R|3|12
1502124630450053121|21111098|Fri Mar 11 03:29:54 +0000 2022|These FY22 funding bills invest in a host of domestic priorities, including medical research, agriculture, local in… https://t.co/5k0uZnsrvT|en|R|1|3
1502124468776448003|21111098|Fri Mar 11 03:29:16 +0000 2022|I am very pleased that the FY22 funding bills contain a significant increase of $42 billion to our defense budget t… https://t.co/r3249v3HUn|en|R|2|3
1502123719774380033|21111098|Fri Mar 11 03:26:17 +0000 2022|I am pleased to announce that Congress has now completed the FY22 appropriations process. I thank @SenatorLeahy,… https://t.co/MPU2bCDGpF|en|R|1|2
1502118587506606128|21111098|Fri Mar 11 03:05:53 +0000 2022|The FY22 appropriations package represents a massive bipartisan effort that rests upon a framework that preserves a… https://t.co/H9kg1qkiCs|en|R|3|15
1501967386399891461|21111098|Thu Mar 10 17:05:04 +0000 2022|Inflation is still rising and is now at 7.9% – breaking another 40 yr record. Gasoline and food were some of the hi… https://t.co/PPokplcFdR|en|R|3|13
1501652668971954181|21111098|Wed Mar 09 20:14:30 +0000 2022|Good news! @Outdoor_Alabama has just announced the start date for 2022's #RedSnapper season. Beginning May 27, priv… https://t.co/yAfCC5kUmy|en|R|1|4
1501618912974323712|21111098|Wed Mar 09 18:00:22 +0000 2022|Maren Fagan and Clara Ragan have been selected as the 2022 Alabama delegates for the @SenateYouth Program. They hav… https://t.co/dSG6FqBPBw|en|R|2|8
