id|user|created_at|text|lang|label|retweet_count|favorite_count
1520396870052417536|2964174789|Sat Apr 30 13:37:16 +0000 2022|"The Biden administration's ""Disinformation Governance Board"" sounds like an Orwellian attempt to manipulate and control information.

The American people deserve the facts, not propaganda from the Biden admin’s “Ministry of Truth.” https://t.co/e8MsesDOBG"|en|R|25|126
1520132595731865601|2964174789|Fri Apr 29 20:07:08 +0000 2022|Border Patrol encountered 2 million illegal immigrants last calendar year, and it may jump to 3 million this year because of Biden’s disastrous policies. Fixing our broken immigration system starts with finally securing our border and stopping the abuse of our asylum laws.|en|R|30|117
1520086627334373376|2964174789|Fri Apr 29 17:04:28 +0000 2022|My thoughts and prayers are with the family of the soldier who was killed and the three soldiers who were wounded during a vehicle accident at Fort Bragg yesterday. Our servicemembers bravely risk their lives every day whether they’re training here at home or serving abroad. https://t.co/eKjF7YWgvw|en|R|4|23
1519805173371215872|2964174789|Thu Apr 28 22:26:04 +0000 2022|Susan &amp; I are heartbroken to learn of Jill Swain’s passing. She was a great leader who served Huntersville as both mayor &amp; town commissioner &amp; was instrumental in championing the growth of our business community &amp; shaping Huntersville’s development. Her family is in our prayers. https://t.co/S3iQUcoQWE|en|R|8|26
1519708304678731789|2964174789|Thu Apr 28 16:01:09 +0000 2022|"This is a direct result of President Biden's failed leadership and disastrous border policies.

Democrats need to get serious about securing the border.

https://t.co/nN0uqaB98W"|en|R|3|32
1519317945012432901|2964174789|Wed Apr 27 14:10:00 +0000 2022|Insider trading by a member of Congress is a serious betrayal of their oath, and Congressman Cawthorn owes North Carolinians an explanation. There needs to be a thorough and bipartisan inquiry into the matter by the House Ethics Committee. #ncpol https://t.co/3s1UJMk1tj|en|R|2468|11405
1519065672126451713|2964174789|Tue Apr 26 21:27:33 +0000 2022|"Illegal immigrants should not be getting more federal support from the government than our nation's veterans.
 
https://t.co/kaO8bs4UCv"|en|R|13|89
1518713081404211202|2964174789|Mon Apr 25 22:06:29 +0000 2022|Greatly enjoyed joining local leaders and members of American Airlines' staff earlier today in Charlotte to celebrate and recognize @AmericanAir's 40th anniversary of its hub at @CLTAirport! https://t.co/OYMHhqwTs1|en|R|2|17
1518616668703969282|2964174789|Mon Apr 25 15:43:23 +0000 2022|This is unacceptable. It is past time for Congress to pass the Protect and Serve Act, legislation I introduced that would create federal penalties for individuals who deliberately target local, state, or federal law enforcement officers with violence. https://t.co/5b7ZLc5KCb|en|R|14|49
1518032263962931200|2964174789|Sun Apr 24 01:01:10 +0000 2022|Orrin Hatch was a titan in the U.S. Senate, and it was an honor to call him a friend and colleague. Orrin was deeply respected by both sides of the aisle because of his unwavering commitment to serving Utah and his leadership and effectiveness in passing bipartisan legislation.|en|R|33|310
1517519675386695686|2964174789|Fri Apr 22 15:04:19 +0000 2022|As co-chairs &amp; members of the Senate @NATO Observer Group, @SenatorShaheen, @ChrisMurphyCT &amp; I were grateful to meet with @USAmbNATO Smith to talk about our efforts to reaffirm America's commitment to NATO and support Ukraine in its fight against Russia’s unprovoked aggression. https://t.co/mdEskjmNFT|en|R|3|37
1517216716094386176|2964174789|Thu Apr 21 19:00:28 +0000 2022|Today our bipartisan delegation traveled to Pristina, Kosovo to join @USAmbKosovo Hovenier for a tour of Camp Liya. There, we met with American soldiers serving in Kosovo and members of the team vetting Afghan evacuees for entry into the United States. https://t.co/YA8ZW4fYUc|en|R|18|106
1517202953215655938|2964174789|Thu Apr 21 18:05:46 +0000 2022|Honored to meet with the President of Kosovo @VjosaOsmaniPRKS to talk about protecting democracy in Europe and ways to advance our partnerships based on shared interests. https://t.co/RRTiKtu461|en|R|46|473
