id|user|created_at|text|lang|label|retweet_count|favorite_count
1520045316715782144|968650362|Fri Apr 29 14:20:19 +0000 2022|"The Federal Government has no business creating a Ministry of Truth.

The Department of Homeland Security's ""Disinformation Board"" is unconstitutional and unamerican, and I'll be introducing a bill to defund it. https://t.co/n3H9c8XGB1"|en|R|1926|9450
1519749713649614849|968650362|Thu Apr 28 18:45:41 +0000 2022|Enjoyed talking to the Independent Insurance Agents and Brokers this afternoon. It’s critically important that we stop federal encroachment on our state-based insurance regulatory system. https://t.co/LuI41dAipl|en|R|11|139
1519705781033181185|968650362|Thu Apr 28 15:51:07 +0000 2022|Student loans are no different than small business loans or car loans—they must be paid back. https://t.co/00QIzWIizj|en|R|211|1433
1519366692446613505|968650362|Wed Apr 27 17:23:42 +0000 2022|"Throughout his life, U.S. Grant exuded a profound patriotism and selflessness that our nation should remember with awe and reverence. On this bicentenary of Grant’s birth, we should restore him to the pantheon of American heroes.
https://t.co/DPrspsAJVR"|en|R|120|836
1519028833852211200|968650362|Tue Apr 26 19:01:10 +0000 2022|If Elon Musk follows through on his promises to stop censoring views on Twitter, it will be good for the country and will set the example for other social media sites. https://t.co/RKuF4AXVkX|en|R|91|695
1519000286643249160|968650362|Tue Apr 26 17:07:44 +0000 2022|"The disaster at our southern border is a crisis of President Biden’s making. Instead of depriving our nation’s heroes of resources, the Biden administration should reinstate immigration policies that are proven to work.
https://t.co/t0W5BXrsHk"|en|R|48|224
1518940905469788161|968650362|Tue Apr 26 13:11:47 +0000 2022|"Height of inflation, crime, gas prices, but don’t worry America, Joe Biden is coming for your light bulbs.
https://t.co/mynfDDt5ku"|en|R|92|371
1518217711633027072|968650362|Sun Apr 24 13:18:04 +0000 2022|Orrin Hatch was a great mentor and an even better friend. He devoted his life to serving Utahns, and will be missed dearly. My deepest condolences to his friends and family.|en|R|71|869
1517148124032077825|968650362|Thu Apr 21 14:27:54 +0000 2022|Democrats are trying to defund our nuclear arsenal while Vladimir Putin is testing nuclear weapons. No wonder our adversaries see weakness. https://t.co/PNOk3aKvSs|en|R|129|468
1516562130429956096|968650362|Tue Apr 19 23:39:22 +0000 2022|I’m glad we’re finally sending these weapons, but we should’ve won this “race” weeks ago, if not months. https://t.co/Gt2BcNqELN|en|R|53|351
1515703566211719176|968650362|Sun Apr 17 14:47:45 +0000 2022|He is risen! Wishing a happy and blessed Easter to all.|en|R|61|1508
1515012082378358790|968650362|Fri Apr 15 17:00:02 +0000 2022|"Victor Silvers deserves the death penalty for his crimes. And until just a few days ago, the Justice Department agreed. We need to know why the Biden administration has abandoned justice for Sgt. Brittney Niecol.
https://t.co/FoLQuyYSBh"|en|R|80|254
1515006653015506951|968650362|Fri Apr 15 16:38:28 +0000 2022|75 years ago, Jackie Robinson broke the color barrier as the first African American Major League Baseball Player. Today we honor him and his lasting legacy.|en|R|482|5158
1514598393099685897|968650362|Thu Apr 14 13:36:11 +0000 2022|Republicans aren’t trying to criminalize poverty, Democrats just don’t want to criminalize anything. https://t.co/Tm0mNAezVZ|en|R|41|219
1514311299055984643|968650362|Wed Apr 13 18:35:22 +0000 2022|"It’s a shame Ukrainians have had to wait seven weeks for President Biden to take this crisis seriously.
https://t.co/E6BFF02nNn"|en|R|67|334
1514266519831822341|968650362|Wed Apr 13 15:37:26 +0000 2022|"Arkansas is at the forefront of technology and innovation, so it’s fitting that Canoo, headquartered in Bentonville, has been chosen by NASA for this mission. I’m proud of the Arkansans working with Canoo, and I look forward to the exciting things to come.
https://t.co/shmGNr8RyN"|en|R|13|90
1514259107510947843|968650362|Wed Apr 13 15:07:59 +0000 2022|"Republicans overwhelmingly supported NATO expansion under the past administration and will do it again.

This “analysis” is a pathetic, hackish attempt to attack Republicans while Joe Biden dithers with half-measures.
https://t.co/jeutUHCQQA"|en|R|40|206
1514232803973545988|968650362|Wed Apr 13 13:23:28 +0000 2022|Severe storms are continuing to move through Arkansas with a high potential for tornadoes. Please tune in to local news channels and stay vigilant. https://t.co/cIMO8go26N|en|R|7|42
1513595780841549825|968650362|Mon Apr 11 19:12:10 +0000 2022|"Expanding federal gun regulations only makes it more difficult for law-abiding citizens to own guns. If President Biden wants to crack down on crime, he should begin by enforcing existing laws and prosecuting violent criminals.
https://t.co/wE60MyWuqi"|en|R|122|522
1511790172333125647|968650362|Wed Apr 06 19:37:19 +0000 2022|It was a pleasure to chat with @ArkSchBdsAssn alongside @JohnBoozman this morning. I commend ASBA for leaving the woke National School Board Association, which smeared parents as “domestic terrorists,” and instead protecting parents’ rights in Arkansas schools. https://t.co/zcq4svCkGj|en|R|23|158
1511785534217232389|968650362|Wed Apr 06 19:18:53 +0000 2022|President Biden is celebrating sanctions on Russia that Congress has been pushing for weeks. We still aren’t doing enough to help Ukraine defend itself. https://t.co/8Itmvi6GuC|en|R|56|282
1511427214159589378|968650362|Tue Apr 05 19:35:03 +0000 2022|Judge Jackson will coddle criminals and terrorists, and she will twist or ignore the law to reach the result that she wants. That’s not what we need in a Supreme Court justice, and that’s why I will be voting against her confirmation. https://t.co/MxW4RWXx3E|en|R|313|1245
