id|user|created_at|text|lang|label|retweet_count|favorite_count
1507495840394403845|242555999|Fri Mar 25 23:13:10 +0000 2022|Ukraine is winning because of better tactics and anti-tank equipment, but also because in battle “the moral is to t… https://t.co/D6Ka82X8HF|en|D|147|919
1507466666145419266|242555999|Fri Mar 25 21:17:15 +0000 2022|International criminals chose to use the United States as a safe haven for their loot - let's make them regret that… https://t.co/BCKJwyLon3|en|D|837|2910
1507414793900072960|242555999|Fri Mar 25 17:51:07 +0000 2022|"There is strong public support for climate action and clean energy development. The public is already with us.
https://t.co/jIrpQEK0k3"|en|D|211|872
1507385040409346048|242555999|Fri Mar 25 15:52:54 +0000 2022|I am proud to have taken part in considering Judge Jackson’s historic nomination. She set a new bar for patience, c… https://t.co/zdUp0PPZkK|en|D|2884|22036
1507345025293824016|242555999|Fri Mar 25 13:13:53 +0000 2022|"Oh, great.
https://t.co/7j5NzdOjWQ"|en|D|213|632
1507158816214986760|242555999|Fri Mar 25 00:53:58 +0000 2022|Good move by Biden administration announcing “initiative to share information about and coordinate responses relate… https://t.co/pkndVAlSh3|en|D|549|2768
1507144329466363905|242555999|Thu Mar 24 23:56:24 +0000 2022|NATO has released an estimate that as many as 15,000 Russian soldiers have been killed in four weeks of war in Ukra… https://t.co/YBBSXWi91V|en|D|349|1431
1507125284511879176|242555999|Thu Mar 24 22:40:43 +0000 2022|"👀
https://t.co/TuA5ET2tpm"|und|D|739|2897
1507090321515159554|242555999|Thu Mar 24 20:21:47 +0000 2022|And yet another voice joins the victory chorus — the very knowledgeable Anne Applebaum, who was a guest of our bipa… https://t.co/ggauWl0JQG|en|D|87|358
1507056833311256577|242555999|Thu Mar 24 18:08:43 +0000 2022|If you cannot accept the results of a free and fair democratic election, you have no grounds to criticize or evalua… https://t.co/Z934LbgPOz|en|D|7837|40122
1507049945186115600|242555999|Thu Mar 24 17:41:21 +0000 2022|In case you missed it, here’s the rundown I gave @JoyAnnReid on the dark money organizations that worked to capture… https://t.co/pY97NXmqsU|en|D|395|1150
1507016638549278730|242555999|Thu Mar 24 15:29:00 +0000 2022|"In the Annals of Hypocrisy Exposed, this article deserves a place.  Well done, Dana Milbank.  
https://t.co/Ey4MBrGmRf"|en|D|497|1332
1506996681103089665|242555999|Thu Mar 24 14:09:42 +0000 2022|"More news for the Ukraine victory chorus:   
“The Pentagon issued a statement yesterday that said the invading Russ… https://t.co/OG6nDb8pPy"|en|D|1684|6957
1506982962507694084|242555999|Thu Mar 24 13:15:11 +0000 2022|Check out @InfluenceMap’s new report. @USChamber continues its climate obstruction despite claims to the contrary –… https://t.co/jh7M2Ck2z9|en|D|71|147
1506812855550722048|242555999|Thu Mar 24 01:59:14 +0000 2022|"Maybe the name for this preposterous yacht becomes “Elba.”
https://t.co/rp3dnOv81F"|en|D|68|313
1506801261466853382|242555999|Thu Mar 24 01:13:10 +0000 2022|Big Oil could drop U.S. gas prices tomorrow; but Big Oil chooses not to, because it prefers to charge the exorbitan… https://t.co/IcB8qRLc3b|en|D|951|2268
1506785054336372736|242555999|Thu Mar 24 00:08:46 +0000 2022|There is nothing that makes a court immune to capture. https://t.co/sAiDVJbL2E|en|D|600|2058
1506767737284186119|242555999|Wed Mar 23 22:59:57 +0000 2022|Glad to have this be #1 reason for Senators to make in-person opening statements: https://t.co/81AQ4SpX05|en|D|392|2265
1506752962189795333|242555999|Wed Mar 23 22:01:14 +0000 2022|Thank you, Cory, for the moral reset after so much cynical poison.|en|D|4832|45797
1506732568250662914|242555999|Wed Mar 23 20:40:12 +0000 2022|Madeleine Albright was a trailblazing diplomat whose expertise took her from the United Nations to the helm of the… https://t.co/bZ8yK52f1u|en|D|132|1107
1506721642722037775|242555999|Wed Mar 23 19:56:47 +0000 2022|Even as a prosecutor, I’d be disturbed to have some of my showboating colleagues doing an actual sentencing, given… https://t.co/8A9hG3TQm7|en|D|1894|9807
1506697917599567875|242555999|Wed Mar 23 18:22:31 +0000 2022|I’ve been through lots of these hearings and I’ve never heard Republicans worry so much about a nominee’s “judicial… https://t.co/o4WBuQGXaY|en|D|1023|3364
1506666599125815300|242555999|Wed Mar 23 16:18:04 +0000 2022|President Biden said it best 12 years ago – the ACA is a big deal. We slashed costs, protected Americans with pre-e… https://t.co/N6WbHsHCEm|en|D|255|1291
1506639436049702920|242555999|Wed Mar 23 14:30:08 +0000 2022|One of my Republican colleagues just said he’s concerned with dark-money influence over the Court. Glad to hear it!… https://t.co/cE0QAgsMtI|en|D|7977|36835
1506457245030264839|242555999|Wed Mar 23 02:26:10 +0000 2022|"The victory caucus grows. Victory for Ukraine is far from a sure thing yet, but worth treating as real and genuine.
https://t.co/flxjLzUB9y"|en|D|132|613
1506426819158986762|242555999|Wed Mar 23 00:25:16 +0000 2022|There it is again – Republicans fired another dark money allegation at Judge Jackson. Here are the facts:|en|D|4698|13962
1506406744007839744|242555999|Tue Mar 22 23:05:30 +0000 2022|It matters that the public know who is trying to influence the makeup of the Supreme Court. I want to make sure it’… https://t.co/OKqvCYRnKl|en|D|4991|14946
1506392242667331591|242555999|Tue Mar 22 22:07:52 +0000 2022|As Committee Republicans grouse about “the troubling role of far left dark money group…in this Administration’s jud… https://t.co/vslu0OBSB0|en|D|658|1846
1506375912077635585|242555999|Tue Mar 22 21:02:59 +0000 2022|McConnell is the operative of the billionaires behind those “well-funded outside groups,” and the “spigot” for thei… https://t.co/BuZ3xBEjID|en|D|662|1519
1506360384130883592|242555999|Tue Mar 22 20:01:17 +0000 2022|There are definitely “rational reasons” for dark money:  with dark money, creepy billionaires and massive polluters… https://t.co/js80k1uFOa|en|D|361|1048
1506344856360304647|242555999|Tue Mar 22 18:59:34 +0000 2022|A colleague just alleged that critical race theory guides Judge Jackson’s rulings. That’s not true -- and it’s a re… https://t.co/WJ1nje6PtK|en|D|5592|22012
