id|user|created_at|text|lang|label|retweet_count|favorite_count
1520371637643669504|234374703|Sat Apr 30 11:57:00 +0000 2022|Today is National Prescription Drug Take Back Day! If you have unwanted or unused prescription medications in your home, please dispose of them safely &amp; properly. To find a safe disposal site near you, click here: https://t.co/mIF70Nsprn|en|D|17|81
1520163516216492032|234374703|Fri Apr 29 22:10:00 +0000 2022|Please join me in congratulating these bright young students from Suncrest Middle School, who will be representing the State of West Virginia in the National Science Bowl’s National Finals, which will be held virtually on May 7th! #NSB2022 https://t.co/4X42d31P1A|en|D|8|83
1520130783566077958|234374703|Fri Apr 29 19:59:56 +0000 2022|WATCH: The proposed Harmony Grove Interchange on I-79 is great news for Morgantown and the region, and will bolster transportation and economic activity across the entire state. I will continue working with @SecretaryPete to expedite the review process. @WDTV5News https://t.co/XvBkXxOk8v|en|D|3|31
1519755662514966528|234374703|Thu Apr 28 19:09:20 +0000 2022|WATCH: We have been trying to complete Corridor H through West Virginia for 56 years. This highway will open up commerce &amp; tourism to some of the most beautiful parts of #WV. Today I asked @USDOT  @SecretaryPete to cut the red tape &amp; help us finally finish Corridor H. https://t.co/6i7OUdFS8S|en|D|28|286
1519717612095250432|234374703|Thu Apr 28 16:38:08 +0000 2022|Now that the FDA has addressed flavored cigars, when will they turn their attention to the drug epidemic that is killing nearly 300 Americans a day? https://t.co/51HUVijkSj|en|D|39|175
1519689992175591424|234374703|Thu Apr 28 14:48:23 +0000 2022|As we work together to become the new home of a hydrogen hub funded by the #BipartisanInfrastructureLaw, we are thrilled to have the West Virginia legislative leadership join us in our efforts. MORE: https://t.co/FevzcDCaGf|en|D|11|40
1519090899178999808|234374703|Tue Apr 26 23:07:48 +0000 2022|As Putin continues to use energy as a weapon in his war on Ukraine, it is clear that we must utilize our abundant natural resources to backfill our NATO allies while continuing to innovate to drive global emissions down. https://t.co/BFRFZI86xa|en|D|51|277
1519072829647593473|234374703|Tue Apr 26 21:56:00 +0000 2022|WATCH: With inflation reaching record highs, it's despicable that companies would further harm consumers by price gouging. Today I asked Attorney General Merrick Garland if there should be a criminal price gouging statute to stop these anti-competitive, anti-consumer practices. https://t.co/VDnLrez6n9|en|D|39|218
1519045304804335625|234374703|Tue Apr 26 20:06:37 +0000 2022|Happy to meet the @wvaop in Washington and receive the 2022 @AOAConnect Health Care Leadership Award for my DOC Access Act, which would give patients and doctors more control of their healthcare decisions and increase access to dental &amp; vision care. https://t.co/nvUQcHhWDm|en|D|12|75
1519000336568049668|234374703|Tue Apr 26 17:07:56 +0000 2022|WATCH: I'm concerned about recent court opinions that seem to undercut decades of established legal precedent under the Voting Rights Act. Today I questioned @TheJusticeDept Attorney General Merrick Garland about the potential impacts these rulings could have across the country. https://t.co/qmZcogQNvh|en|D|52|272
