id|user|created_at|text|lang|label|retweet_count|favorite_count
1507384284583182348|249787913|Fri Mar 25 15:49:53 +0000 2022|"🙏 high fives for Blue Ribbon Schools!

It was such a pleasure visiting Rehoboth Elementary School and the wonderful… https://t.co/EODBb8OBHI"|en|D|2|8
1507089112666361869|249787913|Thu Mar 24 20:16:59 +0000 2022|4 years ago today, after tragedy in Parkland, students from across the country took purpose from pain, &amp; organized… https://t.co/Pb1v3wBhy0|en|D|4|19
1506778932305088516|249787913|Wed Mar 23 23:44:26 +0000 2022|After several long days of questioning, it’s clear Judge Ketanji Brown Jackson would add a poised, evenhanded, and… https://t.co/HuJArGhgkn|en|D|53|254
1506742191523352579|249787913|Wed Mar 23 21:18:27 +0000 2022|Madeline Albright was a trailblazing leader &amp; brilliant public servant who fled fascism as a refugee and became a c… https://t.co/DeJRapJfYW|en|D|7|36
1506731761258012672|249787913|Wed Mar 23 20:37:00 +0000 2022|12 years ago, the ACA was signed into law, expanding access to affordable care &amp; protecting millions of Americans w… https://t.co/2rd1m0diTL|en|D|4|17
1506389609344819205|249787913|Tue Mar 22 21:57:24 +0000 2022|Water is our most precious resource, and investments in clean water are something that should unite all of us. On… https://t.co/PtAcAUMAhX|en|D|2|7
1506381912914411520|249787913|Tue Mar 22 21:26:49 +0000 2022|"Great to meet with @SecRaimondo today to discuss ways to re-engage our Asia-Pacific allies.

Congress and the Admin… https://t.co/IYAbQTigxL"|en|D|4|13
1506276785440317451|249787913|Tue Mar 22 14:29:05 +0000 2022|My heart goes out to the family, friends, and entire Warner Elementary community on the passing of beloved principa… https://t.co/Er28thS37X|en|D|4|8
1506013780609847302|249787913|Mon Mar 21 21:04:00 +0000 2022|"President Putin must pay for his atrocities.

As Chair of the @SenateFinance Subcommittee on Trade, I’m calling on… https://t.co/1fKvSSfBPB"|en|D|8|35
1505973436065193987|249787913|Mon Mar 21 18:23:41 +0000 2022|This #NationalAgWeek, we salute the farmers, growers, producers, and workers who put food on our tables every day.… https://t.co/1g8ZIoLub6|en|D|11|31
1505638809278459905|249787913|Sun Mar 20 20:14:00 +0000 2022|"Families murdered, civilian areas targeted, hospitals deliberately destroyed—those are war crimes.

And the eyes of… https://t.co/VBIhNwWmN6"|en|D|8|31
1505217282221486080|249787913|Sat Mar 19 16:19:00 +0000 2022|"This week, @POTUS signed the bipartisan government funding bill.
 
If you’re an American who:
✅Uses roads, bridges,… https://t.co/1IUD9cL15i"|en|D|4|22
1504937105482559488|249787913|Fri Mar 18 21:45:40 +0000 2022|"Proud of @DelawareMBB for leaving it all on the court.

Congratulations on an excellent season!"|en|D|1|15
1504934426010165253|249787913|Fri Mar 18 21:35:02 +0000 2022|It's game time for @DelawareWBB! Go Blue Hens! https://t.co/d7H7P0COu7|en|D|3|6
1504920028638023685|249787913|Fri Mar 18 20:37:49 +0000 2022|This #GlobalRecyclingDay, ~5.8 million tons of waste will be dumped worldwide — polluting our communities and ocean… https://t.co/7H3fAMjXL7|en|D|3|7
1504904515476148232|249787913|Fri Mar 18 19:36:10 +0000 2022|LET’S GO BLUE HENS! https://t.co/ZoJ6SF5aQM|en|D|3|19
1504642142957973506|249787913|Fri Mar 18 02:13:36 +0000 2022|One year ago yesterday, a gunman murdered eight Americans in Atlanta, six of whom were Asian American women. It’s o… https://t.co/4ORW06rA6k|en|D|6|20
1504621525139623937|249787913|Fri Mar 18 00:51:40 +0000 2022|"If Russia wants preferential trade status, they need to play by the rules.

As long as Putin continues to commit va… https://t.co/XxdywB8uKa"|en|D|10|33
1504566801270812676|249787913|Thu Mar 17 21:14:13 +0000 2022|"I applaud the Biden Administration for providing Temporary Protected Status to Afghans in the U.S.

This action, al… https://t.co/DzBu7J0ClW"|en|D|4|22
1504462340812689412|249787913|Thu Mar 17 14:19:08 +0000 2022|"FINALLY, after far too long a wait, spring training games start today.
 
If anyone is looking for a scrappy, fundam… https://t.co/P4Pgxe7hDO"|en|D|4|35
1504170064152514563|249787913|Wed Mar 16 18:57:44 +0000 2022|Prescription drug prices are too high and Americans are counting on us in Congress to help lower them. It’s time to… https://t.co/B25zbFilKL|en|D|4|16
1503874181779185668|249787913|Tue Mar 15 23:22:00 +0000 2022|No time like the present to say goodbye to a tired tradition! The Senate just unanimously passed a measure to make… https://t.co/kZyGSy9FsJ|en|D|3|44
1503861789758529539|249787913|Tue Mar 15 22:32:45 +0000 2022|"I was honored to meet with Supreme Court nominee Ketanji Brown Jackson today.
 
Judge Jackson is a superbly qualifi… https://t.co/GpPDLBr8pX"|en|D|790|5158
1503822139669069828|249787913|Tue Mar 15 19:55:12 +0000 2022|In @SenateFinance today, I heard from experts about opportunities for U.S. leadership on trade in the Indo-Pacific… https://t.co/rhHeUIaOoK|en|D|4|9
1503800621438230540|249787913|Tue Mar 15 18:29:42 +0000 2022|"In 2022, women are still only paid 83 cents for every dollar paid to a man. That is unacceptable.

On this… https://t.co/E3izDoVnBP"|en|D|3|17
1503449784878866447|249787913|Mon Mar 14 19:15:36 +0000 2022|The Bipartisan Infrastructure Law provides historic funding to fix our roads and bridges, improve clean water acces… https://t.co/x6ceDdm71I|en|D|56|210
