id|user|created_at|text|lang|label|retweet_count|favorite_count
1507084613340049415|1071402577|Thu Mar 24 19:59:06 +0000 2022|.@SenCortezMasto and I just sent letters to the @FCC and other agencies pushing for updates on a new mapping tool t… https://t.co/VmoYzdm21J|en|R|15|23
1507006032324661251|1071402577|Thu Mar 24 14:46:51 +0000 2022|"I am proud to cosponsor legislation designating March 24 as #WomenInAgDay.

Women across the country play a vital r… https://t.co/BkEtb40OFQ"|en|R|5|28
1506747638749831176|1071402577|Wed Mar 23 21:40:05 +0000 2022|Tune in to watch my floor speech on a bill that would honor the volunteers of the North Platte Canteen during WWII… https://t.co/sz11Q5sucG|en|R|1|7
1506737054973054982|1071402577|Wed Mar 23 20:58:02 +0000 2022|Great to have Nebraska students from Tekamah-Herman, Bishop Neumann, and Wisner-Pilger high schools meet with me at… https://t.co/QDd2dXChnN|en|R|3|16
1506712968603762688|1071402577|Wed Mar 23 19:22:19 +0000 2022|Celebrating #NationalPuppyDay with a #FredFischer throwback! https://t.co/ps4l944tcD|en|R|3|28
1506687866868584451|1071402577|Wed Mar 23 17:42:35 +0000 2022|Thank you to @NeCGA for visiting with me today. We discussed how rising fertilizer prices are impacting corn grower… https://t.co/NzesyW8pSJ|en|R|4|25
1506384993207132169|1071402577|Tue Mar 22 21:39:04 +0000 2022|Heading to the Senate floor to give a speech on the importance of modernizing our nuclear deterrent, the bedrock of… https://t.co/oLU0AutjMe|en|R|5|12
1506368610025058313|1071402577|Tue Mar 22 20:33:58 +0000 2022|"Happy #NationalAgDay!
 
Thank you to all those who work in our nation’s agriculture sector for dedicating your live… https://t.co/brLGAX4vwu"|en|R|5|25
1506268226342334470|1071402577|Tue Mar 22 13:55:04 +0000 2022|Looking forward to advancing this bill to honor Petty Officer French. https://t.co/d6xqpAHpF2|en|R|7|24
1505974163680411652|1071402577|Mon Mar 21 18:26:34 +0000 2022|"Today is the start of #NationalAgWeek!
 
NE ag puts food on our tables, fuel in our cars, and is responsible for 1/… https://t.co/a9P2MXjrty"|en|R|10|20
1504969741525561346|1071402577|Fri Mar 18 23:55:22 +0000 2022|"Very proud to see the Omaha VA Ambulatory Care Center project was recognized as Project of the Year by @ENRnews.

https://t.co/NHdpQOi5pr"|en|R|2|15
1504892482080759808|1071402577|Fri Mar 18 18:48:21 +0000 2022|"Congrats to @PaigeWireless’ Julie Bushell on being named chair of @FCC Task Force on Precision Ag.
 
I helped lead… https://t.co/SrsQQKx1lL"|en|R|3|8
1504539381406834690|1071402577|Thu Mar 17 19:25:16 +0000 2022|#GoJays #MarchMadness https://t.co/ijTca2oFDt|und|R|0|8
1504522894885462022|1071402577|Thu Mar 17 18:19:45 +0000 2022|Wishing a Happy #StPatrick’s Day to all, especially to our Irish-American friends and neighbors. https://t.co/KkMsrnm533|en|R|1|8
1504186836075388931|1071402577|Wed Mar 16 20:04:22 +0000 2022|About to join @IanSwanson on KFAB to discuss the latest on Ukraine and President Zelenskyy’s address to Congress th… https://t.co/ztGEdmA62P|en|R|2|3
1504183421446369282|1071402577|Wed Mar 16 19:50:48 +0000 2022|"President Zelenskyy is a fighter, leader, and hero.
 
We must explore all options to provide Ukraine the assistance… https://t.co/zMANZwO1vI"|en|R|17|87
1504170883434356742|1071402577|Wed Mar 16 19:00:59 +0000 2022|Enjoyed meeting with the Mayor of Blair, Rich Hansen, and the City Administrator, Rod Storm. We were able to talk a… https://t.co/ThJ6bdvrcq|en|R|2|8
1504142280172908544|1071402577|Wed Mar 16 17:07:19 +0000 2022|Pleased to hear @PressSec state the admin is considering allowing the summertime sale of E-15 among a “menu of opti… https://t.co/dfXxz04jCP|en|R|3|20
1503861165436379139|1071402577|Tue Mar 15 22:30:16 +0000 2022|The American people should be able to decide for themselves whether they want to wear a mask when they travel on pu… https://t.co/qpVSBLSpSt|en|R|13|63
1503850490664214534|1071402577|Tue Mar 15 21:47:51 +0000 2022|It was a pleasure to meet with Manoj Patil of the Little Priest Tribal College and Michael Oltrogge of the Nebraska… https://t.co/Abk2KH9PtD|en|R|5|14
1503427788736503815|1071402577|Mon Mar 14 17:48:11 +0000 2022|I recently introduced a bill to honor the volunteers of the North Platte Canteen who provided a taste of home to ou… https://t.co/kh1grXlXD2|en|R|1|6
1503393752299319304|1071402577|Mon Mar 14 15:32:56 +0000 2022|We must use every 🛠 at our disposal to restore American energy independence. Increasing the use and production of b… https://t.co/LjVmFePq3B|en|R|10|39
1501907195398610947|1071402577|Thu Mar 10 13:05:54 +0000 2022|📺TUNE IN: I will join @SquawkCNBC LIVE shortly.|en|R|5|4
1501629858429947905|1071402577|Wed Mar 09 18:43:51 +0000 2022|Enjoyed meeting with @UnionPacific’s Leadership Development Program this morning. I’m excited to see where these in… https://t.co/UjGFAoeN54|en|R|3|25
1501324189977825281|1071402577|Tue Mar 08 22:29:14 +0000 2022|Always a pleasure to meet with members of the @NebraskaPFFA and the Omaha Professional Firefighters Association. Th… https://t.co/VaHPVihQgE|en|R|1|16
1501268172179181578|1071402577|Tue Mar 08 18:46:39 +0000 2022|Today @POTUS announced a ban on Russian oil imports. The EU also committed to cutting reliance on Russian natural gas by 2/3 this year.|en|R|5|20
1501265176561074184|1071402577|Tue Mar 08 18:34:44 +0000 2022|Today, we celebrate the accomplishments of the many incredible female leaders that came before us. Let us continue… https://t.co/cMo9hhdpRv|en|R|5|16
1501246373278146563|1071402577|Tue Mar 08 17:20:01 +0000 2022|If you want the truth about the agriculture industry in America, ask a farmer or rancher. You sure aren’t going to… https://t.co/uNESzxPLYd|en|R|15|45
1501236941395791873|1071402577|Tue Mar 08 16:42:33 +0000 2022|The New York Times wants you to believe that farmers and ranchers are killing the planet. Nothing could be further… https://t.co/UxwtN6rDSY|en|R|13|24
1501220848836960257|1071402577|Tue Mar 08 15:38:36 +0000 2022|"Nebraskans always step up to help their fellow countrymen. 

During WWII, many volunteers from North Platte and sur… https://t.co/wmqOYUTWf1"|en|R|2|8
1501216527588237318|1071402577|Tue Mar 08 15:21:26 +0000 2022|Today, Admiral Richard made a clear &amp; compelling statement on the need to modernize our nuclear deterrent. Russia h… https://t.co/IenUetneld|en|R|12|24
