id|user|created_at|text|lang|label|retweet_count|favorite_count
1507410402061144067|19318314|Fri Mar 25 17:33:40 +0000 2022|I was proud to meet with United States Supreme Court Nominee Judge Ketanji Brown Jackson and I am fully confident i… https://t.co/UcxWnNODS8|en|D|7|61
1507362963602223117|19318314|Fri Mar 25 14:25:10 +0000 2022|I’ve watched Judge Ketanji Brown Jackson carry herself all week with poise, dignity, and resolve as she went throug… https://t.co/Jyn9GR1ldv|en|D|23|176
1507112569508614157|19318314|Thu Mar 24 21:50:12 +0000 2022|My statement on Judge Ketanji Brown Jackson’s nomination to the Supreme Court: https://t.co/JbfoBfNbX8|en|D|35|212
1507076478374227976|19318314|Thu Mar 24 19:26:47 +0000 2022|Today marks National Women in Agriculture Day. I join with my fellow Americans in celebrating the 1.2 million femal… https://t.co/NoAqfvmy5y|en|D|5|49
1506738363193298951|19318314|Wed Mar 23 21:03:14 +0000 2022|It breaks my heart everytime I see a video like this. Please treat our planet with love and respect. It’s the only… https://t.co/FuuqEhYv5l|en|D|28|126
1506710275126444034|19318314|Wed Mar 23 19:11:37 +0000 2022|"We could have been blessed by your presence for another 84 years and it still wouldn’t have been enough.

Behind al… https://t.co/jBcSbNhreE"|en|D|10|74
1506677131102806019|19318314|Wed Mar 23 16:59:55 +0000 2022|We take #NationalPuppyDay very seriously in my office. https://t.co/95LjzzIGab|en|D|17|209
1506369530053996545|19318314|Tue Mar 22 20:37:37 +0000 2022|"Happy #NationalAgDay! Here’s a few things we’ve achieved for farmers since I’ve taken office: 

• $1.633B for The A… https://t.co/wkjJ5G0R0V"|en|D|1|26
1506320684514951178|19318314|Tue Mar 22 17:23:31 +0000 2022|There have been 115 Supreme Court Justices, but there has never before been a Black woman Justice. Ketanji Brown Ja… https://t.co/8WnORAHLKF|en|D|40|220
1506293486542372873|19318314|Tue Mar 22 15:35:27 +0000 2022|Happy birthday to the Senator who elevates the Senate’s cool factor by at least 100. @SenAlexPadilla https://t.co/C2sVaxgMzF|en|D|27|293
1506061183765385216|19318314|Tue Mar 22 00:12:22 +0000 2022|Wishing a prosperous and joyful Navroz to all who celebrate in New Mexico and across the nation.|en|D|7|58
1506012597858222081|19318314|Mon Mar 21 20:59:18 +0000 2022|.@POTUS has signed my Foundation for the National Institutes of Health and Reagan-Udall Foundation Act into law. Th… https://t.co/vk9Ul3uZN1|en|D|12|67
