id|user|created_at|text|lang|label|retweet_count|favorite_count
1507087857520820236|1096059529|Thu Mar 24 20:12:00 +0000 2022|In concert with #NationalAgWeek, I’ve joined @SenJoniErnst &amp; @SenTinaSmith in calling for today to be designated as… https://t.co/x53RmJSczJ|en|R|3|26
1507056717187764228|1096059529|Thu Mar 24 18:08:15 +0000 2022|Supply-chain snags &amp; labor issues continue to affect our economy. That’s why I’ve introduced the PLUS Act w/… https://t.co/7Qxamkq2Vw|en|R|5|17
1507023742886625289|1096059529|Thu Mar 24 15:57:14 +0000 2022|A nation is only as strong as its people &amp; the people of #Ukraine are demonstrating just that. https://t.co/C1iCQhYEOY|en|R|11|44
1506721265335377928|1096059529|Wed Mar 23 19:55:17 +0000 2022|It was a pleasure to meet with @CloseUp_DC students from Camas County High School to talk about their experience in… https://t.co/BbmEEU0lcf|en|R|1|11
1506686187506999301|1096059529|Wed Mar 23 17:35:54 +0000 2022|Instead of shoring up our oil &amp; natural gas production capabilities, the administration began the short-sighted pro… https://t.co/IkITfcqw0R|en|R|4|9
1506350750720401412|1096059529|Tue Mar 22 19:23:00 +0000 2022|"Rising fuel prices are putting our nation's food security at risk.

It’s time to ramp up domestic energy production… https://t.co/l7h6Cv8Gz5"|en|R|5|13
1506304982945042433|1096059529|Tue Mar 22 16:21:08 +0000 2022|From sunup to sundown, Idaho’s farmers &amp; ranchers work hard to feed the world. It’s not just what we do – it’s who… https://t.co/qAPkVjeWki|en|R|4|39
1505983426465345547|1096059529|Mon Mar 21 19:03:23 +0000 2022|Congratulations to Chubbuck Elementary’s Tiffany Lemos &amp; Highland High’s Dane Beorchia on receiving Milken Educator… https://t.co/DZmIyeZlxZ|en|R|4|13
1504899225565368321|1096059529|Fri Mar 18 19:15:09 +0000 2022|Interested in applying to one of our nation’s service academies? Stop by one of my academy days to hear academy lia… https://t.co/3S9IfcIDMd|en|R|3|9
1504534443075248136|1096059529|Thu Mar 17 19:05:38 +0000 2022|"Projecting weakness to #Russia has been our biggest mistake so far. Now, it’s happening with #Iran.
 
We must be fo… https://t.co/UuzLGd6kQv"|en|R|24|72
1504480778456997889|1096059529|Thu Mar 17 15:32:24 +0000 2022|I may be a Vandal, but I still know how to support the Broncos. Good luck to @BroncoSportsMBB as they tip-off in th… https://t.co/zMhYiRkzuM|en|R|1|9
1504164713323716610|1096059529|Wed Mar 16 18:36:28 +0000 2022|"The Ukrainian President is right in calling for a no-fly zone over #Ukraine. 

President Zelensky should declare a… https://t.co/4JU4Oklklg"|en|R|42|130
1504148721495326730|1096059529|Wed Mar 16 17:32:55 +0000 2022|Mexico is costing American spud farmers $150,000,000 each year by not fulfilling its side of the bargain. That's wh… https://t.co/Mvxtxkp0U6|en|R|7|24
1504125942142320644|1096059529|Wed Mar 16 16:02:24 +0000 2022|🚨Happening now.🚨 https://t.co/SKYgPniBPa|en|R|2|7
1504109284120043523|1096059529|Wed Mar 16 14:56:12 +0000 2022|This afternoon, I’ll be joining @senrobportman &amp; my Republican colleagues in a press conference to discuss #Russia’… https://t.co/JZNtGk5AfR|en|R|2|10
1503846888814096397|1096059529|Tue Mar 15 21:33:33 +0000 2022|My Republican colleagues &amp; I have been hearing from law-abiding gun owners about letters they’ve received from… https://t.co/YKPin4JeR0|en|R|7|12
1503796926868860928|1096059529|Tue Mar 15 18:15:01 +0000 2022|Just two days ago, #Iran fired missiles toward a United States consulate in Iraq. The Biden Administration is livin… https://t.co/8pAuRRTxHB|en|R|35|122
1503765955377307651|1096059529|Tue Mar 15 16:11:57 +0000 2022|The Ukrainians need military equipment &amp; they need it NOW. https://t.co/HOqOrUFTMH|en|R|5|23
1503482707128602625|1096059529|Mon Mar 14 21:26:25 +0000 2022|Congratulations to Eagle’s Dani Aravich &amp; the Wood River Valley’s Jake Adicoff, Sam Wood &amp; Jesse Keefe on their run… https://t.co/h2a5D5Zebo|en|R|1|7
1503398572628316169|1096059529|Mon Mar 14 15:52:06 +0000 2022|My @SenateGOP colleagues &amp; I urge the administration, our Democrat colleagues &amp; the international community to lear… https://t.co/OWIk82hvqz|en|R|22|37
1502313151060193291|1096059529|Fri Mar 11 15:59:01 +0000 2022|"Over the past few weeks, Idahoans have shown an outpouring of support for the Ukrainian people. 
 
I’m proud to be… https://t.co/CLhkiah41z"|en|R|16|70
1501988999182925830|1096059529|Thu Mar 10 18:30:57 +0000 2022|For the past two weeks, the world has marveled at the unity &amp; resilience displayed by the Ukrainian people, but the… https://t.co/SYUbhdXynz|en|R|7|34
1501954235784740871|1096059529|Thu Mar 10 16:12:49 +0000 2022|#Iran &amp; #Russia are negotiating the #IranDeal &amp; they won’t even let the Americans in the room. Our people are out i… https://t.co/OUhRytY3GR|en|R|270|620
1501711476981129221|1096059529|Thu Mar 10 00:08:11 +0000 2022|"Congratulations to Valor K9 Academy in Horseshoe Bend on being named the Idaho Small Business of the Month!

Since… https://t.co/Ozlvpmz3HE"|en|R|1|13
1501671693965742081|1096059529|Wed Mar 09 21:30:06 +0000 2022|Happy birthday to Idaho’s own @RepRussFulcher! Thanks for all you do for the people of ID-01. https://t.co/DeqRjIqkXu|en|R|1|14
1501623895476031491|1096059529|Wed Mar 09 18:20:10 +0000 2022|Rising gas prices far predate our ban on Russian oil. This is a direct consequence of the administration’s decision… https://t.co/XIN8hoeXaj|en|R|20|36
1501578712516644869|1096059529|Wed Mar 09 15:20:37 +0000 2022|I applaud the administration’s move to ban the import of Russian oil yesterday – this is a step in the right direct… https://t.co/0xYUWF6mYU|en|R|8|60
1501320545803063298|1096059529|Tue Mar 08 22:14:45 +0000 2022|This isn’t my entire staff, but it’s a majority. #InternationalWomensDay https://t.co/afjlK5FtBV|en|R|16|447
1501280317918748676|1096059529|Tue Mar 08 19:34:54 +0000 2022|Democrats are so fixated with their Green New Deal that they are willing to overlook egregious human rights violati… https://t.co/hIy6hQxy1J|en|R|30|88
1500966059955965958|1096059529|Mon Mar 07 22:46:09 +0000 2022|I was proud to work with @MikeCrapo to secure a 3-year SRS reauthorization &amp; ensure the program works correctly for… https://t.co/1iZbeIcl3H|en|R|1|9
1500916385341448195|1096059529|Mon Mar 07 19:28:46 +0000 2022|"Instability in global markets is causing gas prices to surge. 

It’s time to unleash American-made energy &amp; deliver… https://t.co/RRcGwgH9cm"|en|R|3|12
1500887467477684225|1096059529|Mon Mar 07 17:33:52 +0000 2022|Pray for the people of Ukraine.|en|R|7|85
1499843771319652355|1096059529|Fri Mar 04 20:26:35 +0000 2022|#GoVandals https://t.co/j6EG8DZ7Bk|und|R|1|5
1499808055353126914|1096059529|Fri Mar 04 18:04:40 +0000 2022|On March 4, 1863, President Lincoln signed an act creating the Idaho Territory – the rest is history. Happy… https://t.co/It3asJUYqH|en|R|3|34
1499502354042961925|1096059529|Thu Mar 03 21:49:55 +0000 2022|Proud to see the progress the @uidaho students have made on this project. It’s always great to see my alma mater ma… https://t.co/ICAxcP26rO|en|R|1|14
