id|user|created_at|text|lang|label|retweet_count|favorite_count
1520481834236362753|109287731|Sat Apr 30 19:14:53 +0000 2022|"Proud to join this resolution recognizing the brave journalists and news staff who are reporting from the frontlines of the war in Ukraine. 

I am grateful for their ever-important work, risking their lives to shed light on the truth. https://t.co/NaWnx0TpFr"|en|D|8|21
1520409517548265472|109287731|Sat Apr 30 14:27:31 +0000 2022|"Turning the tide on the substance use disorder epidemic demands an all-hands-on-deck approach. On #TakeBackDay, we’re reminded of the role we can all play. 

I encourage Granite Staters to find disposal sites in their cities &amp; towns, and to urge friends &amp; neighbors to join them. https://t.co/JAM9KGUwpJ"|en|D|3|9
1520161003769581572|109287731|Fri Apr 29 22:00:01 +0000 2022|"Exciting to see NH's Teacher of the Year Sara Casassa recognized at the @WhiteHouse! The students at Barnard School are lucky to have you. Thank you to Sara, and all our educators, for your dedication to NH students. 

https://t.co/w7wtIPqX2G"|en|D|4|16
1520149675151613953|109287731|Fri Apr 29 21:15:00 +0000 2022|Granite State students interested in attending any of our nation's prestigious service academies are invited to attend NH Service Academy Day on Saturday, May 21 in Concord! RSVP at RSVP@shaheen.senate.gov or call my office at 603-647-7500.|en|D|8|7
1520137154474565633|109287731|Fri Apr 29 20:25:15 +0000 2022|This is horrific. My thoughts are w/ the @RFERL community as they mourn the loss of one of their own, and all those grieving this devastating loss as Putin continues to commit war crimes and target civilian infrastructure. This was a residential building. https://t.co/3cORCdcSmF|en|D|11|16
1520130803996381184|109287731|Fri Apr 29 20:00:00 +0000 2022|"It's imperative we invest in U.S. global competitiveness to counter China’s influence &amp; promote domestic manufacturing to grow our economy. 

Pleased that the Senate &amp; House are headed to conference on a compromise bipartisan bill to deliver for American workers &amp; families. https://t.co/dHbjrI5YHM"|en|D|7|17
1520103354927665158|109287731|Fri Apr 29 18:10:56 +0000 2022|"Today marks another milestone on the long road to justice for James Foley, Peter Kassig, Steven Sotloff &amp; Kayla Mueller.

I’ve long worked w/ the Foleys &amp; will keep supporting them &amp; all impacted families so the terrorists culpable face the full weight of the U.S. justice system. https://t.co/oScqQA3CBn"|en|D|6|10
1520094353833795585|109287731|Fri Apr 29 17:35:10 +0000 2022|Great to have @SBAIsabel in NH to tour Londonderry manufacturer, Uni-Cast, and meet with personnel to discuss our State’s proud manufacturing capabilities, as well as how together we can and must address supply chain &amp; workforce challenges. https://t.co/si8rk6CT0j|en|D|6|13
1520066628712603648|109287731|Fri Apr 29 15:45:00 +0000 2022|"A strong child care industry is necessary to support NH working families. That’s why I fought for robust federal funding in #ARPA to help NH child care providers so parents can get back to work &amp; kids can have safe, reliable &amp; accessible care.

https://t.co/zCYDXUSV3G"|en|D|3|11
1520050642848555008|109287731|Fri Apr 29 14:41:29 +0000 2022|"In celebration of the 150th anniversary of #ArborDay, I’m proud to co-sponsor this resolution promoting civic engagement &amp; recognizing the importance of planting trees for a greener future! 

Creating a more sustainable world helps us live, learn &amp; GROW together. 🌳 https://t.co/Ifn69cULtU"|en|D|5|22
1519802386776313856|109287731|Thu Apr 28 22:15:00 +0000 2022|.@POTUS is right: the cost of doing nothing in the face of Putin’s aggression is far greater than taking a stand against his campaign violence &amp; war in Ukraine. The fate of the Ukrainian people &amp; democracies around the world is at stake. https://t.co/vZ9ni2vFkJ|en|D|9|27
1519798612628320257|109287731|Thu Apr 28 22:00:00 +0000 2022|Enjoyed a sunny Washington morning w/ @SenatorHassan, @RepChrisPappas &amp; @RepAnnieKuster today to dedicate a Black Gum tree on the Capitol grounds in honor of New Hampshire! 🌳 https://t.co/lsRJsuZvYl|en|D|8|32
1519788546139336704|109287731|Thu Apr 28 21:20:00 +0000 2022|Always a pleasure to meet with you, @Tsihanouskaya. Thank you for your leadership &amp; perseverance on behalf of the Belarusian people to shed light on the truth and for continuing to advocate for a democratic future for Belarus. 🇧🇾 https://t.co/6rIaWHHdeS|en|D|19|89
1519780637900775430|109287731|Thu Apr 28 20:48:34 +0000 2022|"NEW: The House just sent my bill w/@JohnCornyn to @POTUS' desk, which will expedite the delivery of military aid to Ukraine.

Every lever must be pulled to help Ukraine defend itself against Putin’s war. The lives of innocent Ukrainians &amp; the future of their country depend on it. https://t.co/FLDaYFIWtK"|en|D|7|20
1519765896713043968|109287731|Thu Apr 28 19:50:00 +0000 2022|"Almost ready for lift off! Great work by Newington Public School and UNH Manchester students. Can’t wait to see the experiment’s results following this fall’s launch to the International Space Station. 

https://t.co/DQaxz7s0i5"|en|D|2|11
1519732518852902912|109287731|Thu Apr 28 17:37:22 +0000 2022|"Women in Ukraine and neighboring countries face significant barriers on access to necessary health care as Putin continues his unprovoked and illegal war in Ukraine. 

Thank you to @UNFPA and @StateDept for your continuing commitment to women, girls and families everywhere. https://t.co/ABVbHDhQPa"|en|D|10|33
1519681591957667842|109287731|Thu Apr 28 14:15:00 +0000 2022|As we mark Holocaust Remembrance Day and pay tribute to the six million Jewish people who perished at the hands of a tyrant, we must honor their lives w/ a commitment to stop such hatred and violence when we see it. Today, tomorrow &amp; always. #WeRemember|en|D|5|26
1519451332368900096|109287731|Wed Apr 27 23:00:02 +0000 2022|"Kudos to the “Girls at Work” at Henry J. McLaughlin Middle School for volunteering their time over school vacation! The results of your hard work this week will be seen at @mansd_nh for years to come.  

https://t.co/lf0iVvacGB"|en|D|2|12
1519439999359500289|109287731|Wed Apr 27 22:15:00 +0000 2022|We'll boil it down for you: We will not let Republicans turn back the clock on reproductive health – #TitleX is here to stay. https://t.co/lRvTJ3OMHg|en|D|20|91
1519431059351474180|109287731|Wed Apr 27 21:39:28 +0000 2022|"Today, our nation said its final goodbye to a trailblazer, public servant and protector of the peace. Today I bid farewell to my friend, Madeleine. 

May we all learn from her and walk in her footsteps. https://t.co/L5riINXlZ8"|en|D|5|41
1519413576829657089|109287731|Wed Apr 27 20:30:00 +0000 2022|"Trevor Reed will soon be back on U.S. soil after being detained in Russia for nearly 3 years. Credit to @POTUS &amp; the admin for making this possible &amp; fellow lawmakers who I worked beside to push for his freedom. 

Our work must continue to free all Americans detained abroad. https://t.co/JRLn3irYEr"|en|D|5|29
1519407951458578433|109287731|Wed Apr 27 20:07:39 +0000 2022|"Thrilled the Senate confirmed Jane Young to serve as U.S. attorney of NH. A native Granite Stater, Ms. Young has shown passion, expertise &amp; an unwavering commitment to justice.

I’m confident she will serve NH with distinction as the state’s chief federal law enforcement officer."|en|D|4|19
1519358616721047552|109287731|Wed Apr 27 16:51:37 +0000 2022|"Congrats to Lori Stevens on being named NH Elementary Principal of the Year! Stevens’ emphasis on wellness &amp; emotional health for students and staff is making a difference. Emerson Elementary – and NH – is lucky to have her.  

https://t.co/syHW643ewf"|en|D|4|15
