id|user|created_at|text|lang|label|retweet_count|favorite_count
1520467575330807810|515822213|Sat Apr 30 18:18:13 +0000 2022|"Why? Because we see the potential for food to become a serious problem in this country.

If we don't combat consolidation, consumers won't be able to afford food, our food security will be put at risk, and rural America will dry up and blow away.
https://t.co/haE6IEfmXa"|en|D|49|193
1520157436295979009|515822213|Fri Apr 29 21:45:50 +0000 2022|"Devastating news. Sharla and I send our thoughts and condolences to Airman First Class Montanucci's family and loved ones.
https://t.co/fOS5HyPRyb"|en|D|11|60
1520144701432770567|515822213|Fri Apr 29 20:55:14 +0000 2022|Had a good meeting with the Butte School District Superintendent, which ended just in time for lunch! Enjoyed chatting with these top-notch kids at East Middle School. https://t.co/kJG4eaQ1re|en|D|18|168
1520130837219618816|515822213|Fri Apr 29 20:00:08 +0000 2022|"A great day to be in Butte, America! I've been so impressed by the hard work and dedication of the community as we fought tooth and nail to deliver this new VA clinic.

This state-of-the-art facility will have a lasting impact on Montana vets and their families for years to come. https://t.co/Cq4SXO5yuB"|en|D|27|141
1520113499267125251|515822213|Fri Apr 29 18:51:15 +0000 2022|"Strong and secure borders are the foundation of our national security.

That's why I joined a bipartisan coalition this week in pushing for legislation that'll keep our communities safe, ensure @CBP is fully staffed, and guarantee that our Border Patrol agents are paid fairly."|en|D|16|104
1519794340247257090|515822213|Thu Apr 28 21:43:01 +0000 2022|"For rural America to be vibrant, we need to have good infrastructure and we need to have good markets.

Like I told @Lawrence, we've passed the bills to address infrastructure—now it's time to pass my bills for more transparent and competitive cattle markets. https://t.co/VpSGjU48mn"|en|D|53|197
1519766128981164032|515822213|Thu Apr 28 19:50:55 +0000 2022|"Short of our parents, it's often our teachers who have the greatest impact on our lives.

Enjoyed reminiscing on my teaching days with Mr. Stockton, Mr. Knight, and Ms. Montgomery—the 2022 Teachers of the Year for Montana, Idaho, and Wyoming. https://t.co/febg1nuSwT"|en|D|15|129
1519744212295729155|515822213|Thu Apr 28 18:23:50 +0000 2022|"It's pretty simple, folks—if you eat food, you've got a stake in agriculture.

Combatting ag consolidation and putting more transparency in the marketplace will help producers AND consumers get a fairer shake.
https://t.co/Nf2usFoJ3j"|en|D|55|237
1519712703882870784|515822213|Thu Apr 28 16:18:38 +0000 2022|"If we do nothing, family farm agriculture will be dead in this country.

And if we lose family farm agriculture, our country will change for the worse in a major way. #AgSpeech"|en|D|114|490
1519708650964754435|515822213|Thu Apr 28 16:02:31 +0000 2022|A citizenry that is well fed is essential if our democracy is going to survive. #AgSpeech|en|D|34|198
1519707028201033730|515822213|Thu Apr 28 15:56:04 +0000 2022|We are more consolidated today than we were in 1921—when Congress passed the Packers and Stockyards Act. #AgSpeech|en|D|20|79
1519706675825057793|515822213|Thu Apr 28 15:54:40 +0000 2022|"Why did we lose more than 345,000 farms in the last 30 years?

It's because folks can't make the numbers work anymore—and the main culprit is consolidation in the ag world. #AgSpeech https://t.co/2kpVOLsqpQ"|en|D|194|428
1519701841361223683|515822213|Thu Apr 28 15:35:28 +0000 2022|Speaking on the floor now! https://t.co/DyAoAGOqTf|en|D|18|94
1519697827475173379|515822213|Thu Apr 28 15:19:31 +0000 2022|I'll be speaking on the floor at 11:30 ET/9:30 MT. Tune in! https://t.co/zOdIgyNL4i|en|D|9|58
1519438491456843778|515822213|Wed Apr 27 22:09:00 +0000 2022|Folks—I'm taking to the Senate floor tomorrow to speak on ag consolidation and urge my colleagues to take action. It'll be live-streamed right here on Twitter, so stay tuned. https://t.co/tpDqowW4LD|en|D|38|230
1519415093511004161|515822213|Wed Apr 27 20:36:02 +0000 2022|Had a productive meeting with Tribal leaders and members from the Fort Belknap Indian Community. Whether it's creating more affordable housing or supporting youth behavioral health programs, we'll keep working hand-in-hand to address the issues facing Indian Country. https://t.co/T7tfRHpENi|en|D|25|113
1519403220845703169|515822213|Wed Apr 27 19:48:51 +0000 2022|"It's 2022 and hundreds of thousands of Montanans still lack access to reliable internet. Unacceptable.

In a commerce hearing with @SecRaimondo this morning, I urged @NTIAgov to get our broadband infrastructure investments out the door as efficiently and effectively as possible."|en|D|23|125
1519388127458209797|515822213|Wed Apr 27 18:48:53 +0000 2022|Always glad to see Montana ranchers leading the charge for more market transparency! Thanks to Gilles for making the trek all the way from Grass Range, MT—and for discussing the urgent need to pass my American Beef Labeling Act. https://t.co/izzad2wzrN|en|D|11|65
1519374681266176003|515822213|Wed Apr 27 17:55:27 +0000 2022|"As Montana's senior Senator, there's nothing better than meeting with our state's next generation of leaders.

Enjoyed talking with these first-rate students from Sidney, West Yellowstone, White Sulphur Springs, and Red Lodge high schools! https://t.co/LsxKQx5IlZ"|en|D|3|88
1519362543025803265|515822213|Wed Apr 27 17:07:13 +0000 2022|Got the chance to read to some 5th and 6th graders in Alberton this morning. I read them a passage from my book that happened when I was their age—the story of my left hand meeting the meat grinder 🤙 https://t.co/wTxEtCE2YD|en|D|20|163
1519348708562939904|515822213|Wed Apr 27 16:12:14 +0000 2022|Great meeting with the folks from @bravovictororg today, who do impressive research to improve the lives of veterans with vision loss. Our men and women in uniform sacrifice so much, and we’ve got to be doing everything we can to ensure they’re taken care of after their service. https://t.co/oaGajsjwM1|en|D|11|51
1519326640081354753|515822213|Wed Apr 27 14:44:33 +0000 2022|We can lower the cost of prescription drugs and save American seniors and taxpayers billions by ending retroactive DIR fees. I'm fighting hard to do just that. https://t.co/8Ltv6DLf20|en|D|29|129
1519099449787748358|515822213|Tue Apr 26 23:41:46 +0000 2022|If you couldn't tell, I was thrilled to have two of my ag competition bills heard in committee today. Keep up the pressure, and let's get 'em over the finish line! https://t.co/3MtCAlmCyk|en|D|48|342
1519078563227578368|515822213|Tue Apr 26 22:18:47 +0000 2022|"Always a pleasure to have the @MTStockgrowers in town!

Montana beef is a cut above the rest, but we've got to make sure our ranchers are getting a fair shake for it. Ranchers need more transparency in cattle markets—which means we need to pass my spot pricing bill. https://t.co/ojaMKZvDEe"|en|D|11|42
1519071025530613763|515822213|Tue Apr 26 21:48:50 +0000 2022|Dave is a Boilermaker (Local Lodge 11) from Basin, MT, and he's in Washington today advocating for the PRO Act. Montana has a proud history of unions, and passing this bill to protect our workers' right to organize is long overdue. https://t.co/QXWkBeHBoA|en|D|24|118
1519061347517968384|515822213|Tue Apr 26 21:10:22 +0000 2022|Had a great meeting with @MHA_Montana today. These folks have been working their tails off to keep our communities healthy throughout the pandemic—and we owe them a debt of gratitude for it. I've got their backs in Washington! https://t.co/EP97FwIJFE|en|D|10|65
1519045875510788096|515822213|Tue Apr 26 20:08:53 +0000 2022|Congratulations to Asher Beaudin, Ashton Blake, Brooke Bothner, Katherine Callow, John Chadwell, and Jilian Wynne for being selected as semifinalists for the 2022 U.S. Presidential Scholars Program. These young Montanans represent our state well! #MTProud https://t.co/xaQjRpgJxH|en|D|8|30
1519026763879305218|515822213|Tue Apr 26 18:52:57 +0000 2022|"Met with Dr. Shereef Elnahal today—the nominee for VA Under Secretary for Health.

It’s been 6 years since we’ve had someone in this position, so I look forward to hearing more about his plan to deliver quality care to more than 9 million vets in tomorrow’s @SVACDems hearing. https://t.co/CLA7h4tIP3"|en|D|28|100
1519014954296356865|515822213|Tue Apr 26 18:06:01 +0000 2022|"We've secured $330,000 from my bipartisan infrastructure law for six Montana irrigation projects.

Water infrastructure is the backbone of Montana's ag industry, and our farmers and ranchers need modernized irrigation systems to keep producing the food that feeds the world."|en|D|28|116
1519000317970587649|515822213|Tue Apr 26 17:07:52 +0000 2022|"Today, I spoke to the Senate Ag Committee as they review two of my critical bills to tackle consolidation in the industry.

We have a problem—and if we continue to do nothing, our food security will remain at risk while both ranchers and consumers literally pay the price. https://t.co/T5BfjDJLCC"|en|D|65|216
1518683450030632968|515822213|Mon Apr 25 20:08:44 +0000 2022|"AG NEWS: Tomorrow, the Senate Ag Committee will review two of my bipartisan bills.

My Meat Packing Special Investigator Act and my Cattle Price Discovery and Transparency Act are both critical to cracking down on consolidation in the industry—it's time to get them passed."|en|D|44|158
1518655402111651841|515822213|Mon Apr 25 18:17:17 +0000 2022|It’s a big day for veterans suffering from conditions related to military toxic exposures. I appreciate VA for taking steps to do right by these veterans by establishing presumptive conditions for nine rare respiratory conditions covered under my comprehensive COST of War Act. https://t.co/QHZRzbbcXu|en|D|31|110
1518604395633643522|515822213|Mon Apr 25 14:54:36 +0000 2022|"Tomy and Dara are two of many Montanans who know firsthand how vital the Caregivers Program is to our vets. Tomy sacrificed a whole lot for our country, and Dara had to work part-time to help him get the care he deserved.

But Tomy and Dara were almost kicked from the program. 🧵 https://t.co/m2Xtd7hUDu"|en|D|47|237
1518345788874665984|515822213|Sun Apr 24 21:47:00 +0000 2022|As the Senate returns from a state work period, one of my top priorities will be leveraging my role on the America COMPETES Act conference committee to strengthen our supply chain, defend our economic advantage over China, and bring down costs for Montana families.|en|D|50|280
1518279099369754627|515822213|Sun Apr 24 17:22:00 +0000 2022|"There's no good reason to continue reduced hours of operation at points of entry along our northern border.

Operations at these ports are critical to our supply chain and economic growth in Montana's northern tier. @CBP needs to fully reopen our ports.
https://t.co/ww8yh2pXbm"|en|D|24|121
1518255830885449729|515822213|Sun Apr 24 15:49:32 +0000 2022|Senator Orrin Hatch was a great American who served the people of Utah honorably for decades. Sharla and I are saddened to hear of his passing, and we send our condolences to his family.|en|D|7|107
1517974233556688898|515822213|Sat Apr 23 21:10:34 +0000 2022|"Tackling consolidation in the ag industry is critical to getting our ranchers a fair shake and bringing down the cost of meat at the grocery store.

Good to see American Rescue Plan resources are going to this fight—now let's get my price transparency bill over the finish line. https://t.co/yAvzEBgCPY"|en|D|36|111
1517882023813296130|515822213|Sat Apr 23 15:04:10 +0000 2022|"The Senate wasn't in session this week, but the work didn't stop. In case you missed it, here's what we secured this week:

🚰 Another $127M for MT water projects
🔥 $19.3M for wildfire mitigation
🎒 $14M for rural MT schools &amp; roads
🐟 $1.5M for MT fish passage projects"|en|D|77|334
1517548033369640960|515822213|Fri Apr 22 16:57:00 +0000 2022|"Good news ahead of fire season—we've secured $19.3 million from my bipartisan infrastructure law for wildfire mitigation in the Kootenai National Forest.

We've got to do all we can to combat and mitigate wildfire damage. Montanans' homes and drinking water are at risk."|en|D|39|238
1517526698488745985|515822213|Fri Apr 22 15:32:13 +0000 2022|Happy Earth Day from the Last Best Place! We're renting this land from our future generations, and we owe it to our kids and grandkids to leave this Earth a little better than we found it. https://t.co/Rh1wSNLkO1|en|D|56|587
1517262353997471747|515822213|Thu Apr 21 22:01:49 +0000 2022|"The American Rescue Plan keeps on delivering for Montanans—this time with another $127 million for water infrastructure projects across the state.

These upgrades are long overdue. For our communities to have economic certainty and job growth, we need reliable water systems."|en|D|55|243
1517243576597495811|515822213|Thu Apr 21 20:47:12 +0000 2022|"🆕 We've secured more than $1.5 million from my bipartisan infrastructure law for Montana fish passage projects.

When it comes to preserving our public lands and powering our outdoor recreation economy, clean water and wildlife conservation are essential."|en|D|37|208
1517189440346730497|515822213|Thu Apr 21 17:12:05 +0000 2022|"We’ve got to do more to connect veterans with life-saving mental health care.

My Hannon Act created a new suicide prevention grant program that’ll do just that, and I encourage eligible organizations, Tribes, and local governments to apply today:
https://t.co/xEhTbZLV81"|en|D|14|49
