id|user|created_at|text|lang|label|retweet_count|favorite_count
1520517150988984323|217543151|Sat Apr 30 21:35:13 +0000 2022|"Next Saturday, May 7th, I’ll be honoring our brave men &amp; women in uniform who’ve fought to keep our nation safe! 
 
RSVP here: ⬇️
https://t.co/LuQFnxkRde https://t.co/rnkwhChGJh"|en|R|34|389
1520458057293221892|217543151|Sat Apr 30 17:40:24 +0000 2022|"ICYMI, just another example of how the Biden administration’s policies are hurting the very people they claim to be helping.
https://t.co/dh5lvHjicd"|en|R|39|203
1520163522063343621|217543151|Fri Apr 29 22:10:01 +0000 2022|"We saw a botched withdrawal from Afghanistan that cost 13 American soldiers their lives &amp; left thousands of American behind.
 
Next Saturday, I will be honoring our heroes that served in the wars in Iraq &amp; Afghanistan.
 
RSVP here: ⬇️
https://t.co/LuQFnxkRde"|en|R|40|423
1520149692079874048|217543151|Fri Apr 29 21:15:04 +0000 2022|It was great to see BG Jason Kelly of @AtlantaCorps this week to get an update on the Corps' projects in the Southeast. BG Kelly's work with @CharlestonCorps to deepen Charleston Harbor will be vital to the future prosperity of SC and the rest of the nation. https://t.co/t9AFamib9s|en|R|19|194
1520139614996123648|217543151|Fri Apr 29 20:35:01 +0000 2022|"No doubt, the Biden administration’s policies are unpopular. Now he’s trying to buy the American people’s support with a move that would largely help the wealthy.
https://t.co/VeTj0LmtuR"|en|R|79|467
1520127034843934721|217543151|Fri Apr 29 19:45:02 +0000 2022|Eliminating right-to-work laws and ushering in a new wave of unions is wrong for our workers, wrong for our economy, and wrong for our country.|en|R|238|2460
1520116205230575618|217543151|Fri Apr 29 19:02:00 +0000 2022|If we really want the American economy to thrive again, we’ve got to put workers first! https://t.co/0mPQX4prfl|en|R|49|442
1520100647760273409|217543151|Fri Apr 29 18:00:11 +0000 2022|"Another disappointing miss from the Biden administration.
https://t.co/iUlLOiprsa"|en|R|42|285
1520085002360397825|217543151|Fri Apr 29 16:58:01 +0000 2022|"I visited with Col. Williamson of the SC Highway Patrol at the wall of commemoration. This wall displays 51 of South Carolina’s finest lost in the line of duty.
 
Thank you for your service &amp; sacrifice for our great state! https://t.co/HdZwHiXouY"|en|R|26|234
1519802405680029696|217543151|Thu Apr 28 22:15:04 +0000 2022|"As S.C expands its broadband infrastructure, our state's members of @NTCAconnect are working hard to ensure that their communities get connected and stay connected.

I truly appreciate their hard work, and I’m glad I had the opportunity to meet with some of them this week in DC. https://t.co/3QRmzgo41O"|en|R|20|151
1519753352715849728|217543151|Thu Apr 28 19:00:09 +0000 2022|Conservative principles changed my life and are the key to a prosperous America. A special thank you to @RJC for welcoming me at their Spring Leadership Meeting! https://t.co/EkewgIXtvh|en|R|64|607
1519738327368454144|217543151|Thu Apr 28 18:00:27 +0000 2022|Opportunity Zones help communities in jeopardy of falling behind attract capital, create jobs, and lift residents out of poverty. https://t.co/IlNxyYRik7|en|R|14|137
1519708126102106113|217543151|Thu Apr 28 16:00:26 +0000 2022|It’s obvious that the Biden Administration has no plan to alleviate our nation’s supply chain crisis. We need to bring more industries home – this means more products, more jobs, and more money in the hands of hard-working Americans. https://t.co/6vTK6YhtFW|en|R|108|821
