id|user|created_at|text|lang|label|retweet_count|favorite_count
1507373146801856518|23124635|Fri Mar 25 15:05:38 +0000 2022|On #NationalMedalofHonorDay, we honor recipients of the greatest commendation that is bestowed on our nation's mili… https://t.co/5zfikFrhw9|en|R|1|4
1507025735323725830|23124635|Thu Mar 24 16:05:09 +0000 2022|ICYMI: My office is now accepting entries from #OK04 high school students for the 2022 #CongressionalArtCompetition… https://t.co/GSO0jOPcQI|en|R|1|0
1507006449355948035|23124635|Thu Mar 24 14:48:31 +0000 2022|As a proud American, Madeleine Albright will be missed by all. She served America with grace, pride &amp; distinction.… https://t.co/7gsMGZKXPH|en|R|2|2
1506279039908167686|23124635|Tue Mar 22 14:38:03 +0000 2022|On #NationalAgricultureDay, we gratefully recognize America's farmers &amp; ranchers, including 13,000+ in #OK04! They… https://t.co/KhbYdWbjal|en|R|6|30
1506027923433742345|23124635|Mon Mar 21 22:00:12 +0000 2022|On #WorldDownSyndromeDay, we celebrate the acceptance of people with Down Syndrome &amp; the continued work to provide… https://t.co/SdbCirMpKa|en|R|1|8
1505961534832394247|23124635|Mon Mar 21 17:36:23 +0000 2022|Don't buy the lie that the sole cause of the current 40-year high inflation is Putin's invasion of Ukraine while… https://t.co/uvqWgdj4VS|en|R|2|3
1505216588298997763|23124635|Sat Mar 19 16:16:14 +0000 2022|I will deeply miss @repdonyoung in many ways — as a legislative ally, a source of wisdom &amp; history &amp; a master strat… https://t.co/2eHAPjDpT4|en|R|1|7
1504883512536616966|23124635|Fri Mar 18 18:12:43 +0000 2022|During #BrainAwarenessWeek we are reminded that brain diseases &amp; injuries can both affect one's speech &amp; motor skil… https://t.co/NUMF1jmR7s|en|R|0|2
1504855146341228547|23124635|Fri Mar 18 16:20:00 +0000 2022|In his virtual address, @ZelenskyyUa urged the U.S. to provide Ukraine with more strategic aid amid Putin's ruthles… https://t.co/vOLVPDEDHy|en|R|1|2
1504838816250662912|23124635|Fri Mar 18 15:15:07 +0000 2022|Last week, #OK04's own @OUNursing announced plans to admit all qualified nursing applicants this fall in an effort… https://t.co/RT4NbEYE1K|en|R|2|4
1504533031180136459|23124635|Thu Mar 17 19:00:02 +0000 2022|As we celebrate #YouthArtMonth, I am delighted to announce that my office is now accepting #OK04 high school studen… https://t.co/Bi5uLd7wuy|en|R|1|0
1504491149658054657|23124635|Thu Mar 17 16:13:36 +0000 2022|Luck of the Irish to you on this St. Patrick's Day! 🍀 https://t.co/tlfz4MHwUM|en|R|9|26
1504475663855587343|23124635|Thu Mar 17 15:12:04 +0000 2022|During National Tribal Colleges &amp; Universities Week we recognize the importance of expanding access to higher educa… https://t.co/WVgbbi3Gy6|en|R|1|2
1504171590925307906|23124635|Wed Mar 16 19:03:48 +0000 2022|#OnThisDay in 1802, Congress passed the act establishing the @WestPoint_USMA. Since then, 4 more academies includin… https://t.co/2doCr3qo3R|en|R|1|2
1504134746703601677|23124635|Wed Mar 16 16:37:23 +0000 2022|President Zelenskyy's address to Congress was clear &amp; resolute: Ukraine needs our support. As an ardent defender of… https://t.co/E6zz7gQWbu|en|R|6|13
1503825129230544910|23124635|Tue Mar 15 20:07:05 +0000 2022|While runaway inflation has been exacerbated by Putin's egregious invasion of Ukraine, don't buy into the lie that… https://t.co/UJXy6X5lsR|en|R|3|5
1503490565257711617|23124635|Mon Mar 14 21:57:38 +0000 2022|Though long overdue &amp; far from perfect, the FY22 omnibus is a good compromise that bolsters funding for our defense… https://t.co/R5uwdhPlKq|en|R|1|5
1502412783102709762|23124635|Fri Mar 11 22:34:55 +0000 2022|Last week #OK04's own Wichita Mountains Wildlife Refuge Visitors Center reopened its doors! Visitors of this beauti… https://t.co/oj0mzveSVM|en|R|2|9
1502328917692137474|23124635|Fri Mar 11 17:01:40 +0000 2022|📺 Watch my Weekly Chat below for an update on the big topics of the week including the ongoing 40-year high inflati… https://t.co/L49qfnLeMq|en|R|3|1
1502074027715747840|23124635|Fri Mar 11 00:08:50 +0000 2022|🔈 ICYMI: Earlier today I hosted a telephone town hall for #OK04 constituents &amp; provided an update from Congress on… https://t.co/QrAni9JwCu|en|R|1|1
1501942703126286347|23124635|Thu Mar 10 15:26:59 +0000 2022|"DON'T FORGET: Tune in to my lunch hour telephone town hall TODAY for #OK04 constituents. 

HOW TO JOIN:
🗓️ Thursday… https://t.co/a4uVIvuCOG"|en|R|1|2
