id|user|created_at|text|lang|label|retweet_count|favorite_count
1507121524582535173|3389296557|Thu Mar 24 22:25:47 +0000 2022|People coming to the Northwoods to escape lockdowns/mandates. In other words seeking freedom. https://t.co/xNafiwJFj4|en|R|7|50
1503991587138908161|3389296557|Wed Mar 16 07:08:31 +0000 2022|They had a very good football team also. Go Hurley! https://t.co/4bjMrYRnuu|en|R|2|6
1503188475985678341|3389296557|Mon Mar 14 01:57:15 +0000 2022|Happy birthday Minocqua! https://t.co/i75eJN2oaJ|en|R|1|1
1500630081596702721|3389296557|Mon Mar 07 00:31:06 +0000 2022|Build/upgrade pipelines and other energy infrastructure, resume leasing on public lands to achieve energy independe… https://t.co/HbgVCTIzm0|en|R|5|13
1499570561264939010|3389296557|Fri Mar 04 02:20:57 +0000 2022|I thought your GPA was diesel https://t.co/t8PfznbQGl|en|R|3|6
1499190258516307970|3389296557|Thu Mar 03 01:09:45 +0000 2022|You are starting to sound like Tom Tiffany https://t.co/SR6XIywtdI|en|R|5|38
1498464574248566786|3389296557|Tue Mar 01 01:06:09 +0000 2022|What does stfu stand for Jim?  Stand Tall For ? https://t.co/z1QjruXkzK|en|R|1|9
1498442558980116481|3389296557|Mon Feb 28 23:38:40 +0000 2022|Good thing you are quoting Ms Soft Power.  It's her America Last  policies that emboldens tyrants to create the cha… https://t.co/L8X6trWD8A|en|R|3|10
1498320769855606785|3389296557|Mon Feb 28 15:34:43 +0000 2022|We're counting on you Mark! https://t.co/3T14SNWvp5|en|R|1|0
1495069415938748416|3389296557|Sat Feb 19 16:15:00 +0000 2022|I hear you Billy. Start with Black Rock and others who dump our money into China funding slave labor projects. https://t.co/KAL3JQOw26|en|R|2|7
1495042353601519624|3389296557|Sat Feb 19 14:27:28 +0000 2022|https://t.co/wG8hy7DOEi|und|R|21|118
1491866283364737031|3389296557|Thu Feb 10 20:06:54 +0000 2022|Stopped to see the world's biggest hockey stick in Eveleth as part of northern Minnesota tour. Surprised we didn't… https://t.co/Td5vOFAlUc|en|R|2|20
1489626369990578182|3389296557|Fri Feb 04 15:46:17 +0000 2022|Good stuff Mark. As the Willow damtender I recorded on three consecutive days during the 1996 cold blast...-42, -43… https://t.co/0WUqO9BIhK|en|R|1|9
