id|user|created_at|text|lang|label|retweet_count|favorite_count
1520386276200964096|2861616083|Sat Apr 30 12:55:10 +0000 2022|"It is an excellent question. In the middle of record high inflation, the Biden Administration seems determined to make things worse for American families. I'm not going to stand for this weak leadership. We deserve better. #AL06 
https://t.co/rhePzKNAW4"|en|R|2|5
1520099714921902080|2861616083|Fri Apr 29 17:56:28 +0000 2022|".@SecBecerra has some explaining to do. It is clear HHS is pushing a ""woke"" agenda forcing doctors to accept a leftist ideology in order to receive reimbursement for their work. This type of discrimination is dangerous and I am going to stand against it.
https://t.co/7r3p0vfpnq"|en|R|8|12
1519746907307921412|2861616083|Thu Apr 28 18:34:32 +0000 2022|"Despite Democrats spending two years dismantling American energy production, @SecGranholm had the audacity to blame high gas prices on oil companies and Russia. The facts are clear, the Biden Administration is to blame for American energy costs.
https://t.co/nu3sk3SCX9"|en|R|2|4
1519672373003309059|2861616083|Thu Apr 28 13:38:22 +0000 2022|".@SecGranholm must answer for the failed policies coming from the Biden Administration that are driving up the costs of energy for American families. Today, we hold her accountable for Biden's ""America Last"" energy policies. https://t.co/bSOo9tBQ1C"|en|R|6|8
1519476680393383937|2861616083|Thu Apr 28 00:40:45 +0000 2022|".@SecBecerra told me during a hearing today @HHSGov doesn't have an ""anti-racism"" plan that would provide higher Medicare reimbursements to doctors who, among other things, adopt a view that race is a ""political and social construct.""  

Well, I brought the receipts. ⬇️⬇️⬇️ https://t.co/zIFWkLyacj https://t.co/i0dfl9VmzS"|en|R|8|10
1519392747576254465|2861616083|Wed Apr 27 19:07:14 +0000 2022|11 years ago today, Alabama experienced one of the worst tornado outbreaks to date. We lost over 200 Alabamians as 62 tornadoes tore through our state. Ann and I continue to pray for those who lost loved ones and were impacted by those deadly storms.|en|R|3|10
1519342670119854081|2861616083|Wed Apr 27 15:48:15 +0000 2022|"""effectively managed"" is NOT what I saw in Eagle Pass, Texas on Monday. Our Border Patrol agents are doing their best but they are being failed by terrible policy coming from President Biden and you, @SecMayorkas. Americans deserve better leadership. #BidenBorderCrisis https://t.co/pmoqz10rhA"|en|R|5|13
1519013680226222080|2861616083|Tue Apr 26 18:00:57 +0000 2022|On Monday, I joined several of my colleagues to see the #BidenBorderCrisis firsthand in EaglePass, Texas. Our border is in shambles, and the brave Border Patrol agents are overwhelmed. I’m calling on the Biden Administration to do its job and protect our nation. https://t.co/SUa6vqbdW8|en|R|73|280
1518749260401020929|2861616083|Tue Apr 26 00:30:15 +0000 2022|"What I witnessed at the border is both a national tragedy and human tragedy. The #BidenBorderCrisis is having disastrous and deadly impacts on American families. 
 https://t.co/MGkkYHzLli"|en|R|10|16
1518626891812544513|2861616083|Mon Apr 25 16:24:00 +0000 2022|"I was on @1055WERC with JT earlier to talk about my trip to the border today. If the Biden Administration lifts Title 42 the #BidenBorderCrisis will turn into a humanitarian disaster. We must secure our border.

Listen to the interview below 👇
https://t.co/DSeigWaRlB"|en|R|1|2
