id|user|created_at|text|lang|label|retweet_count|favorite_count
1507091901861744647|1880674038|Thu Mar 24 20:28:04 +0000 2022|ICYMI: Over $2M is on the way to lift our neighbors through jobs, housing, wellness and more at the @UnivAreaCDC Cu… https://t.co/nBhV44nwRl|en|D|1|5
1507063846824992770|1880674038|Thu Mar 24 18:36:35 +0000 2022|🚨WATCH: While Republicans try to cast blame on political opponents for gas prices, Big Oil CEOs are using record pr… https://t.co/A2eCZphOKi|en|D|15|16
1507029221276794885|1880674038|Thu Mar 24 16:19:00 +0000 2022|Every corner of our community will be touched by these critical investments including higher-paying local jobs and… https://t.co/iRiY1WQJvm|en|D|2|8
1507015929175048199|1880674038|Thu Mar 24 15:26:11 +0000 2022|"🚨Scammers and bad actors are still at work🚨
 
Read this important info on how to protect your private information a… https://t.co/kpSvRRZUkc"|en|D|2|2
1506737238847143942|1880674038|Wed Mar 23 20:58:46 +0000 2022|"Share your health story using hashtag #ThxACA
 
https://t.co/5R9LHl066A https://t.co/qU8GwOqDgS"|en|D|3|9
1506737185927708676|1880674038|Wed Mar 23 20:58:33 +0000 2022|Today, we’re celebrating the 12th anniversary of the ACA, how it has saved lives, lowered costs, expanded coverage… https://t.co/EyES9aa92a|en|D|4|26
1506730310385418245|1880674038|Wed Mar 23 20:31:14 +0000 2022|"Secretary Albright opened the door wider for all women and served 🇺🇸 with intellect and insight. 

I am grateful fo… https://t.co/x8eWEZbgyB"|en|D|5|10
1506715501380132867|1880674038|Wed Mar 23 19:32:23 +0000 2022|"Climate risks to our communities are growing and threatening our economy.

@SECgov is taking action to make sure in… https://t.co/h8EkR0UE6c"|en|D|11|17
1506372080358543360|1880674038|Tue Mar 22 20:47:45 +0000 2022|Starting at 5pm - dial in soon! https://t.co/iyZsIpxJfU|en|D|2|6
1506347074878648326|1880674038|Tue Mar 22 19:08:23 +0000 2022|It’s inspiring to see neighbors coming together with a vision of lifting up each other through education, wellness,… https://t.co/UUcQRSztQ5|en|D|2|6
1506021505045520384|1880674038|Mon Mar 21 21:34:41 +0000 2022|"Our Co$tbusters 📞 town hall series continues tomorrow night!
 
Join me &amp; local experts for the latest info on how t… https://t.co/JTNlIkV6tl"|en|D|3|5
1505993344417210384|1880674038|Mon Mar 21 19:42:47 +0000 2022|Thank you to America’s faith leaders &amp; @ClimateCrisis colleagues for dialogue on the importance of protecting God’s… https://t.co/9n1HhWzMrs|en|D|5|22
1505983992822128643|1880674038|Mon Mar 21 19:05:38 +0000 2022|Look who stopped by my DC office today! @DianneHartFL is in DC supporting Judge Ketanji Brown Jackson’s #SCOTUS nom… https://t.co/YHyiZQMjnu|en|D|4|37
1505918539592577025|1880674038|Mon Mar 21 14:45:33 +0000 2022|You can’t help but be excited for America re the historic #SCOTUS nominee Ketanji Brown Jackson - an incredibly qua… https://t.co/iYvtpfAnD4|en|D|4|11
1505912191333150723|1880674038|Mon Mar 21 14:20:19 +0000 2022|So happy to meet with Florida’s future leaders who came to Washington this week to advocate for important prioritie… https://t.co/MqPf5NcmqX|en|D|2|8
1505684785452269569|1880674038|Sun Mar 20 23:16:41 +0000 2022|🙏 #Tampa story of skill and hope … https://t.co/Soo23peEZ3|en|D|3|5
1505182303386972162|1880674038|Sat Mar 19 14:00:00 +0000 2022|Rep. Hastings’ legacy of public service will live on as we boost cancer screenings and save lives in underserved co… https://t.co/Kk9zGEuYHG|en|D|5|13
