id|user|created_at|text|lang|label|retweet_count|favorite_count
1507121972756549635|232992031|Thu Mar 24 22:27:33 +0000 2022|Earlier this month I asked @DHSgov to implement a program similar to the Haitian Family Reunification Program that… https://t.co/l7E7XBKZye|en|D|3|5
1506347167761543184|232992031|Tue Mar 22 19:08:46 +0000 2022|Revered leaders don’t jail their political opponents, try to kill them, or ban truthful journalism - dictators do.… https://t.co/dqeD6pUPZT|en|D|6|6
1504578270016286728|232992031|Thu Mar 17 21:59:47 +0000 2022|Today Congress passed my resolution, #HRes888, condemning the killing of 14 individuals and violence on Bloody Sund… https://t.co/8DWmNUQ3MN|en|D|15|46
1504139837833633796|232992031|Wed Mar 16 16:57:37 +0000 2022|.@arenda stated that Vladimir Putin could be held accountable as a war criminal due to his integral role in Russia’… https://t.co/5QMZdfPcpc|en|D|4|21
1504128803290992640|232992031|Wed Mar 16 16:13:46 +0000 2022|.@christogrozev said that Russia’s Siloviki (Russia’s military and intelligence elite) circles are growing uncomfor… https://t.co/x29z9nzRbc|en|D|5|17
1504083580007366659|232992031|Wed Mar 16 13:14:04 +0000 2022|Join me at 10am for a @HouseForeign Subcommittee hearing discussing potential war crimes and human rights abuses co… https://t.co/E0pBvEIUhd|en|D|9|14
1503901324596989952|232992031|Wed Mar 16 01:09:51 +0000 2022|At 10am I will Chair a @HouseForeign Sub hearing discussing potential war crimes and human rights abuses committed… https://t.co/Z1YcOVjxht|en|D|69|385
1501311849157087236|232992031|Tue Mar 08 21:40:12 +0000 2022|Today, along with @RepMarcyKaptur &amp; @RepBrianFitz , I introduced legislation authorizing @POTUS to allocate not les… https://t.co/Mgph27y5VA|en|D|34|138
1501213462973792256|232992031|Tue Mar 08 15:09:15 +0000 2022|It is clear that women in politics allow for more reform, as well as better child and healthcare policies. Women ha… https://t.co/BPvKKfClHa|en|D|4|19
1501207892967493636|232992031|Tue Mar 08 14:47:07 +0000 2022|During the briefing @Tsikhanouskaya underlined that women in Belarus have worked tirelessly to ensure the world see… https://t.co/QeBPjDqEdg|en|D|13|111
1501191362913488896|232992031|Tue Mar 08 13:41:26 +0000 2022|Happy #InternationalWomensDay! I salute women all over the world fighting to make their societies safe, prosperous,… https://t.co/EYRfXbSsyW|en|D|3|9
1500263606860103683|232992031|Sun Mar 06 00:14:52 +0000 2022|I commend @Mastercard and @Visa for their decision to suspend operations in Russia. This is an important step to de… https://t.co/LWwQW5gc97|en|D|7|27
1500159864479363076|232992031|Sat Mar 05 17:22:37 +0000 2022|I have just concluded a bi-partisan congressional call with President Volodomyr Zelensky to address the catastrophi… https://t.co/nHgolozCix|en|D|14|43
1500128629002588164|232992031|Sat Mar 05 15:18:30 +0000 2022|I am currently joining my colleagues for a meeting with President @ZelenskyyUa to hear how the US can best support… https://t.co/naqTBagEDY|en|D|10|57
1499861778918002692|232992031|Fri Mar 04 21:38:08 +0000 2022|Yesterday I voted for the Honoring our PACT Act, expanding access to care and benefits for veterans exposed to toxi… https://t.co/TQCKSWvER0|en|D|3|7
1499739259066109953|232992031|Fri Mar 04 13:31:17 +0000 2022|Thank you @SecMayorkas for granting Temporary Protected Status to at-risk Ukrainians living in US. On Monday I join… https://t.co/qVtkR08X3y|en|D|2|24
1497295218248491011|232992031|Fri Feb 25 19:39:33 +0000 2022|Expressing my steadfast support and #solidarity with those in Russia brave enough to protest the Kremlin’s unlawful… https://t.co/FTgCAoRBDR|en|D|14|43
1497240377589387266|232992031|Fri Feb 25 16:01:38 +0000 2022|As a former DA who knows the importance of capable jurists, I can confidently say @POTUS has selected an eminently… https://t.co/Mo7nCU9QMz|en|D|3|26
1496926517544341518|232992031|Thu Feb 24 19:14:27 +0000 2022|Earlier this week in London I was assured by officials that the UK would come out with its own, coordinated list of… https://t.co/EYUupSubjl|en|D|3|8
1496860886409138176|232992031|Thu Feb 24 14:53:40 +0000 2022|Putin’s invasion is about two things: regime change and escalating the invasion he began 8 years ago. We all know P… https://t.co/5j6eGPWN2O|en|D|4|17
1496714588657704963|232992031|Thu Feb 24 05:12:20 +0000 2022|Putin’s actions are the acts of a craven, insecure leader who deserves contempt from us all. And for those that thi… https://t.co/vp5Jf8On6o|en|D|6|20
1496714475617112065|232992031|Thu Feb 24 05:11:53 +0000 2022|My first concern is for the people of Ukraine, and my prayers are with them.|en|D|4|31
1496594008994373637|232992031|Wed Feb 23 21:13:11 +0000 2022|This week I will introduce legislation with @RepBrianFitz to impose sanctions on Russian parliamentarians who suppo… https://t.co/hSTfwXB52i|en|D|3|9
1496181656276942853|232992031|Tue Feb 22 17:54:39 +0000 2022|Today, as Chair of the @HouseForeign Subcommittee on Europe, Energy, the Environment, and Cyber, I issued a biparti… https://t.co/dUta5EC5EW|en|D|3|16
1496145668011966465|232992031|Tue Feb 22 15:31:38 +0000 2022|As a subcommittee chair on @HouseForeign, I am regularly in touch with @GermanAmbUSA and representatives from… https://t.co/0dB4Bzks8U|en|D|3|7
1495920772589699075|232992031|Tue Feb 22 00:37:59 +0000 2022|Today @KremlinRussia_E has recognized the so-called “Donetsk and Luhansk People’s Republics” &amp; sent Russian troops… https://t.co/FlfJzxHppX|en|D|9|28
1494798642246561799|232992031|Fri Feb 18 22:19:02 +0000 2022|Great reuniting with @tsikhanouskaya today during @MunSecConf. We discussed the democratic movement in Belarus faci… https://t.co/zHrUCUkpkR|en|D|27|194
