id|user|created_at|text|lang|label|retweet_count|favorite_count
1507337938430009350|20467163|Fri Mar 25 12:45:44 +0000 2022|Thanks to @GOPLeader, @SteveScalise and @RepStefanik for leading an impressive policy retreat in Fla. The GOP agend… https://t.co/f0YLuOlFxx|en|R|22|74
1507109514151182338|20467163|Thu Mar 24 21:38:03 +0000 2022|Just led a great discussion at the @HouseGOP retreat with @RepGuthrie on the future of health care in America. High… https://t.co/BWOHXdFK3r|en|R|4|21
1506753652286963721|20467163|Wed Mar 23 22:03:59 +0000 2022|Leader Kevin McCarthy, myself and other task force chairmen just kicked off the @HouseGOP retreat in Florida with a… https://t.co/JQKl7WYWkZ|en|R|22|93
1506673546206011396|20467163|Wed Mar 23 16:45:40 +0000 2022|Biden’s blind fealty to the far-left is preventing us from becoming energy independent. Even Dem. Jamie Dimon (CEO… https://t.co/Dqe9GWzqa8|en|R|2|4
1506377924496269315|20467163|Tue Mar 22 21:10:59 +0000 2022|Thanks to TCJA, farmers and ranchers can now immediately write off the cost of new and used equipment in order to i… https://t.co/njgYUOXVyq|en|R|6|28
1505929821112705026|20467163|Mon Mar 21 15:30:22 +0000 2022|While the president likes to blame “the Putin price hike,” the truth is that gas prices have been surging since Bid… https://t.co/JIYCVVc0fd|en|R|7|16
1505179363112849411|20467163|Sat Mar 19 13:48:19 +0000 2022|The passing of Congressman Don Young of Alaska, dean of the U.S. House, ends a remarkable career of public service.… https://t.co/YupSmE2fZN|en|R|1|8
1504541208676384769|20467163|Thu Mar 17 19:32:31 +0000 2022|https://t.co/PgbaV5vX70|und|R|2|14
1504072607653629957|20467163|Wed Mar 16 12:30:28 +0000 2022|Democrats’ one-size-fits-all approach to health care isn’t working for Americans. As co-chairs of @GOPLeader's Heal… https://t.co/AsOpWgHiXj|en|R|23|84
1503812248187416581|20467163|Tue Mar 15 19:15:54 +0000 2022|"Pleased to see the Senate pass @SenRubioPress and my legislation to make #DaylightSavingTime permanent!

I’ll be le… https://t.co/odfh49zGNg"|en|R|7|16
1503798390186033161|20467163|Tue Mar 15 18:20:50 +0000 2022|According to @USCBO, there are $340 billion in COVID relief still unobligated. We need a full accounting of the rou… https://t.co/24SxfbF4Wu|en|R|2|10
1503428645896998916|20467163|Mon Mar 14 17:51:36 +0000 2022|Horrible to hear about the airstrikes on the Yavoriv military base in Ukraine, which killed 35 people and injured o… https://t.co/fjRPKT3Xeo|en|R|4|8
1503357404611756033|20467163|Mon Mar 14 13:08:30 +0000 2022|Two of my legislative initiatives were just signed into law! One measure aims to prevent seniors from falling victi… https://t.co/DVhlcP82tP|en|R|6|16
1502311256635674628|20467163|Fri Mar 11 15:51:29 +0000 2022|In 2018, Fla. voted to make daylight saving time permanent, but cannot move ahead without congressional approval.… https://t.co/42nV9cx3QK|en|R|9|24
1501932946617364484|20467163|Thu Mar 10 14:48:13 +0000 2022|"🚨Inflation just rose to 7.9% - another 40-year high!🚨

First they said it was “transitory,” then they blamed supply… https://t.co/2aOwsr8Rdf"|en|R|147|474
1501597362141241348|20467163|Wed Mar 09 16:34:44 +0000 2022|Trooper Toni Schuck acted in a way that’s nothing short of heroic. She selflessly put herself in harm’s way to prot… https://t.co/wXY0YwCWW7|en|R|4|12
1501284953748918275|20467163|Tue Mar 08 19:53:20 +0000 2022|"Gas prices just hit an all-time high with the national average reaching $4.17 per gallon. 

And while the White Hou… https://t.co/EdD0q8RcZi"|en|R|2|8
1499763189478830081|20467163|Fri Mar 04 15:06:23 +0000 2022|The U.S. should not be empowering Vladimir Putin and helping subsidize Russia’s war on Ukraine. It’s time to hit th… https://t.co/tyjORLiccu|en|R|14|54
1499496875094851600|20467163|Thu Mar 03 21:28:08 +0000 2022|On March 3, 1845, Florida became the twenty-seventh state in our union. Today, Florida’s rich, natural beauty and r… https://t.co/YvUDgQNLU0|en|R|6|13
1499458496332509184|20467163|Thu Mar 03 18:55:38 +0000 2022|Incredible to see. Even amid a state of war, members of parliament from Ukraine have been working to keep democracy… https://t.co/VPA89NP8vc|en|R|3|29
1499407102732914688|20467163|Thu Mar 03 15:31:25 +0000 2022|This Saturday, I’m hosting a Service Academy Fair for high school students interested in attending one of our count… https://t.co/d0QpOKk8G3|en|R|1|2
1498320849945903111|20467163|Mon Feb 28 15:35:02 +0000 2022|Shockingly, more than 1/3 of all U.S. workers have never had a retirement account and 1/4 adults have no retirement… https://t.co/VIMQ1h9b4b|en|R|4|6
1496997885375913987|20467163|Thu Feb 24 23:58:03 +0000 2022|Read my statement below about Russia’s attack on Ukraine and the need for strong sanctions. https://t.co/AjXaQbEfGj|en|R|2|7
1496900110785159172|20467163|Thu Feb 24 17:29:32 +0000 2022|With crime and attacks on police increasing across the country, today I hosted a roundtable with local law enforcem… https://t.co/dYWMZKc4hV|en|R|1|5
1495485424671805441|20467163|Sun Feb 20 19:48:04 +0000 2022|Incredible turnout and show of support for the Jewish community at today’s United Against Hate rally in Sarasota.… https://t.co/VqNfuxol2q|en|R|7|19
1493999121476243460|20467163|Wed Feb 16 17:22:02 +0000 2022|Pleased to helped celebrate the opening of Bradenton’s newest affordable housing complex, Sandpiper Place. Affordab… https://t.co/uTTzCDv7jW|en|R|1|11
1493597640424050695|20467163|Tue Feb 15 14:46:41 +0000 2022|America’s veterans have selflessly sacrificed and put it all on the line to defend our country and our way of life.… https://t.co/FmjWGAIGrb|en|R|7|15
