id|user|created_at|text|lang|label|retweet_count|favorite_count
1520488620033032199|188019606|Sat Apr 30 19:41:50 +0000 2022|"As a former history teacher and student of history, I believe we must learn from our past.
 
This week, the House took a major step towards preserving our history by sending my bill to honor and expand the historical sites associated with Brown v. Board to the President's desk. https://t.co/cmmjA4lQsb"|en|D|102|651
1520119456848134144|188019606|Fri Apr 29 19:14:55 +0000 2022|"It was a pleasure to welcome Prime Minister of Trinidad and Tobago Keith Rowley to the U.S. Capitol.

I look forward to working together to continue the strong partnership between our nations. https://t.co/abEKT3w661"|en|D|55|229
1520087559652610048|188019606|Fri Apr 29 17:08:10 +0000 2022|"When @POTUS promised to be ""a President for all Americans,"" he meant it.
 
From the American Rescue Plan to the infrastructure bill, President Biden has spearheaded an economic recovery that is reaching every corner of this nation.
https://t.co/YhIhC6nELu"|en|D|77|170
1520053125461291011|188019606|Fri Apr 29 14:51:20 +0000 2022|"Congratulations to Col. Alexander Conyers on being named the 13th president of @SCSTATE1896.
 
President Conyers has shown remarkable leadership as interim president and I am confident that his skills and experiences will help lead this great institution to new heights. https://t.co/6Z84ziiwyN"|en|D|20|52
1519784774663086084|188019606|Thu Apr 28 21:05:01 +0000 2022|"Today, Congress sent bipartisan legislation to expedite the delivery of military assistance to Ukraine to the President's desk.

This is a humanitarian crisis of Putin's making.

We are committed to holding Putin accountable &amp; supporting Ukraine in this unprovoked &amp; unjust war."|en|D|42|130
1519747876846510080|188019606|Thu Apr 28 18:38:24 +0000 2022|"Thanks to @POTUS and @HouseDemocrats, we’re in the midst of a small business boom — especially for entrepreneurs of color.

The more than $450 billion we’ve delivered in small business aid to rebuild our economy is working.
https://t.co/36Jy3hZK4F"|en|D|44|82
1519699062714425344|188019606|Thu Apr 28 15:24:25 +0000 2022|"Great to join @GWCollegeDems and @GWTweets to talk about student loan forgiveness, public service, and building a better future for our communities.
 
If we work together, we can repair the faults in our society and advance our pursuit of a more perfect union. https://t.co/ebcCyixaSg"|en|D|25|52
1519435461068046336|188019606|Wed Apr 27 21:56:58 +0000 2022|I was pleased by the surprise visit today by two House alumna now representing us well in the Biden Administration, OMB Director Shalanda Young and Associate OMB Director for Legislative Affairs Wintta Woldemariam. https://t.co/3jTB4dPrkV|en|D|43|252
1519392124659277825|188019606|Wed Apr 27 19:04:46 +0000 2022|"To mark #MinorityHealthMonth and #MedicaidAwarenessMonth, I sat down with my friend @SenatorWarnock to discuss the importance of Medicaid expansion and his bill to cap the price of insulin at $35 a month.

Listen here:
https://t.co/HJ9jr0q2h2"|en|D|49|91
1519333831962247169|188019606|Wed Apr 27 15:13:08 +0000 2022|"Judge J. Michelle Childs has distinguished herself at every stage of her long career in public service.

If confirmed, I believe we can expect great things from her on the U.S. Court of Appeals for the District of Columbia Circuit.

I urge her swift confirmation. https://t.co/ysk2TeuPMS"|en|D|95|293
1519313614691205120|188019606|Wed Apr 27 13:52:47 +0000 2022|"This #HolocaustRemembranceDay, we honor the lives of the six million Jewish people and many more who were killed during the Holocaust.

We must never forget what happened, and we must use our memory of this history to prevent future atrocities."|en|D|73|156
1519081481766944768|188019606|Tue Apr 26 22:30:23 +0000 2022|"Far too many Americans don't know the history of Brown v. Board of Education.
 
I'm pleased the House passed my bill today to recognize and expand the historic sites that contributed to this landmark desegregation case.
 
Next stop, the President's desk. https://t.co/kJhp48XxPI"|en|D|322|1098
1518659862275706882|188019606|Mon Apr 25 18:35:01 +0000 2022|"It is unconscionable that millions of Americans must choose between putting food on the table and paying for life-saving medications.
 
That's why @HouseDemocrats passed a bill to cap the cost of insulin at $35/month.
 
I urge the Senate to take swift action."|en|D|116|320
1518241974620459009|188019606|Sun Apr 24 14:54:28 +0000 2022|I am saddened to learn of former Senator Orrin Hatch’s passing. Despite our political differences, we enjoyed a friendship and I remain grateful for his assistance in securing passage of the Gullah Geechee Cultural Heritage Corridor. Rest in Peace.|en|D|34|185
1517635191069724673|188019606|Fri Apr 22 22:43:20 +0000 2022|Glad to join @SecRaimondo, @EPAMichaelRegan &amp; @MitchLandrieu46 to discuss the work @POTUS is doing to rebuild America’s infrastructure. His Bipartisan Infrastructure Bill puts SC on the right path to ensure everyone has accessible, affordable broadband and clean &amp; reliable water. https://t.co/8s0zUl3t5f|en|D|51|146
1517591672279994368|188019606|Fri Apr 22 19:50:24 +0000 2022|"Now more than ever, we see how necessary clean energy is to our future. Thanks to @POTUS’ Bipartisan Infrastructure Law, Democrats are making historic investments to cut toxic pollution.
This #EarthDay @HouseDemocrats remain committed to taking action to fight the #ClimateCrisis."|en|D|57|146
1517505024737386497|188019606|Fri Apr 22 14:06:06 +0000 2022|This #EarthDay, we ought to rededicate ourselves to doing our part to combat climate change. By making conscience changes to our energy consumption, we all contribute to a cleaner, more sustainable world.|en|D|31|112
1517241523909365760|188019606|Thu Apr 21 20:39:02 +0000 2022|"It was my pleasure to address @ClemsonUniv’s Men of Color National Summit today.
 
I applaud the Summit’s emphasis on the importance of education and the need to close the opportunity gap for African American and Hispanic men across the country. https://t.co/VplpEWef10"|en|D|42|141
1517192263864139778|188019606|Thu Apr 21 17:23:18 +0000 2022|"The development of the COVID-19 vaccines gave Americans hope during the darkest days of the pandemic.
 
I recently spoke with Dr. Kizzmekia Corbett, the Black scientist who had a hand in creating the Moderna vaccine, about her groundbreaking discovery.

https://t.co/QpAgD0Mvci"|en|D|35|96
1516802585705033729|188019606|Wed Apr 20 15:34:51 +0000 2022|"Today we remember the 13 lives taken in Littleton, Colorado during the Columbine High School massacre.
 
In the 23 years since, Congress has yet to send legislation to curb the gun violence epidemic to the President's desk.
 
The House has done its part. The Senate must act now."|en|D|170|617
1516515705889464336|188019606|Tue Apr 19 20:34:54 +0000 2022|"Pleased to announce SC will receive over $71 million in infrastructure funding this year for transit projects across the Palmetto state.
 
@POTUS &amp; the Democrats are working hard to deliver jobs &amp; resources to our communities.
https://t.co/o27Iciw2VO"|en|D|107|445
1516482763557425154|188019606|Tue Apr 19 18:24:00 +0000 2022|Only when we achieve the full promise of #FairHousing will we see economic opportunity, an end to homelessness in America, and affordable housing for all. I applaud Chairwoman @RepMaxineWaters and @FSCDems, as @HouseDemocrats continue the fight this #FairHousingMonth.|en|D|65|128
