id|user|created_at|text|lang|label|retweet_count|favorite_count
1520564637447516160|2355919591|Sun May 01 00:43:54 +0000 2022|Thanks to our team of volunteers and interns across #CA40 for knocking on doors today in Yorba Linda, Chino Hills, Mission Viejo, Laguna Woods, and Trabuco Canyon. To join #TeamYoung as a volunteer or intern, go to https://t.co/YFY7jWWyRu https://t.co/Vw5EZviiGL|en|R|12|70
1520145904921026560|2355919591|Fri Apr 29 21:00:01 +0000 2022|"California small businesses are doing heavy lifting to keep their doors open in a time of supply chain constraints and rising prices. We must support them and fight back against policies that make it harder to operate and create jobs. 
https://t.co/jPgtsbcxWq"|en|R|2|22
1519804707010904064|2355919591|Thu Apr 28 22:24:13 +0000 2022|Today, we remember the millions of innocent Jewish &amp; non-Jewish lives lost during the Holocaust on #YomHaShoah. We must be vigilant in our fight for human rights &amp; never allow these atrocious acts to be erased from history.|en|R|9|48
1519043637056708608|2355919591|Tue Apr 26 20:00:00 +0000 2022|"Even Democrats know ending Title 42 without a plan is a mistake. 

@POTUS, what is your plan to secure our Southern border and end this crisis? 

https://t.co/7DAUjX6TLG"|en|R|3|11
1519024983573508096|2355919591|Tue Apr 26 18:45:52 +0000 2022|Thank you @GOPChairwoman for having me and @MichelleSteelCA on your #RealAmerica podcast to share our stories and why we’re fighting every day to grow the Grand Opportunity Party and preserve the American dream for future generations. Listen: https://t.co/WjDulcI1wT https://t.co/0Y84DL7KkU|en|R|41|144
1518635960346443776|2355919591|Mon Apr 25 17:00:02 +0000 2022|"Labor shortages, supply chain delays, and price increases are forcing small businesses to close.

Americans are feeling the burden of Nancy Pelosi’s reckless policies. 

https://t.co/5SOOZCG7hd"|en|R|4|15
1518326662961631233|2355919591|Sun Apr 24 20:31:00 +0000 2022|Psalm 46:10- “He says, “Be still, and know that I am God; I will be exalted among the nations, I will be exalted in the earth.”|en|R|12|132
1517960061615702016|2355919591|Sat Apr 23 20:14:15 +0000 2022|It’s my honor to introduce Congressman @ByronDonalds at our @CAGOP convention. We’re working together to pass pro-growth policies in Washington and recruit great Republican candidates to take back the House in November. #TeamYoung #CA40 https://t.co/jS3TJd6FU5|en|R|29|128
1517639393107795968|2355919591|Fri Apr 22 23:00:02 +0000 2022|American families need relief from out-of-control price increases! Speaker Pelosi and President Biden must do more to bring down prices at the pump and work towards American energy independence.|en|R|14|82
1517344930233917440|2355919591|Fri Apr 22 03:29:56 +0000 2022|We had a great evening at the Mission Viejo, Rancho Santa Margarita, Aliso Viejo, Laguna Niguel, and Laguna Hills Chamber of Commerce mixer in Mission Viejo. #TeamYoung #CA40 https://t.co/B5udxrze0n|es|R|4|38
