id|user|created_at|text|lang|label|retweet_count|favorite_count
1507007661597859841|898787903609765890|Thu Mar 24 14:53:20 +0000 2022|Honored to be endorsed by @mikepompeo today! #NM02 https://t.co/quDleUNEHd|en|R|3|13
1506674045303021569|898787903609765890|Wed Mar 23 16:47:39 +0000 2022|Beautiful shot of Sierra Blanca with a late spring dusting of snow. I love representing the most beautiful state in… https://t.co/6DRlEVQzFy|en|R|2|12
1505385348418859010|898787903609765890|Sun Mar 20 03:26:50 +0000 2022|Congrats to @NMStateMBB on an incredible season. Fought hard until the end. We’re proud of you and can’t wait for next season! #AggieUp|en|R|4|11
1504627168416051202|898787903609765890|Fri Mar 18 01:14:06 +0000 2022|Let’s go Aggies!!! What a win!! https://t.co/4Z7te7AhPC|en|R|1|12
1503043734392688640|898787903609765890|Sun Mar 13 16:22:06 +0000 2022|Congrats @NMStateMBB! Back to the Big Dance! #AggieUp https://t.co/KwmyLmQXsM|en|R|2|5
1502504360869183488|898787903609765890|Sat Mar 12 04:38:49 +0000 2022|Go Aggies! #AggieUp https://t.co/TRKUpWlCTk|en|R|1|7
1502316182564659201|898787903609765890|Fri Mar 11 16:11:04 +0000 2022|Gorgeous March snow coming down this morning in the Organ Mountains! I love New Mexico. #NM02 https://t.co/7ieMtT9TfK|en|R|1|7
1497669519145414660|898787903609765890|Sat Feb 26 20:26:53 +0000 2022|Incredible turnout at today’s @NewMexicoGOP State Convention in Ruidoso! We are fired up and ready to get America b… https://t.co/SLOfxdTj3m|en|R|19|95
1479184119376531457|898787903609765890|Thu Jan 06 20:12:30 +0000 2022|Happy 110th birthday to the state we love! #nmpol #nm02 https://t.co/RkF0vTlchx|en|R|5|27
1468342536192233475|898787903609765890|Tue Dec 07 22:11:55 +0000 2021|👋 the conservative Republican Congresswoman you’re helping raise a lot of money for today! Chip in here to send the… https://t.co/L39is4KuP0|en|R|10|41
1463876324985081861|898787903609765890|Thu Nov 25 14:24:48 +0000 2021|Happy Thanksgiving! We are so blessed to live in the greatest country in the world. I hope you have a wonderful day… https://t.co/Fx8uaG3HKr|en|R|5|15
1461721855195234307|898787903609765890|Fri Nov 19 15:43:42 +0000 2021|It’s not like that. At all. https://t.co/arv02cWMEQ|en|R|2|14
1461364534409449478|898787903609765890|Thu Nov 18 16:03:50 +0000 2021|Congrats @NMStateAggies! Great news for the future of Aggie sports. #AggieUp https://t.co/76Tjtp5RKo|en|R|1|1
