id|user|created_at|text|lang|label|retweet_count|favorite_count
1507407912259538949|15394954|Fri Mar 25 17:23:47 +0000 2022|The Medal of Honor is the most prestigious honor that can be awarded to American military members. Today on… https://t.co/1LUiHtIR5T|en|R|1|4
1507075021428113409|15394954|Thu Mar 24 19:20:59 +0000 2022|The U.S. Capitol has been closed for over 2 years. This is depriving the American people of the rich history that l… https://t.co/5MAg7XLjmw|en|R|1|3
1507061153486286850|15394954|Thu Mar 24 18:25:53 +0000 2022|.@POTUS's message changes day to day regarding who is to blame for rising gas prices. Yet in the last year, he has… https://t.co/jxYNcyCw7k|en|R|3|4
1506727838216605704|15394954|Wed Mar 23 20:21:24 +0000 2022|It is sad to learn of the passing of the former U.S. Secretary of State, Madeleine Albright. Marcia and I send our… https://t.co/HJvbURCCkb|en|R|1|3
1506671295580233733|15394954|Wed Mar 23 16:36:44 +0000 2022|Happy #NationalPuppyDay 🐾 Meet Marge: my sister’s Boston Terrier. Our family has always had a soft spot for dogs an… https://t.co/zBt8dvU81k|en|R|1|6
1506364137819025411|15394954|Tue Mar 22 20:16:12 +0000 2022|Last month, @CBP saw a +60% increase in migrant encounters from Feb2021. As we near the warm weather months, there… https://t.co/ztb6qTHC4j|en|R|1|3
1506334517677670410|15394954|Tue Mar 22 18:18:30 +0000 2022|In Ohio, our farmers and ranchers work every day to make sure our stores are fully stocked with a wide variety of p… https://t.co/s4FE21wuNI|en|R|2|7
1506311321796718597|15394954|Tue Mar 22 16:46:19 +0000 2022|Shutting down Line 5 should not be an option. A shutdown would create a 14.7 million gallon-per-day shortage of gas… https://t.co/6qalCMPdrF|en|R|2|5
1506292114505797652|15394954|Tue Mar 22 15:30:00 +0000 2022|Yesterday, I hosted a conversation between @nscorp and Lake Township officials about the consistent railroad blocka… https://t.co/m1PLDmlSLn|en|R|1|3
1506272762519863303|15394954|Tue Mar 22 14:13:06 +0000 2022|"We must bridge the gap in the digital divide. Broadband is a necessity for every American. 
 
These funds will brin… https://t.co/gxG4oAEWRk"|en|R|1|4
1505977578166882313|15394954|Mon Mar 21 18:40:09 +0000 2022|Gunnery Sgt. James W. Speedy of Ohio was one of four Marines who were killed in a training accident over the weeken… https://t.co/JIsUXZrbuH|en|R|1|7
1505955280852602880|15394954|Mon Mar 21 17:11:32 +0000 2022|"""Defending freedom is going to cost."" - @POTUS 
If only this admin had prioritized North American energy instead of… https://t.co/3D82jSIrKR"|en|R|2|1
1505940951642091520|15394954|Mon Mar 21 16:14:36 +0000 2022|"Oil production in the Middle East could start to falter as the Houthis attack Saudi Arabia. 
 
Continuing to depend… https://t.co/Ku5HzqRPA3"|en|R|2|2
1505574846192828423|15394954|Sun Mar 20 15:59:50 +0000 2022|Please join me in wishing John Cheney a very happy 90th birthday! It was a privilege to present him with a Congress… https://t.co/UtucLdNTKK|en|R|1|7
1505217863480659971|15394954|Sat Mar 19 16:21:18 +0000 2022|What an amazing comeback for the @AthleticsOg boys basketball team. Keep fighting and bring home that state champio… https://t.co/C2cCDPdT7x|en|R|1|2
1505187082486099972|15394954|Sat Mar 19 14:19:00 +0000 2022|Another great #FishFryFriday last night with the Knights of Columbus at Saint Aloysius Church! https://t.co/STLrr9Cp8b|en|R|1|6
1505007841144410115|15394954|Sat Mar 19 02:26:45 +0000 2022|Marcia and I are heartbroken to learn of the passing of the Dean of the House, a staunch advocate for Alaska, and my friend - Don Young.|en|R|1|12
1504858227074342912|15394954|Fri Mar 18 16:32:14 +0000 2022|As @HouseCommerce works to improve the spectrum management process, we should be looking at how these decisions wil… https://t.co/VFl9e2Esgq|en|R|4|8
1504834471614464000|15394954|Fri Mar 18 14:57:51 +0000 2022|This Administration has made it clear from the very beginning that their priority was NOT North American energy pro… https://t.co/LPsSv998V8|en|R|35|84
1504517212115189769|15394954|Thu Mar 17 17:57:10 +0000 2022|Happy #SaintPatricksDay! Here in DC it’s great to see so many members of my team sporting their green. 🍀 https://t.co/KiFHutRPEn|en|R|3|13
1504450871882620931|15394954|Thu Mar 17 13:33:33 +0000 2022|Yesterday, the @CDCgov released new data on overdose deaths related to fentanyl &amp; other synthetic opioids. In a 12-… https://t.co/QN7STB28sl|en|R|4|6
1504115413516529667|15394954|Wed Mar 16 15:20:34 +0000 2022|LIVE: @HouseCommerce Communications &amp; Technology Subcmte is holding a hearing on 5G &amp; beyond. As the leading Republ… https://t.co/Bx70R3nH7k|en|R|3|4
1504111499496808448|15394954|Wed Mar 16 15:05:01 +0000 2022|President Zelensky is doing everything he can for his homeland and his people. This morning, he provided a powerful… https://t.co/rRqS6LQjMm|en|R|3|13
1503812022089048065|15394954|Tue Mar 15 19:15:00 +0000 2022|“It’s time to open up the People’s House; let the public back in.” I couldn't agree more, Whip @SteveScalise. Speak… https://t.co/olh5e9V0Le|en|R|21|88
1503798892629999622|15394954|Tue Mar 15 18:22:49 +0000 2022|The Biden Admin continues to attack the innocent unborn. I am and will always be pro-life. We must stand up for tho… https://t.co/oyCIRUQwuX|en|R|3|12
1503793648697282562|15394954|Tue Mar 15 18:01:59 +0000 2022|Marcia &amp; I are saddened to hear of the loss of journalists Brent Renaud &amp; Pierre Zakrzewski in Ukraine. We are pray… https://t.co/U2nWNIAS8Z|en|R|1|2
1503739608047177732|15394954|Tue Mar 15 14:27:15 +0000 2022|I commend the immense bravery &amp; courage of Marina Ovsyannikova, an editor who spoke out on live TV against the viol… https://t.co/4wLxqczQRn|en|R|1|5
1503547047860862977|15394954|Tue Mar 15 01:42:05 +0000 2022|It has been reported that the woman in this photo along with her baby did not survive. We need to continue to stand… https://t.co/LT6U3ZvwKr|en|R|2|7
1503472283481874434|15394954|Mon Mar 14 20:45:00 +0000 2022|"🚨Attention all #OH5 high school students🚨
 
The 2022 Congressional Art Competition is finally here, and my office i… https://t.co/3c52TLvfxK"|en|R|2|1
1503451512944607241|15394954|Mon Mar 14 19:22:28 +0000 2022|Last week, it was estimated that Americans would spend an extra $1300 on gas by the end of the year - it has alread… https://t.co/ArtDWTbPis|en|R|4|7
1503406696760287234|15394954|Mon Mar 14 16:24:23 +0000 2022|"Over the last year, we have watched as inflation has astronomically increased. 

Gasoline⬆️38%
Heating Bills⬆️54%
U… https://t.co/4WWuBDQPZx"|en|R|6|6
