id|user|created_at|text|lang|label|retweet_count|favorite_count
1507419165434400769|17976923|Fri Mar 25 18:08:30 +0000 2022|I continue to urge @POTUS to lift the oil and natural gas drilling moratorium on federal lands and waters, approve… https://t.co/T9Zaw8JVCp|en|R|11|39
1506763973567270915|17976923|Wed Mar 23 22:45:00 +0000 2022|We’ve been asking the @WhiteHouse for details on how it spent “COVID-19 funds” from the $2 trillion inflation packa… https://t.co/VDwMkhz87v|en|R|28|65
1505976882097016832|17976923|Mon Mar 21 18:37:23 +0000 2022|Today, on #WorldDownSyndromeDay, I am reminded of how grateful I am for the huge influence my son Cole has had on m… https://t.co/SGf157QZhZ|en|R|13|67
1505944828235898882|17976923|Mon Mar 21 16:30:00 +0000 2022|This is a MUST watch. Real stories of amazing people with Down syndrome. Their lives are worth living. To all the f… https://t.co/RvPeHnOjiT|en|R|10|28
1505219985727184900|17976923|Sat Mar 19 16:29:44 +0000 2022|We will all miss our friend, the dean of the House, Don Young. I called him, “Mr. Alaska!” He brought a lot of laug… https://t.co/Bz2zPnO1Gj|en|R|10|40
1504898197398904835|17976923|Fri Mar 18 19:11:04 +0000 2022|"With an all-the-above strategy, we can again say ‘yes’ to America’s global leadership and lower energy prices.

I c… https://t.co/mHw7tmslk7"|en|R|6|17
1504857665029095427|17976923|Fri Mar 18 16:30:00 +0000 2022|With no consensus in Congress whether ARPA-H is necessary or how it should be established, it was funded with $1 bi… https://t.co/b5rvdp42Et|en|R|8|10
1504850128171159559|17976923|Fri Mar 18 16:00:03 +0000 2022|"We saw the consequences of Europe’s over-reliance on Russia for energy.

We cannot rely on Chinese supply chains fo… https://t.co/fysJIeKOz1"|en|R|13|39
1504830935778443264|17976923|Fri Mar 18 14:43:48 +0000 2022|"America should be leading to restore our energy dominance and bolster our geopolitical power. 

We should be flippi… https://t.co/6zSDKdYzTx"|en|R|9|43
1504517923603329026|17976923|Thu Mar 17 18:00:00 +0000 2022|"The fentanyl surge is one of the greatest crises facing our nation. It’s heartbreaking.

For moms like Molly, we mu… https://t.co/2Xx9hn0QvB"|en|R|9|23
1504492804470448134|17976923|Thu Mar 17 16:20:11 +0000 2022|Finished my bracket just in time for the Zags to start their championship run tonight. It’s time to bring the NCAA… https://t.co/C5kJo989vD|en|R|3|40
1504174047785107461|17976923|Wed Mar 16 19:13:33 +0000 2022|We should be saying YES to American energy. Let's #FlipTheSwitch &amp; help lower gas prices for hardworking Americans.… https://t.co/BjKfEYSO6Q|en|R|33|117
1504106300174708745|17976923|Wed Mar 16 14:44:21 +0000 2022|"President @ZelenskyyUa gave a powerful appeal for stronger American leadership.

We can and should do more to help… https://t.co/1iQPITBV1n"|en|R|9|29
1503869016720429058|17976923|Tue Mar 15 23:01:28 +0000 2022|We’re investigating whether U.S. environmental groups have been influenced by Putin’s dark money to shut down Ameri… https://t.co/dllVi8wlwo|en|R|23|51
1503808248243236876|17976923|Tue Mar 15 19:00:00 +0000 2022|"$296. 💰 

That’s how much inflation is costing the average American family per MONTH! 

It’s unaffordable for famil… https://t.co/ybBgtQoZ08"|en|R|41|82
1503796923001618443|17976923|Tue Mar 15 18:15:00 +0000 2022|"We MUST unleash American energy.

It's how we shut down Putin’s war chest, stand by Ukraine, protect our national s… https://t.co/nuI1ytzEoq"|en|R|6|25
1503786856466374657|17976923|Tue Mar 15 17:35:00 +0000 2022|Holding Big Tech accountable is one of my top priorities – and it starts with legislation that removes Big Tech fro… https://t.co/PsfEZvK6Et|en|R|5|15
1502358696751415304|17976923|Fri Mar 11 19:00:00 +0000 2022|It’s been alleged that Vladimir Putin has used San Francisco-based Sea Change to funnel money into U.S.-based envir… https://t.co/3HWDSgm5VR|en|R|21|53
1502336047111417859|17976923|Fri Mar 11 17:30:00 +0000 2022|🚨 @SteveScalise, @Jim_Jordan, @RepJamesComer and I just sent a letter to @Surgeon_General Vivek Murthy demanding an… https://t.co/5kyChOGbVY|en|R|13|23
1502318430686482433|17976923|Fri Mar 11 16:20:00 +0000 2022|"One year ago, President Biden signed the Democrats’ nearly $2 trillion inflation bill into law.

Are the American p… https://t.co/X7pD5k3iQS"|en|R|6|17
1501951467111862275|17976923|Thu Mar 10 16:01:49 +0000 2022|Be sure to tune-in! 📺 https://t.co/Kfl83XmDl3|en|R|2|1
1501719085058564097|17976923|Thu Mar 10 00:38:25 +0000 2022|If Democrats were serious about countering Russia and lowering energy costs for Americans, they wouldn’t have block… https://t.co/Z42KWgp2D5|en|R|8|41
1501611270935560193|17976923|Wed Mar 09 17:30:00 +0000 2022|"Gas prices have increased every month under this administration.

Congress should immediately pass the American Ene… https://t.co/qCjKXysH4r"|en|R|7|22
1501600701390200832|17976923|Wed Mar 09 16:48:00 +0000 2022|"🚨 Democrats’ radical energy policies will cost the average American family an additional $1,300 this year.
  
That’… https://t.co/OvQA6jDN7D"|en|R|7|30
1501299884040859649|17976923|Tue Mar 08 20:52:39 +0000 2022|Energy security is national security. President Biden and his administration have worked to undermine American ener… https://t.co/eATtggPMQQ|en|R|66|158
1501271537709502467|17976923|Tue Mar 08 19:00:01 +0000 2022|We shouldn’t be giving Putin what he wants. When European countries dismantled their energy systems and curtailed f… https://t.co/m01pP6cdNa|en|R|11|21
1501248882973495297|17976923|Tue Mar 08 17:30:00 +0000 2022|Putin has been trying to undermine American and European oil and gas for decades – and the Left’s rush-to-green age… https://t.co/POEvTniDxG|en|R|8|15
1501236855186014209|17976923|Tue Mar 08 16:42:12 +0000 2022|Today @HouseCommerce should be having a hearing on American energy security and how we can aid our allies by produc… https://t.co/GihODc4pGs|en|R|10|34
1501231377295056901|17976923|Tue Mar 08 16:20:26 +0000 2022|"We need to #FlipTheSwitch on American energy and restore American energy dominance.

It’s our strongest tool agains… https://t.co/f81jqcWxV7"|en|R|12|32
1501221262575689737|17976923|Tue Mar 08 15:40:14 +0000 2022|"We should not be buying a single barrel of oil from Russia.

But let me be clear: Any import ban on Russian oil tha… https://t.co/iAeDX2eaRq"|en|R|16|68
1500984915009191939|17976923|Tue Mar 08 00:01:05 +0000 2022|Thank you to the airmen and women of @TeamFairchild for supporting freedom and democracy around the world. https://t.co/U6TxkmVnas|en|R|1|14
1500984644098932736|17976923|Tue Mar 08 00:00:00 +0000 2022|🚨 We’re calling on @POTUS and @SecGranholm to END Russian imports of crude oil and lower energy prices in America b… https://t.co/Evo2637lVg|en|R|8|23
1500184372560990210|17976923|Sat Mar 05 19:00:01 +0000 2022|The surging inflation we’re experiencing under the Biden administration is unsustainable for Americans to get by an… https://t.co/K5k7HHZ3J4|en|R|19|84
1499844631348973571|17976923|Fri Mar 04 20:30:00 +0000 2022|American energy dominance is how we crush Putin’s war chest, stand by Ukraine and our allies, and create jobs here… https://t.co/Z5lPwfLQr3|en|R|11|51
1499825755697594372|17976923|Fri Mar 04 19:15:00 +0000 2022|"I joined the @HughHewittShow to share my thoughts on President Biden's State of the Union.

It was a wish list of e… https://t.co/JQvVuc0tM3"|en|R|5|17
1499459600130707470|17976923|Thu Mar 03 19:00:01 +0000 2022|For months, @HouseCommerce has asked for complete details on how the administration spent funds from the Democrats’… https://t.co/ZuyWkECiXp|en|R|2|17
1499452045945761792|17976923|Thu Mar 03 18:30:00 +0000 2022|Spending $22.5 billion more without proper oversight or a plan to end the public health emergency is not how we giv… https://t.co/RY4qVZgNPO|en|R|8|28
1499138728874233857|17976923|Wed Mar 02 21:45:00 +0000 2022|"To repair its broken credibility, the @CDCgov needs to be fully transparent.

I continue to urge @POTUS and… https://t.co/bt8hBUXF6x"|en|R|8|36
1499122370841251842|17976923|Wed Mar 02 20:40:00 +0000 2022|"I had hoped the President would make restoring U.S. energy dominance his top priority last night.

American energy… https://t.co/EKcZXOkZGT"|en|R|7|27
1499112308135673858|17976923|Wed Mar 02 20:00:01 +0000 2022|Lockdowns, social distancing, and masking were almost exclusively emphasized by the @CDCgov, while concerns about t… https://t.co/Q90aM0ypeL|en|R|23|91
1498856148342124544|17976923|Wed Mar 02 03:02:07 +0000 2022|I’m disheartened that Democrats in Congress are embracing this extreme and discriminatory pro-abortion agenda. More… https://t.co/OLAE8aEEId|en|R|3|16
1498855863280451589|17976923|Wed Mar 02 03:00:59 +0000 2022|The Left’s abortion agenda, the Abortion on Demand Until Birth Act, is not the will of the American people. It’s ex… https://t.co/taMIze01Kn|en|R|8|24
1498853348262301700|17976923|Wed Mar 02 02:51:00 +0000 2022|"Parents across this country still deserve answers. 

School closures, forced masking, lockdowns, and social isolati… https://t.co/JFVOghTGI9"|en|R|20|77
1498852718533910530|17976923|Wed Mar 02 02:48:30 +0000 2022|Almost a month ago, we called on President Biden to provide his plan to unwind his public health emergency powers a… https://t.co/TdGvQ49Cp8|en|R|5|17
1498850407635988480|17976923|Wed Mar 02 02:39:19 +0000 2022|"President Biden’s price control scheme crushes innovation and will lead to #FewerCures.

To ensure America leads in… https://t.co/tjIEbl9nx5"|en|R|3|9
1498850200303149057|17976923|Wed Mar 02 02:38:29 +0000 2022|"If we want to end cancer as we know it today, one fewer treatment or cure is one too many.

That’s why @POTUS's pla… https://t.co/IHEPLJtRYg"|en|R|6|13
1498849321759895560|17976923|Wed Mar 02 02:35:00 +0000 2022|"Under President Trump, our economy was booming. 

We need to replicate that success by easing regulatory burdens, s… https://t.co/4gwrCEBYAi"|en|R|7|32
1498848315114356740|17976923|Wed Mar 02 02:31:00 +0000 2022|If President Biden and the Democrats truly wanted to make America more competitive and beat China, they would aband… https://t.co/ICnZdiUtHs|en|R|5|14
1498847819297349635|17976923|Wed Mar 02 02:29:02 +0000 2022|Every plan we’ve seen from the Biden administration and Democrats tries to copy China’s own dangerous path of centr… https://t.co/K9K9CVtIg9|en|R|16|41
1498845295253336073|17976923|Wed Mar 02 02:19:00 +0000 2022|To #FlipTheSwitch on American energy and bolster our energy security, the House must take action on the American En… https://t.co/lH1SGLhAkx|en|R|3|12
1498843556697542656|17976923|Wed Mar 02 02:12:05 +0000 2022|Freedom must prevail in Ukraine. 🇺🇦|en|R|6|47
1498839944596447232|17976923|Wed Mar 02 01:57:44 +0000 2022|"For a strong state of the union, I urge @POTUS to make restoring U.S. energy dominance his top priority. 

For Amer… https://t.co/zVylFtwURa"|en|R|12|36
1498734313969496072|17976923|Tue Mar 01 18:58:00 +0000 2022|"Our allies shouldn’t be beholden to aggressors that attack their freedom.

Europe should have the choice to buy Ame… https://t.co/Cnm9doZBml"|en|R|6|10
1498733144366895105|17976923|Tue Mar 01 18:53:21 +0000 2022|"Democracy is under attack. Freedom must prevail in Ukraine.

To shut down Putin’s war chest, empower our allies, an… https://t.co/1FSMljuGFG"|en|R|57|179
1498722234331910146|17976923|Tue Mar 01 18:10:00 +0000 2022|"America, not Russia, is the world’s number one energy producer. We should act like it.

@POTUS, restore American energy dominance."|en|R|60|318
1498716043967143942|17976923|Tue Mar 01 17:45:24 +0000 2022|"Russia’s energy exports fund its military and its attack on Ukraine.

The United States shouldn’t be reliant on a s… https://t.co/CnJd3KYnUx"|en|R|18|47
1498449234827390977|17976923|Tue Mar 01 00:05:12 +0000 2022|"🚨 @RepWesterman and I just introduced the “American Energy Independence from Russia Act.”

It requires @POTUS to un… https://t.co/xsK4JASZhg"|en|R|47|190
1498402632972521483|17976923|Mon Feb 28 21:00:01 +0000 2022|America should be leading as the world’s dominant energy producer and promoting technologies that provide for the d… https://t.co/slh5DtFTSQ|en|R|10|40
1498386270455664641|17976923|Mon Feb 28 19:55:00 +0000 2022|"President Putin and Russia’s economy are entirely dependent upon revenues from energy exports.
 
It’s funding Putin… https://t.co/lPZFO9Jma0"|en|R|7|30
1498377595238457350|17976923|Mon Feb 28 19:20:31 +0000 2022|Unleashing American energy production is our most powerful weapon against Putin.|en|R|87|304
1498026485327839233|17976923|Sun Feb 27 20:05:20 +0000 2022|The Internet is critical for the future of democracy. Reliable access has been a lifeline for Ukrainians, allowing… https://t.co/ediIVDcuOL|en|R|15|46
1497243257067216903|17976923|Fri Feb 25 16:13:04 +0000 2022|Stop bullying our children, @GovInslee. https://t.co/KLDXqc4VrC|en|R|22|83
