id|user|created_at|text|lang|label|retweet_count|favorite_count
1507059966431178761|14984637|Thu Mar 24 18:21:10 +0000 2022|"Let's set the record straight:
 
1️⃣ Oil CEOs are making record profits while you struggle to fill your tank.
2️⃣ O… https://t.co/PTHXS2Luji"|en|D|22|38
1507057814388236293|14984637|Thu Mar 24 18:12:37 +0000 2022|"More than three million refugees have already fled their homes in Ukraine.

I signed this letter because the respon… https://t.co/bpf9mVBaKO"|en|D|16|48
1506978837246234629|14984637|Thu Mar 24 12:58:47 +0000 2022|My visit to border posts in Poland, Romania and Moldova made clear that  the U.S. must share the burden of helping… https://t.co/EaAnVrnynL|en|D|3|11
1506788501957795845|14984637|Thu Mar 24 00:22:28 +0000 2022|"Today in radical anti-women's health news. 

We must urgently get the Women's Health Protection Act to the Presiden… https://t.co/vKC40okjro"|en|D|3|8
1506730344757792784|14984637|Wed Mar 23 20:31:22 +0000 2022|📍Our bipartisan congressional delegation was the first to visit Moldova since the war in neighboring Ukraine 🇺🇦 beg… https://t.co/OvGHP10tiB|en|D|9|19
1506649188561522689|14984637|Wed Mar 23 15:08:53 +0000 2022|"All roads lead back to Maine. 

I just connected with Waterville-based photojournalist @MGSphotojournal who is docu… https://t.co/VEDCiVlXUs"|en|D|15|56
1506640444012347402|14984637|Wed Mar 23 14:34:08 +0000 2022|"Oil prices dropped 30% in a week so why aren’t Americans seeing relief at the pump?

GREED.

That's why I am cospon… https://t.co/Vh4az1mI3y"|en|D|47|170
1506632741747671040|14984637|Wed Mar 23 14:03:32 +0000 2022|Resilience. https://t.co/SC9xXaMTKF|en|D|4|8
1506606643907383299|14984637|Wed Mar 23 12:19:49 +0000 2022|Daily reminder ⤵️ https://t.co/zbvkwiQWKN|en|D|33|56
1506605922684182534|14984637|Wed Mar 23 12:16:58 +0000 2022|Happy 12th Birthday 🎂 to the lifesaving Affordable Care Act, which guaranteed that Americans with a pre-existing co… https://t.co/ytS21TQY6s|en|D|5|44
1506356440503574528|14984637|Tue Mar 22 19:45:36 +0000 2022|"📍 Today our congressional delegation reached the Ukraine 🇺🇦 border 

Here’s what we saw 🧵 https://t.co/LG4aWolh7e"|en|D|18|91
1506281924502994945|14984637|Tue Mar 22 14:49:30 +0000 2022|I had the opportunity to meet for over an hour with the Prime Minister of Romania about the ongoing humanitarian cr… https://t.co/TrIQ0JqxLn|en|D|2|13
1505936322275561480|14984637|Mon Mar 21 15:56:12 +0000 2022|History in progress ⤵️ https://t.co/rT4RMHVu0r|en|D|2|6
1505920307646902278|14984637|Mon Mar 21 14:52:34 +0000 2022|Truckers in Poland #standwithUkraine 🇺🇦 https://t.co/zFrPPPbAqC|en|D|4|37
1505691221062266887|14984637|Sun Mar 20 23:42:16 +0000 2022|President Zelenskyy and the Ukrainian people have shown they have a strong + capable government. The United States'… https://t.co/URcwmKblMn|en|D|5|19
1505679078157950979|14984637|Sun Mar 20 22:54:01 +0000 2022|SOON: @RepStephenLynch and I will be live on @CNN in a few minutes to talk with @donlemon about the Ukrainian human… https://t.co/ab0paLhfR9|en|D|5|13
1505619756140924932|14984637|Sun Mar 20 18:58:17 +0000 2022|Every day I’m proud to be a Mainer, and it’s because of people like Christian Hayes. He dropped everything and quic… https://t.co/5qb96n0IOv|en|D|8|45
1505582529612558341|14984637|Sun Mar 20 16:30:22 +0000 2022|The impacts of Russia’s destruction in Ukraine are far reaching. The lives of millions of families—and their pets—h… https://t.co/dPSnrMn6F1|en|D|4|19
1505562043302227979|14984637|Sun Mar 20 15:08:57 +0000 2022|A true example of Ukraine’s resilience and spirit: This man taking a moment while at a refugee processing center to… https://t.co/LCZf8wW2ft|en|D|32|142
1505550263322558464|14984637|Sun Mar 20 14:22:09 +0000 2022|"I just got a chance to meet some Mainers of the 82nd Airborne. 

They’re doing brave work here in Eastern Europe to… https://t.co/9hNtB41gWw"|en|D|7|33
1505498102941294593|14984637|Sun Mar 20 10:54:53 +0000 2022|Climate action can’t wait https://t.co/1Srw5o5ULa|en|D|28|96
1505251226384056326|14984637|Sat Mar 19 18:33:53 +0000 2022|I’m with a bipartisan group of Reps. in Poland to see what’s being done and what more Congress can do to support ou… https://t.co/bygxUDELhL|en|D|11|58
1505176490157170691|14984637|Sat Mar 19 13:36:54 +0000 2022|ICYMI: This week I joined @mainecalling to talk about how my Hemp Advancement Act takes a commonsense, straightforw… https://t.co/Nvr7Ek0X8Z|en|D|2|7
1505161978280648708|14984637|Sat Mar 19 12:39:14 +0000 2022|"As rural states, Maine and Alaska share many similarities so I was fortunate to work a lot with @repdonyoung. 

Don… https://t.co/XGgttWCb3r"|en|D|2|9
1504862833531576323|14984637|Fri Mar 18 16:50:33 +0000 2022|Right now, gas is more than $4/gallon in Maine. People are angry and frustrated—and they should be. But more drilli… https://t.co/SLZiHwaSOQ|en|D|10|43
1504563149722247172|14984637|Thu Mar 17 20:59:42 +0000 2022|Lá fhéile Pádraig sona dhaoibh! #HappyStPatricksDay ☘️ 🇮🇪 🌈 https://t.co/Ho8kdlQal2|cy|D|1|21
1504517928426737664|14984637|Thu Mar 17 18:00:01 +0000 2022|"I championed the amendment to provide this funding and am thrilled to see it become law. 

In the wealthiest nation… https://t.co/62292LoerL"|en|D|2|8
1504477001549168651|14984637|Thu Mar 17 15:17:23 +0000 2022|BIG NEWS: $1 million I secured as a member of @appropsdems will put Maine closer to achieving the climate goals out… https://t.co/sv02AaxiiM|en|D|3|12
1504463780075483140|14984637|Thu Mar 17 14:24:51 +0000 2022|"We must do everything we can to minimize the impact Russia’s aggression in Europe is having on energy costs.
 
That… https://t.co/GzA6uJP9FF"|en|D|3|13
1504214566317993984|14984637|Wed Mar 16 21:54:34 +0000 2022|"Chag Purim sameach! 

I wish everyone celebrating in Maine and across the country a wonderful #Purim. https://t.co/TaZ3QqrXfg"|en|D|1|15
1504213003754946563|14984637|Wed Mar 16 21:48:21 +0000 2022|".@POTUS quickly answered @ZelenskyyUa’s urgent plea to Congress today. 

With this new pledge, the $13.6 billion in… https://t.co/1GfjmLWLeG"|en|D|4|26
1504138225300000771|14984637|Wed Mar 16 16:51:13 +0000 2022|For more than a century, Americans have been subject to an outdated ritual that requires us to change our clocks tw… https://t.co/IHhihkSHl5|en|D|1|20
1504130346144706575|14984637|Wed Mar 16 16:19:54 +0000 2022|I just saw up close how the $1.7 Million in federal funds I secured as @appropsdems Interior Chair will aid the res… https://t.co/kK4npSM7XV|en|D|18|36
1504112898402045954|14984637|Wed Mar 16 15:10:34 +0000 2022|"HAPPENING NOW: I am on @MaineCalling talking about my Hemp Advancement Act📻 #mepolitics 

Tune in here ➡️… https://t.co/wQqQNYuO0F"|en|D|4|11
1504107527860101135|14984637|Wed Mar 16 14:49:14 +0000 2022|I couldn't agree more! That's why I am cosponsoring Rep. @GerryConnolly's Green Postal Service Fleet Act of 2022 to… https://t.co/Y8uqKNCZWV|en|D|6|15
1504104033421832198|14984637|Wed Mar 16 14:35:21 +0000 2022|🚨Very good news! I pushed the Biden admin to make this important change last August. https://t.co/v5H0AlYY6n|en|D|6|25
1504091388996112388|14984637|Wed Mar 16 13:45:06 +0000 2022|President Zelensky’s commitment to his people is an inspiration to the world. We heard from a true a hero today. Ou… https://t.co/WMsduW6FeU|en|D|5|24
1504074506549317635|14984637|Wed Mar 16 12:38:01 +0000 2022|"Asylum seekers want to work. They want to be independent and prosper in their new communities. 

Businesses need em… https://t.co/DJSKCEME4C"|en|D|6|25
1503794297744801805|14984637|Tue Mar 15 18:04:34 +0000 2022|"Dear @USDA,
 
Maine farmers are facing extreme hardship because of contamination from forever chemicals. We’re urgi… https://t.co/8W5cF66jMJ"|en|D|11|60
1503738149243084801|14984637|Tue Mar 15 14:21:27 +0000 2022|Nothin' finah than Becky's Dinah with @IcelandInUS's trade commissioner Nikulás Hannigan! 🇺🇸🇮🇸🦞 https://t.co/LROBofNZLo|en|D|6|87
