id|user|created_at|text|lang|label|retweet_count|favorite_count
1507195685774532610|756285384|Fri Mar 25 03:20:28 +0000 2022|BigTech and retired US Spies coordinated to coverup the corrupt evidence revealed in Hunter’s laptop from Hell to s… https://t.co/hTED0aqc8U|en|R|66|147
1507057479825465359|756285384|Thu Mar 24 18:11:17 +0000 2022|If only Joe Biden defended the USA as fiercely as the media defends Hunter Biden, the world would truly be a better place.|en|R|64|373
1506988856910000136|756285384|Thu Mar 24 13:38:36 +0000 2022|XX for life! https://t.co/EfwoU8gqEX|en|R|2|35
1506987885207207946|756285384|Thu Mar 24 13:34:44 +0000 2022|The Democrats also attacking Kavanaugh for liking beer. https://t.co/NIN3ze0GnI|en|R|12|65
1506789026556256259|756285384|Thu Mar 24 00:24:33 +0000 2022|"America cannot afford to lower our military standards. 

The world is in chaos and we need the strongest, most high… https://t.co/n8myfe2pSe"|en|R|115|326
1506367152403763203|756285384|Tue Mar 22 20:28:10 +0000 2022|"When I was in school, we didn’t have Title IX to empower woman athletes. 

It is wrong that Title IX is now being u… https://t.co/1f3M3CXQkn"|en|R|73|344
1506035463873835015|756285384|Mon Mar 21 22:30:10 +0000 2022|Still curious why it took the @nytimes so many months to assert that the laptop from hell is real. Maybe, in light… https://t.co/oqkN3wLPDX|en|R|35|122
1505752731058855938|756285384|Mon Mar 21 03:46:41 +0000 2022|All noble and good work. Now you are saving America, one voter at a time. Bravo! https://t.co/FlNlxPEogr|en|R|35|385
1505750904024219651|756285384|Mon Mar 21 03:39:25 +0000 2022|I agree!  Former Intelligence Director Calls For Investigation Of Officials Who Falsely Claimed Hunter Biden Laptop… https://t.co/vt0i3JGq2K|en|R|157|614
1505725700376039424|756285384|Mon Mar 21 01:59:16 +0000 2022|This is the greatest event on social media! https://t.co/EBwMWMZXZC|en|R|6|33
1505665862526775299|756285384|Sun Mar 20 22:01:30 +0000 2022|Please support @Lily4Liberty for Congress! Her amazing life story is inspiring! https://t.co/kS46wskyFN|en|R|14|62
1505626556718362624|756285384|Sun Mar 20 19:25:18 +0000 2022|"Fauci is back in action on the Sunday shows.

""New variants of COVID could cause America to reinstitute some restri… https://t.co/JySS2yD7PU"|en|R|113|705
1505558656263274500|756285384|Sun Mar 20 14:55:30 +0000 2022|Criminal money laundering &amp; tax evasion thru Hunter to Joe potentially revealed in Hunter’s now verified laptop fro… https://t.co/6avb5188ER|en|R|55|165
1505398966787137537|756285384|Sun Mar 20 04:20:57 +0000 2022|Overused playbook of leveraging votes. https://t.co/xBF1hnX3X4|en|R|25|97
1505256194881036301|756285384|Sat Mar 19 18:53:37 +0000 2022|This is the letter the former CIA Russia Collusion pushers actually wrote last year about Hunter’s laptop. Now they… https://t.co/FCJPJxzMHz|en|R|25|87
1505223417901076483|756285384|Sat Mar 19 16:43:23 +0000 2022|Look at the names exposed on this list from the allegedly non partisan intelligence operatives. https://t.co/R0lPA6PCVv|en|R|163|346
1505000236229476354|756285384|Sat Mar 19 01:56:32 +0000 2022|So sad. My deepest condolences to to his family on the loss of a great man. https://t.co/OOmIZEHvtd|en|R|15|69
