id|user|created_at|text|lang|label|retweet_count|favorite_count
1520029505867464704|24195214|Fri Apr 29 13:17:29 +0000 2022|"Since Putin launched his brutal war against Ukraine,  @POTUS &amp; Congress have moved with historic speed to deliver over $13.6 billion in support for Ukraine.
This week, Congress furthered this support by sending S. 3522 to the President’s desk for his signature."|en|D|2|8
1519766933683453959|24195214|Thu Apr 28 19:54:07 +0000 2022|STARTING NOW: I’m joining my colleagues @RepJayapal @RepChuyGarcia @RepEscobar and @RepPressley to say we must #EndTitle42 https://t.co/oaR12j9Dy1|en|D|16|45
1519759902926852096|24195214|Thu Apr 28 19:26:11 +0000 2022|I am joining @USDOL, @SecMartyWalsh, @FMCSA and @DemWomenCaucus to raise awareness about sexual harassment in the trucking industry. All women should be able to work in trucking if they want to, without fear of sexual harassment and sexual assault. #EndSexualViolenceInTrucking|en|D|5|6
1519759853975183363|24195214|Thu Apr 28 19:25:59 +0000 2022|Female truckers make up just 7% of the workforce. More than 90% of them have reported at least one incident of sexual harassment in their careers. The United States MUST work to ensure a safe and inclusive industry for women who want to become drivers. https://t.co/fhEuJApWSQ|en|D|6|11
1519752214050390016|24195214|Thu Apr 28 18:55:38 +0000 2022|Abortion has essentially been banned in Texas for 8 months. Now Oklahoma has passed similar bounty hunter legislation. States are stripping away women’s bodily autonomy until there is nothing left. We NEED the Women's Health Protection Act NOW. #PassWHPA https://t.co/ijMW1AlQu4|en|D|7|19
1519751787216924679|24195214|Thu Apr 28 18:53:56 +0000 2022|The trucking industry has the potential to offer drivers a fulfilling career with good pay and benefits. However, the prevalence of sexual assault and sexual harassment prevents too many women from joining and staying in the industry. Trucking leaders must to commit to solutions. https://t.co/h1m4rUP3j8|en|D|6|6
1519730607416397824|24195214|Thu Apr 28 17:29:46 +0000 2022|For years, Medicare Advantage plans have been denying coverage for needed MRIs and rehabilitation care for seniors, all while private insurers rake in the cash. https://t.co/SBNtXr9iVX https://t.co/SRilLfOeBD|en|D|44|68
1519442412942336000|24195214|Wed Apr 27 22:24:35 +0000 2022|Today the @HouseBudgetDems had a hearing on the @DeptofDefense FY23 budget requests. I asked about a recent report that highlights the gouging of the Defense Department by vendors, costing taxpayers upwards of 3000% of the cost to make an item. https://t.co/6RUN2Lh8pO|en|D|3|9
1519384303058173953|24195214|Wed Apr 27 18:33:41 +0000 2022|Supreme Court justices should be bound by the same code of ethics that all other federal judges are required to follow. Proud to support @RepHankJohnson @RepMondaire @RepJerryNadler in their quest to require #SCOTUS follow a code of ethics. #ScotusEthicsAct https://t.co/sig0DrS9R2|en|D|3|6
1519090280791687179|24195214|Tue Apr 26 23:05:20 +0000 2022|I was very pleased to be able to participate in the Community Iftar in Skokie last week, hosted by Skokie School Board Member Bushra Amiwala &amp; Lincolnwood Trustee Mohammed Saleem. It was such a beautiful event. https://t.co/SmcSJFFbSX|en|D|3|17
1519087120958345222|24195214|Tue Apr 26 22:52:47 +0000 2022|Last week, I was able to join my constituents in Skokie for a vigil for Ukraine. Several refugees were present including Olha Tsvyntarna, a very talented singer who sang at the event. https://t.co/lwjCCjW4l4|en|D|3|23
1519072596041555971|24195214|Tue Apr 26 21:55:04 +0000 2022|Unraveling Title X is the latest attempt to disenfranchise vulnerable Americans from high-quality reproductive care, including pap smears and STD screenings. I will always fight for women’s health, and I urge my Senate colleagues to #KeepTitleX to protect millions of Americans|en|D|2|14
1519072528056176642|24195214|Tue Apr 26 21:54:48 +0000 2022|The Biden Administration's change to Title X restored family planning services for millions of Americans after years of neglect by the former administration. Now, the Senate may vote to deprive the most vulnerable of essential health services.|en|D|4|17
1519007097945530369|24195214|Tue Apr 26 17:34:48 +0000 2022|Keep em' coming https://t.co/9s2jqgumpz|en|D|80|617
1519001000467701762|24195214|Tue Apr 26 17:10:34 +0000 2022|Do you mean the 35-year-old judge who had never tried a case in her life, rated “Not Qualified” by the American Bar Association, and that you voted to confirm? She disregarded decades of public health law precedent to change a policy to conform to her and your political will. https://t.co/k97EipaJhT|en|D|16|59
1518994876410605568|24195214|Tue Apr 26 16:46:14 +0000 2022|On #LesbianDayofVisibility we recognize the brave women who live out and proud. The Chicagoland area's rich history gives so many women to celebrate today, from Jane Addams to Vernita Gray, Maria Hadden to Kelly Cassidy, from Mary Morten to Lori Lightfoot, and so many, many more. https://t.co/hulMKtAMac|en|D|9|18
1518344217881423874|24195214|Sun Apr 24 21:40:45 +0000 2022|Today I join the Armenian American community in mourning and remembering the 1.5 million lives stolen during the #ArmenianGenocide. We must recommit ourselves to standing against hate and violence wherever it occurs|en|D|4|37
1518277187379634183|24195214|Sun Apr 24 17:14:24 +0000 2022|Happy Birthday to the @librarycongress! https://t.co/42LxrXDIlA|en|D|2|5
1517590247256866824|24195214|Fri Apr 22 19:44:45 +0000 2022|#UnionStrong https://t.co/eRUveMNO1b|und|D|4|14
1517589321724968964|24195214|Fri Apr 22 19:41:04 +0000 2022|Volunteers serve in our communities in every capacity - providing food, hospice support, companionship, and other services with a smile. Today, and every day - thank you to all of the amazing volunteers in the Chicagoland area! #NVW|en|D|3|5
1517577225184452608|24195214|Fri Apr 22 18:53:00 +0000 2022|As a Member of Congress, I’ve had the unique privilege of traveling the globe, truly taking in the beauty of it all. From the scenic lakefront here in the 9th District, all the way to the beautiful hillsides of Africa. We must do all we can to protect this planet 🌎 #EarthDay22 https://t.co/e0V8JhNxfq|en|D|4|8
1517549603486375937|24195214|Fri Apr 22 17:03:14 +0000 2022|This week we marked 23 years since the shooting at Columbine High School where 13 lives were cut short, 21 more were injured, and a nation was rocked. Since then, more than 292 thousand students have faced gun violence at school. It is past time to act. We need #GunSafetyNow!|en|D|2|20
1517151100826136580|24195214|Thu Apr 21 14:39:44 +0000 2022|Medicare Advantage allows insurers to charge higher out of pocket costs than traditional Medicare, leading to record high profits. This is outrageous! I’m calling on @CMSGov to reconsider allocating additional funds to these insurers. Our Medicare beneficiaries deserve better. https://t.co/tmiOopVPYM|en|D|60|114
1516844761965076481|24195214|Wed Apr 20 18:22:27 +0000 2022|"For decades, failed federal drug policies have devastated communities of color and held too many back from the benefits of the legal cannabis marketplace. That’s why I voted for the MORE Act.
 #WeNeedMORE #420day"|en|D|8|18
1516844217666048003|24195214|Wed Apr 20 18:20:17 +0000 2022|"MI State Senator Mallory McMorrow’s amazing speech is a must see for all of us fighting against hate.

She said “Hate wins when people like me stand by and let it happen. I won't.”

And I won’t either, Senator. https://t.co/DWi3MaHWxY"|en|D|10|36
1516843081160667139|24195214|Wed Apr 20 18:15:46 +0000 2022|BP’s #DeepwaterHorizon disaster caused catastrophic impacts. Today millions are struggling while Big Oil rakes in billions. It’s #TimeToTransition to a clean energy economy &amp; end our dependence on fossil fuels. #ProtectOurCoast &amp; end new offshore drilling. https://t.co/Z5rdYbTuWQ|en|D|2|3
1516792192542642179|24195214|Wed Apr 20 14:53:33 +0000 2022|"So pleased that I can share with you this great conversation I had at the @WinnetkaCongreg in my district, about our environment, #EnvironmentalJustice and the #ClimateEmergency we are in now.

https://t.co/HkBVciZ92r"|en|D|1|4
1516776451248373775|24195214|Wed Apr 20 13:51:00 +0000 2022|Thanks to @POTUS and @SecCardona, as many as 3.6 million Americans will now be closer to debt forgiveness and 40,000 borrowers will see immediate debt relief. https://t.co/WLhED7sSOk|en|D|12|17
1516478926557691907|24195214|Tue Apr 19 18:08:45 +0000 2022|"It is critical that Congress and the Biden Administration invest in the potential of wind energy:
📈Over the past two decades U.S. wind power capacity has grown by 15% per year
🔋Wind energy became the largest renewable energy resource in the U.S. 
https://t.co/0stzeRaDmi"|en|D|3|13
1516478700614791179|24195214|Tue Apr 19 18:07:51 +0000 2022|"Wind power is cost-effective &amp; a more stable alternative to fossil fuels. Greater adoption of wind energy:
📉Decreases reliance on expensive fossil fuels
📉Reduce U.S. energy vulnerabilities, which have been underscored by Russia’s invasion of Ukraine
https://t.co/0stzeRaDmi"|en|D|5|7
1516478429956296710|24195214|Tue Apr 19 18:06:47 +0000 2022|"Wind power is the largest source of renewable electricity in the US. For #EarthDay, a new @JECDems report shows how investing in wind energy would:
🔋Promote independence from fossil fuels
👷‍Create jobs
💸Help avert economic costs from climate change
https://t.co/0stzeRaDmi"|en|D|9|11
1516452067698790407|24195214|Tue Apr 19 16:22:01 +0000 2022|"If we want to make #FairHousing a reality, we must make long overdue investments in fair and affordable housing infrastructure, as outlined in #BBB. 
Fair 🏠 = racial equity
Fair 🏠 = health equity
Fair 🏠 = environmental justice
Fair 🏠 = opportunity for all

#FairHousingMonth https://t.co/nqkmUQ6xH4"|en|D|7|11
1516451508530909184|24195214|Tue Apr 19 16:19:48 +0000 2022|In April 1968, President Johnson signed the #FairHousingAct into law to prohibit housing discrimination. This #FairHousingMonth, #Democrats remember how far we’ve come and commit to the work ahead to ensure equality in housing for all. https://t.co/O8IirrzeqC|en|D|4|6
1516451175348027392|24195214|Tue Apr 19 16:18:29 +0000 2022|"April is #FairHousingMonth! The federal #FairHousingAct prohibits housing discrimination, including setting different terms and conditions for housing opportunities based on:
✊🏿race
👧🏾👩🏿‍🦱color
♀️sex
national origin
👩‍👦familial status
👩🏽‍🦽disability
🕍religion
#KnowYourRights"|en|D|5|10
1516131196282937344|24195214|Mon Apr 18 19:07:00 +0000 2022|The #ChildTaxCredit was expanded by the American Rescue Plan for one year. In that year, we saw children lifted out of poverty and families being able to afford basics like nutritious food, child care, and more. On this #TaxDay, I join my colleagues in calling to renew it ASAP.|en|D|18|56
1516115090642071552|24195214|Mon Apr 18 18:03:00 +0000 2022|It’s time to make our tax code reward work, not wealth. Teachers and firefighters in Illinois and around the country pay their fair share and so should billionaires. On this #TaxDay, working families shouldn't be the only ones paying their taxes. #TaxBillionaires|en|D|18|47
1516031291006894086|24195214|Mon Apr 18 12:30:00 +0000 2022|Today is #TaxDay - so make sure you have your returns filed or request an extension by today. Resources, including #FreeFile and #ChildTaxCredit information, are available at https://t.co/2CPYe5yE4I.|en|D|6|10
1515718697473744898|24195214|Sun Apr 17 15:47:52 +0000 2022|"Easter is a wonderful time to share gratitude and spread joy.
 
Happy Easter to all who celebrate! https://t.co/XCTdlTP5tK"|en|D|3|6
1515450626033000457|24195214|Sat Apr 16 22:02:39 +0000 2022|About to record Plans &amp; Pans- and Ellie and Frankie are getting ready to listen and critique. #Saturday https://t.co/oY29g2a30N|en|D|4|10
1515434126370877442|24195214|Sat Apr 16 20:57:05 +0000 2022|Celebrating the start of Earth Week with volunteers removing invasive trees and planting good ones. With me are Evanston Mayor Daniel Biss and Water Reclamation District Commissioners Cam Davis and Josina Morita. #EarthWeek #EarthDay https://t.co/AcNrNTad6Y|en|D|5|14
1515009711887761410|24195214|Fri Apr 15 16:50:37 +0000 2022|We passed the ACA to ensure everyone - regardless of pre-existing conditions - could access health care. Junk plans continue to discriminate, all while leaving consumers without adequate coverage when they need it the most. https://t.co/q7Iv96oSjB|en|D|5|13
1514982468713160704|24195214|Fri Apr 15 15:02:22 +0000 2022|"Chag Sameach and happy #Passover to those who are celebrating all over the world!

I was pleased to participate in @MazonUSA virtual video reflection and answer the 5th Question. https://t.co/D2pbq2T5xj"|en|D|4|9
1514751542892584966|24195214|Thu Apr 14 23:44:45 +0000 2022|Deadline extended until next week. Google form must be filled out by Noon on Monday, April 18th. Physical artwork must be dropped off at either my Glenview or Chicago office by COB Tuesday, April 19th. https://t.co/PqgefEiYrD|en|D|3|3
1514703962594848769|24195214|Thu Apr 14 20:35:41 +0000 2022|"If a product is labeled as ""Made in the USA"" it should be made here. This week, the FTC took its first action under its new rule on Made in USA Labeling. The FTC is fighting to end deceptive business practices and protect American consumers. https://t.co/Z67Bkx0zUa"|en|D|3|11
1514661438010400774|24195214|Thu Apr 14 17:46:42 +0000 2022|Another day, another disgusting political stunt. This sweeping abortion ban makes no exceptions for incest, rape or human trafficking. Women are not going back, and we will fight these actions in state after state to protect women’s health. #woman #AbortionIsHealthcare https://t.co/bdJQNXTOT3|en|D|18|37
1514005835441082374|24195214|Tue Apr 12 22:21:34 +0000 2022|This #BlackMaternalHealth Week, I join with my colleagues in standing up for Black women who face high rates of maternal mortality here in the U.S. In Illinois, Black women are 6 times more likely to die from pregnancy and birth-related complications. #BMHW22 https://t.co/CZrNvGlSTR|en|D|3|8
1513963350803324942|24195214|Tue Apr 12 19:32:45 +0000 2022|REMINDER - Deadline for student entries in the Congressional Art Competition, ARTISTIC DISCOVERY, is this Thursday, April 14th at 5pm. MORE INFO - &gt; https://t.co/JoGKwdTwZZ https://t.co/ydBv7NmBhF|en|D|0|0
