id|user|created_at|text|lang|label|retweet_count|favorite_count
1520134575627845634|18909919|Fri Apr 29 20:15:00 +0000 2022|"For too many years, the world denied the tragedy of the Armenian Genocide.  

Yesterday, I took to the floor of the U.S. House of Representatives to honor the 1.5 million Armenians murdered in cold blood.  

We must never allow a tragedy like it to ever happen again. https://t.co/gTiArcRi5W"|en|D|3|4
1520124509793173506|18909919|Fri Apr 29 19:35:00 +0000 2022|"Countering Russian interference must be a top priority as we move into election season.  

Our democracy relies on the integrity of our elections -- and the American people’s trust in that integrity. We must not be caught unprepared. 

https://t.co/MligpTJWQ6"|en|D|1|1
1520097833789046784|18909919|Fri Apr 29 17:49:00 +0000 2022|"So long as Putin continues to wage his unjust war, the United States  will stand with Ukraine.  

The Lend-Lease Act passed in the House yesterday will ensure that we can get weapons and support to Ukraine as quickly as possible.  

#HelpUkraineWin"|en|D|8|21
1520072919451418624|18909919|Fri Apr 29 16:10:00 +0000 2022|Happy Arbor Day, Rhode Island! https://t.co/e8mTlF7KiQ|en|D|4|46
1520061232341991424|18909919|Fri Apr 29 15:23:33 +0000 2022|"Congratulations to Col. Darnell Weaver, the new superintendent of the @RIStatePolice!  

I have every confidence that Col. Weaver will lead the force with courage and integrity. 

https://t.co/NidEBEqlsK"|en|D|3|6
1519778563700011009|18909919|Thu Apr 28 20:40:20 +0000 2022|"In 1941, Congress passed the Lend-Lease Act to assist our allies in their heroic fight against Hitler.

In 2022, we must do the same to support our brave Ukrainian allies in their quest to fend off Putin and protect their democracy, freedom, and homeland. https://t.co/8ogArij03Y"|en|D|3|8
1519750293453348865|18909919|Thu Apr 28 18:48:00 +0000 2022|"In our increasingly digital world, we must ensure that the internet remains open, free, global, interoperable, reliable, and secure. 

Thank you, @POTUS, for leading the nations of the world in affirming this vision.  

https://t.co/jAb2Yc8F3S"|en|D|5|6
1519728399387967488|18909919|Thu Apr 28 17:21:00 +0000 2022|"While Americans are being squeezed at the pump, oil and gas companies are raking in record profits.  

That’s just wrong.  

We must investigate any potential price gouging to ensure that Big Oil is not exploiting Putin’s price hike to pad their bottom lines."|en|D|2|2
1519708239381909515|18909919|Thu Apr 28 16:00:53 +0000 2022|"On Holocaust Remembrance Day, we remember the 6 million Jews who were systematically hunted down, rounded up, and murdered in cold blood by Hitler and the Nazis.  

This Yom HaShoah, we re-commit ourselves to rooting out anti-Semitism, wherever we may find it. 

#NeverForget https://t.co/bpnsSY4c8i"|en|D|1|4
1519405270023114752|18909919|Wed Apr 27 19:57:00 +0000 2022|"Suspicious activity or accounts you don't recognize can be signs of identity theft! Review your credit reports to catch problems early.  

One way to get your free credit report is online at https://t.co/hY242L9rgE  

#FinancialLiteracyMonth https://t.co/w5xMco8nuF"|en|D|3|3
1519396639835934720|18909919|Wed Apr 27 19:22:42 +0000 2022|"I am thrilled that Trevor Reed and his family have been reunited at long last.  

Thank you, @POTUS, for getting him home, where he belongs. 

https://t.co/Gr7ZTMJfVy"|en|D|5|15
1519363916983320577|18909919|Wed Apr 27 17:12:40 +0000 2022|"Thank you to everyone who joined me for this year’s Congressional Art Competition awards ceremony.

Congratulations to Zachary, Svetlana, Mia, and Caitlynna, who were awarded our top prizes!

The competition was fierce, and I loved seeing the work of so many talented artists! https://t.co/iLOdLj4k7g"|en|D|2|2
1519332008341741569|18909919|Wed Apr 27 15:05:53 +0000 2022|"Today, we mark #YomHaShoah in memory of the 6 million Jews who were murdered in the Holocaust.  

In 2022, the global Jewish population is still less than it was in 1939, a painful reminder that the effects of the Holocaust are with us every day.  

We must never forget."|en|D|5|13
1519001106952560640|18909919|Tue Apr 26 17:11:00 +0000 2022|Out of this world news for my fellow space enthusiasts! https://t.co/gyzS5rQn5S|en|D|1|6
1518977019819839489|18909919|Tue Apr 26 15:35:17 +0000 2022|"For as long as I’ve been in Congress, @oscil_in_ri has been an incredible champion for Rhode Islanders with disabilities.  

Yesterday, I attended their annual meeting and was honored to receive a key to OSCIL HQ as a token of our continued partnership! https://t.co/osPFlYE7Lu"|en|D|3|8
1518648282041307136|18909919|Mon Apr 25 17:49:00 +0000 2022|"Great to see @SecDef and @SecBlinken in Kyiv yesterday, reaffirming our rock-solid commitment to the Ukrainian people.  

Soon, American diplomats will re-establish a presence in Ukraine.  

We will never abandon our Ukrainian allies in their quest for democracy and independence."|en|D|2|6
1518628131309080577|18909919|Mon Apr 25 16:28:55 +0000 2022|"Yesterday, I was honored to be recognized for my advocacy on behalf of the Armenian-American community.

RI’s Armenian community is strong, and it's been an privilege to represent you for 22 years. 

Until my final day in office and beyond, I'll be proud to fight alongside you. https://t.co/cxdAfK6ve0"|en|D|3|14
1518353281092923394|18909919|Sun Apr 24 22:16:46 +0000 2022|"Today, I mourned the Armenian genocide alongside the RI Armenian community.

We must never forget the Ottoman Empire’s violence, which was responsible for the deaths of 1.5 million innocent Armenians.

Today and always, I’ll be a proud ally to the Armenian people. https://t.co/GSorBOkrT5"|en|D|5|18
1518050106154565634|18909919|Sun Apr 24 02:12:03 +0000 2022|"I’m sorry to hear about the passing of Senator Orrin Hatch. 

Although we disagreed on many issues, I appreciate all that he did to help pass the ADA, and I was honored to partner with him in support of groundbreaking stem cell research. 

https://t.co/sWMhJv3YD5"|en|D|3|12
1517600880425586689|18909919|Fri Apr 22 20:27:00 +0000 2022|"With @Archie_Miller in town, a new era has begun for @RhodyMBB.  

And of course, we already knew how talented @TReiss32 is, but I never turn down the chance to celebrate @RhodyWBB!  

@universityofri is in good hands. #GoRhody https://t.co/XGbse8gYLj"|en|D|14|139
1517585431159783431|18909919|Fri Apr 22 19:25:36 +0000 2022|"On #EarthDay, here's a refresher on a few investments we made in the Bipartisan Infrastructure Deal:  

🔋$7.5B for EV infrastructure 
🚌$108B for transit 
📦$2.5B for resilient ports  
🚈$66B for passenger/freight rail 

What's good for the Earth is good for our communities!"|en|D|3|3
1517519343780868099|18909919|Fri Apr 22 15:03:00 +0000 2022|"We live in the most beautiful state in the country, and I have never taken that for granted 

I will always fight for the climate legislation we need to protect our magnificent oceans, rivers, lakes, forests, parks, beaches, and clean air.  

Happy Earth Day, Rhode Island. https://t.co/85iL1CiWRU"|en|D|2|11
1517489396492079105|18909919|Fri Apr 22 13:04:00 +0000 2022|"Pssst. Hey guys! It’s me, Franklin.  

Today is my Dad’s birthday, and it would mean a lot if you could wish him a “Happy Birthday!” for me. I tried barking at him, but I’m not sure he understood what I meant. https://t.co/dsCdlw9rMF"|en|D|4|102
1517234717778755586|18909919|Thu Apr 21 20:12:00 +0000 2022|An important thread from Former Surgeon General Adams on what masking means for immunocompromised folks and the disability community... ⬇️ https://t.co/gxoaN0EJZ9|en|D|1|2
1517217508427771905|18909919|Thu Apr 21 19:03:37 +0000 2022|If you’re around the Warwick Mall this weekend, be sure to swing by the lobby outside Nordstrom Rack to see the stunning artwork our local students submitted for this year’s Congressional Art Competition! https://t.co/MI4vD7i3bG|en|D|2|8
1517190174815309830|18909919|Thu Apr 21 17:15:00 +0000 2022|"Every day, Vladimir Putin’s heinous war crimes against the Ukrainian people continue. 

The world is watching.  

We must never forget the atrocities unfolding before our eyes.  https://t.co/ecsNietp51"|en|D|1|4
1517171710725967874|18909919|Thu Apr 21 16:01:38 +0000 2022|"Sending my sincerest thanks to the @CapitolPolice for their quick response to yesterday’s potential security threat.  

I echo @SpeakerPelosi’s call to find out what went wrong. 

https://t.co/owloxD6TV6"|en|D|5|5
1516847164202397700|18909919|Wed Apr 20 18:32:00 +0000 2022|"In the third year of a global pandemic, our collective mental health is in crisis. 

Thank you to the healthcare providers working around the clock to support our children.  

I will always fight for the resources needed to care for Rhode Islanders. 

https://t.co/xOR7AMsbs9"|en|D|1|3
1516816613688942593|18909919|Wed Apr 20 16:30:36 +0000 2022|"This week, I led a bipartisan group of my colleagues on a trip to the @SpaceX facility in Brownsville, TX. 

We’ve had the opportunity to see their exciting work up close and better understand how groundbreaking space launch technologies can support U.S. national security. https://t.co/FTUORu2XoW"|en|D|3|11
1516790104265826304|18909919|Wed Apr 20 14:45:16 +0000 2022|"Earlier this month, I joined my colleagues in encouraging the Biden Administration to expand Temporary Protected Status eligibility for Ukrainians already in the United States.  

Yesterday, I was thrilled to see @DHSgov do just that. 

https://t.co/Oic50IM3q9"|en|D|5|9
1516507173999677441|18909919|Tue Apr 19 20:01:00 +0000 2022|How much do you know about climate change? Find out now! https://t.co/2wQH1OxWnD|en|D|2|2
1516489874257420300|18909919|Tue Apr 19 18:52:15 +0000 2022|"This year’s Congressional Art Competition will be my last, and Rhode Island’s young artists submitted their best work yet.  

Check out their amazing artwork, and stay tuned for next week’s announcement of our winners! https://t.co/pId5xkYuRi"|en|D|4|33
1516454193078362114|18909919|Tue Apr 19 16:30:28 +0000 2022|"In April 1968, President Johnson signed the Fair Housing Act into law to prohibit housing discrimination. 

This #FairHousingMonth, @HouseDemocrats remember how far we’ve come, and recommit to the work still ahead to ensure affordable, equitable housing for all. https://t.co/tauTspcYYF"|en|D|7|12
1516417971077459972|18909919|Tue Apr 19 14:06:32 +0000 2022|"I am grateful that the Pinchuk family has settled safely in Jamestown.  

The United States must continue to provide humanitarian aid to the families forced to flee Ukraine.  

https://t.co/YkfoGHYQAW"|en|D|3|13
1516147398938136577|18909919|Mon Apr 18 20:11:23 +0000 2022|".@CISAJen is working overtime with our critical infrastructure to go #ShieldsUp as we prepare to defend the United States from potential Russian cyberattacks.  

For everyone else, that means back up your devices, update your software, and enable multi-factor authentication. https://t.co/FBjPaBO9Rt"|en|D|7|9
1516122354228903937|18909919|Mon Apr 18 18:31:52 +0000 2022|"Today is the day! @IRSnews’ filing deadline has arrived. 

📁 Make sure to file your 2021 taxes ASAP 📁 https://t.co/c78vMpoAaZ"|en|D|1|0
1516100075977682955|18909919|Mon Apr 18 17:03:20 +0000 2022|"This weekend, Americans celebrated Easter, Passover, and Ramadan.  

And yet, for so many, not even the holy holidays provided a reprieve from gun violence.  

Congress must come together and send gun safety legislation to the President’s desk.  

https://t.co/BWVwBxEGh9"|en|D|2|2
1516081668112666624|18909919|Mon Apr 18 15:50:11 +0000 2022|"Good luck to everyone running the #BostonMarathon today!  

Sending you wishes for a safe and speedy 26.2 miles 🏃‍♂️"|en|D|2|8
