id|user|created_at|text|lang|label|retweet_count|favorite_count
1520592036814069761|1201670995435646976|Sun May 01 02:32:47 +0000 2022|"We’ve got just a few hours until our end-of-month fundraising deadline is over.

I’m leading the charge to defund the Ministry of Truth! I need your support now more than ever!

Chip in to keep us fighting!! https://t.co/ORFn5nQFsl"|en|R|247|1503
1520520759218774017|1201670995435646976|Sat Apr 30 21:49:33 +0000 2022|"I am introducing the Protecting Free Speech Act which will TERMINATE Biden's Ministry of Truth.

Congress has the power of the purse and it is OUR DUTY to shut down this unconstitutional governance board that will try to silence conservatives. https://t.co/iQ4mdjnf9u"|en|R|2500|11879
1520474923076132864|1201670995435646976|Sat Apr 30 18:47:25 +0000 2022|"The Ministry of Truth was placed under DHS.

Not the FCC, but DHS.

You only do that it you plan on having an enforcement component."|en|R|6526|27934
1520374541922488320|1201670995435646976|Sat Apr 30 12:08:32 +0000 2022|If your government polices speech, you do not live in a free country. Simple.|en|R|10995|67909
1520198682137796608|1201670995435646976|Sat Apr 30 00:29:44 +0000 2022|"Impeach Mayorkas and save free speech. 

That’s conservative leadership!

https://t.co/gWjjPGrAli"|en|R|2096|15503
1520134993338638344|1201670995435646976|Fri Apr 29 20:16:39 +0000 2022|"More Elon Musk’s. 

Fewer Mayorkas’s. 

Free speech must be preserved."|en|R|3182|31376
1520082623879688193|1201670995435646976|Fri Apr 29 16:48:33 +0000 2022|"I don’t think people are fully understanding the severity of what a Ministry of Truth organized by DHS truly means.

This is Stalin level.

This is Mao level.

This is the hill to die on."|en|R|16939|74079
1520042983323746306|1201670995435646976|Fri Apr 29 14:11:02 +0000 2022|"Biden is turning Homeland Security into a travel agency for illegals &amp; a censorship apparatus for legal citizens.

DHS is supposed to protect the homeland, not destroy it."|en|R|6775|30528
1520015551183130624|1201670995435646976|Fri Apr 29 12:22:02 +0000 2022|Siri, define grooming. https://t.co/FeZ6GxedP0|en|R|2114|10042
1519726590703415296|1201670995435646976|Thu Apr 28 17:13:49 +0000 2022|Cope harder, @NYTimes. Just admit your Dear Leader is failing. https://t.co/sU8V1RmjNm|en|R|644|4071
1519714252751314950|1201670995435646976|Thu Apr 28 16:24:47 +0000 2022|IMPEACH MAYORKAS.|tl|R|5267|35425
1519670684963721219|1201670995435646976|Thu Apr 28 13:31:40 +0000 2022|"We are officially experiencing NEGATIVE economic growth under Joe Biden.

Our country is being systematically destroyed while China laughs and laughs."|en|R|6955|40362
1519482150327836672|1201670995435646976|Thu Apr 28 01:02:29 +0000 2022|"I'm honored to be endorsed by the greatest President our nation has ever had. 

We're going to win in 2022 and be ready for his return in 2024. https://t.co/WBeqjd1N6g"|en|R|1736|13434
1519479760719515650|1201670995435646976|Thu Apr 28 00:53:00 +0000 2022|"Can you feel the freedom here on Twitter?

I'm fighting for freedom in every aspect of our lives. The Left would do ANYTHING to stop us!

Chip in $20.22 so that we can keep fighting back against them!

https://t.co/ORFn5o8gjT"|en|R|243|2090
1519465929280786433|1201670995435646976|Wed Apr 27 23:58:02 +0000 2022|Unless he does the right thing and resigns, Secretary Mayorkas will be impeached. https://t.co/kgoaTiYV39|en|R|1890|11713
1519463856145420288|1201670995435646976|Wed Apr 27 23:49:48 +0000 2022|Our government spends over $4 trillion per year on doing nothing productive &amp; yet the libs are mad @ElonMusk didn't solve world hunger with $44 billion.|en|R|7757|57611
1519449880623788034|1201670995435646976|Wed Apr 27 22:54:16 +0000 2022|Our HHS Secretary is more concerned about grooming our children than he is about keeping America healthy. That's a pattern with this entire regime. https://t.co/dFTo4bkj9N|en|R|387|1742
1519417929602945025|1201670995435646976|Wed Apr 27 20:47:18 +0000 2022|"Pfizer is requesting emergency authorization for boosters in children ages 5-11.

Even Fauci says we're out of the ""pandemic phase.""

Someone's trying to cash in one last time before the midterms."|en|R|3455|19109
1519404752391524353|1201670995435646976|Wed Apr 27 19:54:56 +0000 2022|"The libs spent the last weeks planting the seeds for the back-up plan in case the Twitter deal actually happened.

Today's news of a Biden backed ""Disinformation Governance Board” is dystopian.

They can't afford to let the truth be anything but what they say."|en|R|3461|15986
1519306806631272448|1201670995435646976|Wed Apr 27 13:25:44 +0000 2022|"The whole ""DaNgErOuS tO oUr DeMoCrAcY"" crowd needs to get it through their minds that America is a Constitutional Republic."|en|R|6126|41394
1519298814993182723|1201670995435646976|Wed Apr 27 12:53:59 +0000 2022|So weird that Twitter had zero influence or impact over the electoral process until this week.|en|R|11000|80216
1519099661310693379|1201670995435646976|Tue Apr 26 23:42:37 +0000 2022|"Elizabeth Warren said that @ElonMusk buying Twitter is dangerous to our democracy.

I think claiming you're a Native American solely for your own professional and political gain is dangerous to our democracy, Senator Karen."|en|R|12648|98179
